from_lfw,to_lfw,prob
0,0,0.222222222222222
0,1,0.777777777777778
1,0,0.1
1,1,0.2
1,2,0.7
2,1,0.1
2,2,0.2
2,3,0.7
3,2,0.333333333333333
3,3,0.666666666666667
