from_lfw,row_sum,retained_kernel_mass,min_delta,max_delta,self_loop_prob
0,1,0.9,0,1,0.222222222222222
1,1,1,-1,1,0.2
2,1,1,-1,1,0.2
3,1,0.3,-1,0,0.666666666666667
