from_loc_id,row_sum,retained_kernel_mass,min_delta,max_delta,self_loop_prob,is_boundary_affected
-2,1,0.64,0,3,0.28125,1
-1,1,0.86,-1,3,0.209302325581395,1
0,1,0.96,-2,3,0.1875,1
1,1,1,-3,3,0.18,0
2,1,1,-3,3,0.18,0
3,1,1,-3,3,0.18,0
4,1,1,-3,3,0.18,0
5,1,1,-3,3,0.18,0
6,1,1,-3,3,0.18,0
7,1,1,-3,3,0.18,0
8,1,0.95,-3,2,0.189473684210526,1
9,1,0.82,-3,1,0.219512195121951,1
10,1,0.54,-3,0,0.333333333333333,1
