a,legacy_down,legacy_stay,legacy_up,candidate_down,candidate_stay,candidate_up,removed_up_mass,down_mass_added,stay_mass_added
1,0,1,0,0,1,0,0,0,0
2,0.11,0.83,0.06,0.142,0.846,0.012,0.048,0.032,0.016
3,0.15,0.6,0.25,0.283333333333333,0.666666666666667,0.05,0.2,0.133333333333333,0.066666666666667
4,0.04,0.68,0.28,0.189333333333333,0.754666666666667,0.056,0.224,0.149333333333333,0.074666666666667
5,0.18,0.79,0.03,0.196,0.798,0.006,0.024,0.016,0.00800000000000001
6,0.5,0.5,0,0.6,0.4,0,0,0.1,-0.1
