case_id,eta,grid_status
1,0,USER_FROZEN_INITIAL_SCREENING_GRID
2,0.0001,USER_FROZEN_INITIAL_SCREENING_GRID
3,0.0003,USER_FROZEN_INITIAL_SCREENING_GRID
4,0.001,USER_FROZEN_INITIAL_SCREENING_GRID
5,0.003,USER_FROZEN_INITIAL_SCREENING_GRID
6,0.01,USER_FROZEN_INITIAL_SCREENING_GRID
7,0.03,USER_FROZEN_INITIAL_SCREENING_GRID
8,0.1,USER_FROZEN_INITIAL_SCREENING_GRID
