segment,eta_from,eta_to,eta_increment,inventory_increment_kg,production_cost_increment_yuan,nominal_mean_EENS_improvement_kWh,C2_mean_EENS_improvement_kWh,combined_medium_mean_EENS_improvement_kWh,combined_strong_mean_EENS_improvement_kWh,pressure_mean_EENS_improvement_kWh,pressure_q95_shortage_improvement_kg,pressure_q995_shortage_improvement_kg,maximum_shortage_improvement_kg,EENS_improvement_per_added_kg,unserved_cost_drop_per_production_yuan
0_to_0.0003,0,0.0003,0.0003,5.72816291211905,186.287691287202,2.59847350022,2.506578942766,5.09562034574833,7.70188182019302,11.2225098436202,0.000205438802993285,0,0,0.453631214769122,0.976409894602071
0.0003_to_0.001,0.0003,0.001,0.0007,1.91193605742399,62.1787752009004,0.825785981121001,0.80597690068835,1.65248621147509,2.48540520623868,2.37919129027068,0.000983292422006343,0,0,0.431910877936791,0.929658368015474
0.001_to_0.003,0.001,0.003,0.002,7.08864907329598,230.532561742701,2.938727437335,2.82707223770365,5.78368042675493,8.92286681481289,21.6599379433892,4.91225453541,0,0,0.414568051958678,0.892329131548219
0.003_to_0.01,0.003,0.01,0.007,6.54609415226901,212.887933755297,2.55283958514001,2.48319436934901,5.17874246328802,7.89497047725069,15.0412497830603,2.95148837097304,0,0,0.389979050981896,0.839403003296583
0.01_to_0.03,0.01,0.03,0.02,10.272016250647,334.060015672803,3.36862954528,3.22011115104904,6.97256583943931,10.8975381124949,27.5588406240504,3.04525028967498,0,0,0.327942388629675,0.705873367378871
