validation_id,source_step,dataset_scope,dataset_label,seed_id,distribution_id,distribution_label,weighting_interpretation,decision_id,decision_label,eta,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,T1_capacity_binding,T2_capacity_binding,T3_capacity_binding,T4_capacity_binding,capacity_binding_count,sample_count,c_H2_yuan_per_kg,production_cost_yuan,M_H2_yuan_per_kg,mean_shortage_kg,shortage_q95_kg,shortage_q99_kg,shortage_q995_kg,shortage_CVaR95_kg,shortage_CVaR99_kg,shortage_CVaR995_kg,maximum_shortage_kg,mean_EENS_kWh,EENS_q95_kWh,EENS_q99_kWh,EENS_q995_kWh,EENS_CVaR95_kWh,EENS_CVaR99_kWh,EENS_CVaR995_kWh,maximum_EENS_kWh,mean_unserved_cost_yuan,mean_economic_total_yuan,mean_electricity_service_rate,zero_shortage_service_share,mean_secondary_service_distance,primary_runtime_sec,secondary_runtime_sec,maximum_mechanical_residual,solver_status,validation_pass,TerminalLOH_total_kg_change_vs_SAA,production_cost_yuan_change_vs_SAA,mean_shortage_kg_change_vs_SAA,mean_EENS_kWh_change_vs_SAA,mean_economic_total_yuan_change_vs_SAA,mean_electricity_service_rate_change_vs_SAA,shortage_q95_kg_change_vs_SAA,shortage_q99_kg_change_vs_SAA,shortage_q995_kg_change_vs_SAA,shortage_CVaR95_kg_change_vs_SAA,shortage_CVaR99_kg_change_vs_SAA,shortage_CVaR995_kg_change_vs_SAA,maximum_shortage_kg_change_vs_SAA
1,C1,state19-nominal,nominal,,,nominal,EMPIRICAL_EQUAL_WEIGHT_PROBABILITY_1_OVER_15000,1,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,0,0,0,0,15000,32.5213675213675,16631.9079460393,1283.205,6.18716417096256,45.8227640945913,113.738646591932,157.379374301067,91.7166815495781,170.215094959225,207.749243823904,343.12522161307,113.42,840,2085,2885,1681.30434782609,3120.29801324504,3808.3552631579,6290,7939.40000000001,24571.3079460394,0.984463424308349,0.853266666666667,870.214187151423,3.8752244,4.7563899,6.82121026329696e-13,OPTIMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,C1,state19-nominal,nominal,,,nominal,EMPIRICAL_EQUAL_WEIGHT_PROBABILITY_1_OVER_15000,2,ETA_0.0003,0.0003,223.658693606249,121.102597522249,36.5493148952035,135.832334729837,517.142940753538,0,0,0,0,0,15000,32.5213675213675,16818.1956373266,1283.205,6.04541507785941,45.0041830497508,112.647516437713,154.924583367428,90.0349720450559,168.775383905273,206.528915930794,340.670647111228,110.82152649978,824.994181576507,2064.99794757793,2840,1650.47609004394,3093.90595005952,3785.98482238535,6245.00396751947,7757.5068549846,24575.7024923109,0.984718216937202,0.853533333333333,871.996607805368,4.6571878,5.551743,2.60173235934157e-13,OPTIMAL,1,5.72816291211802,186.2876912873,-0.14174909310315,-2.59847350022,4.39454627149826,0.000254792628852973,-0.818581044840499,-1.091130154219,-2.454790933639,-1.6817095045222,-1.43971105395201,-1.22032789311001,-2.45457450184199
1,C1,state19-nominal,nominal,,,nominal,EMPIRICAL_EQUAL_WEIGHT_PROBABILITY_1_OVER_15000,3,ETA_0.001,0.001,223.659164599841,121.377845308717,36.5502981876255,137.467568714779,519.054876810962,0,0,0,0,0,15000,32.5213675213675,16880.3744125275,1283.205,6.00036770142427,44.1862368054987,110.736563672711,154.922046837511,89.512619450453,168.328496047833,206.144380821518,340.394416032338,109.995740518659,810,2029.9673169663,2839.95350160182,1640.90058345598,3085.71382530085,3778.93571702966,6239.9402374968,7699.70183630612,24580.0762488329,0.984798891371258,0.8542,872.523712090709,4.290596,5.1532177,3.20216824497713e-13,OPTIMAL,1,7.64009896954201,248.4664664882,-0.18679646953829,-3.424259481341,8.76830279349815,0.00033546706290899,-1.6365272890926,-3.002082919221,-2.457327463556,-2.2040620991251,-1.88659891139201,-1.604863002386,-2.73080558073201
1,C1,state19-nominal,nominal,,,nominal,EMPIRICAL_EQUAL_WEIGHT_PROBABILITY_1_OVER_15000,4,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.14352588426,0,0,0,0,0,15000,32.5213675213675,17110.9069742702,1283.205,5.84005744654413,42.5497095164062,108.560169134824,154.379074271063,86.8835166586462,166.066108988717,204.307457824906,334.934294663627,107.057013081324,780,1990.07074049502,2830,1592.70518562797,3044.24087692667,3745.26216311726,6139.84802262629,7493.99091569267,24604.8978899635,0.985092098101346,0.854733333333333,873.354504442026,3.9513159,4.7050822,2.93608320073058e-13,OPTIMAL,1,14.72874804284,478.999028230901,-0.347106724418429,-6.362986918676,33.5899439241002,0.000628673792997025,-3.2730545781851,-5.178477457108,-3.00030003000401,-4.8331648909319,-4.14898597050802,-3.441785998998,-8.190926949443
1,C1,state19-nominal,nominal,,,nominal,EMPIRICAL_EQUAL_WEIGHT_PROBABILITY_1_OVER_15000,5,ETA_0.01,0.01,226.65914750245,121.966076719698,44.4140410940083,139.650354720371,532.689620036527,0,0,0,0,0,15000,32.5213675213675,17323.7949080255,1283.205,5.70079772501889,42.004200420042,104.965563353529,151.105993641738,85.1321740751948,164.539755199253,202.853336813053,331.942441714974,104.504173496184,770,1924.17622461521,2769.99952244352,1560.60044905943,3016.2605224351,3718.60594378848,6085.00287029805,7315.29214473286,24639.0870527595,0.985342949545042,0.855266666666667,874.490304742027,4.0144303,4.7020136,2.95782951113269e-13,OPTIMAL,1,21.274842195107,691.886961986198,-0.48636644594367,-8.91582650381601,67.7791067200997,0.000879525236692991,-3.8185636745493,-8.77308323840299,-6.27338065932901,-6.5845074743833,-5.67533975997202,-4.895907010851,-11.182779898096
1,C1,state19-nominal,nominal,,,nominal,EMPIRICAL_EQUAL_WEIGHT_PROBABILITY_1_OVER_15000,6,ETA_0.03,0.03,231.29762160439,121.918688071569,50.0952850712816,139.650041539934,542.961636287175,0,0,0,0,0,15000,32.5213675213675,17657.8549236983,1283.205,5.51703591909578,38.8238149852254,103.646728309195,150.01500150015,82.2884309948517,162.300086796874,200.685283937347,326.30858638583,101.135543950904,711.698764401659,1900,2750,1508.47037278212,2975.2040411169,3678.86228249747,5981.72585133184,7079.4880765633,24737.3430002599,0.985670717576604,0.857733333333333,876.289965560134,3.8436474,4.6907358,2.74769698486749e-13,OPTIMAL,1,31.546858445755,1025.946977659,-0.67012825186678,-12.284456049096,166.035054220501,0.00120729326825497,-6.9989491093659,-10.091918282737,-7.36437280091701,-9.4282505547264,-7.915008162351,-7.063959886557,-16.81663522724
2,C2,independent-path,independent-path-C2-dataset-1,1,,independent-path-nominal,SEPARATE_EMPIRICAL_PROBABILITY_1_OVER_15000,1,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,0,0,0,0,15000,32.5213675213675,16631.9079460393,1283.205,6.24777023156862,43.3679731609527,122.466792133759,172.653628999263,93.8217535589658,178.296577400064,213.688832998132,322.395875951232,114.531,795.000000000004,2244.99999999999,3165,1719.89347536618,3268.44370860927,3917.23684210527,5910.00000000001,8017.17,24649.0779460393,0.984616406601363,0.852,882.102363546631,3.6695792,5.1492488,7.105427357601e-13,OPTIMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,C2,independent-path,independent-path-C2-dataset-1,1,,independent-path-nominal,SEPARATE_EMPIRICAL_PROBABILITY_1_OVER_15000,2,ETA_0.0003,0.0003,223.658693606249,121.102597522249,36.5493148952035,135.832334729837,517.142940753538,0,0,0,0,0,15000,32.5213675213675,16818.1956373266,1283.205,6.11796841545397,42.5497095164062,121.648564392278,169.38082675594,91.9392244211939,177.080846827013,212.425436919499,319.940515282437,112.151538007895,780,2230.00065815705,3105.00462567651,1685.38389247712,3246.15754360939,3894.07689688979,5864.98955589999,7850.60766055263,24668.8032978791,0.984852882640316,0.8522,883.493980856498,4.3910395,5.8122299,2.54960295819209e-13,OPTIMAL,1,5.72816291211802,186.2876912873,-0.12980181611465,-2.37946199210501,19.7253518398029,0.000236476038953048,-0.818263644546498,-0.818227741480996,-3.27280224332299,-1.8825291377719,-1.21573057305099,-1.26339607863301,-2.45536066879498
2,C2,independent-path,independent-path-C2-dataset-1,1,,independent-path-nominal,SEPARATE_EMPIRICAL_PROBABILITY_1_OVER_15000,3,ETA_0.001,0.001,223.659164599841,121.377845308717,36.5502981876255,137.467568714779,519.054876810962,0,0,0,0,0,15000,32.5213675213675,16880.3744125275,1283.205,6.07587045423403,42.5497095164062,121.644833299774,169.104124683458,91.4219757824342,176.706339105229,211.972866777411,318.305281297495,111.379819231791,780,2229.93226163481,3099.93226163481,1675.90194905569,3239.2922553075,3885.78060733011,5835.01326410503,7796.58734622537,24676.9617587521,0.984929140571704,0.852466666666667,883.953887486185,4.1063398,4.7486164,2.85451914541297e-13,OPTIMAL,1,7.64009896954201,248.4664664882,-0.17189977733459,-3.151180768209,27.8838127128001,0.000312733970341039,-0.818263644546498,-0.821958833984993,-3.549504315805,-2.39977777653159,-1.59023829483499,-1.71596622072099,-4.09059465373696
2,C2,independent-path,independent-path-C2-dataset-1,1,,independent-path-nominal,SEPARATE_EMPIRICAL_PROBABILITY_1_OVER_15000,4,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.14352588426,0,0,0,0,0,15000,32.5213675213675,17110.9069742702,1283.205,5.92622302842283,40.9176860262657,120.557510296484,165.834765294711,89.3834011571748,175.036364344575,210.567289157104,318.308341992522,108.636557445533,750.08256139049,2210,3040,1638.53181831275,3208.67911298258,3860.01426118345,5835.06937123592,7604.55902118732,24715.4659954581,0.985204513916339,0.852733333333333,884.505271785075,4.4012769,4.7471439,2.55795384873636e-13,OPTIMAL,1,14.72874804284,478.999028230901,-0.321547203145791,-5.89444255446701,66.3880494188015,0.00058810731497605,-2.450287134687,-1.909281837275,-6.818863704552,-4.43835240179099,-3.260213055489,-3.121543841028,-4.08753395870997
