case_id,decision_label,eta,divergence_used,probability_sum,minimum_probability,maximum_probability,maximum_probability_to_nominal_ratio,total_variation_distance,ESS,worst_weighted_mean_shortage_kg,worst_weighted_mean_EENS_kWh,nominal_serviceable_shortage_mass,worst_serviceable_shortage_mass,serviceable_shortage_mass_change,nominal_all_unreachable_mass,worst_all_unreachable_mass,all_unreachable_mass_change
1,SAA,0,9.30439961861327e-30,0.999999999999968,6.66666666666669e-05,6.66666666666669e-05,1,1.52512009098105e-15,14999.9999999988,6.18716417096258,113.42,0.146733333333333,0.146733333333333,2.22044604925031e-16,0,0,0
2,ETA_0.0003,0.0003,0.0002999999999984,1.00000000000007,6.63617508756481e-05,8.35443361081156e-05,1.25316504162173,0.0039303899064149,14995.5013495954,6.44194521869735,118.09051877655,0.146466666666666,0.150370503539088,0.0039038368724221,0,0,0
3,ETA_0.001,0.001,0.0009999999999984,1.00000000000009,6.61109887575773e-05,9.76339998094207e-05,1.46450999714131,0.0071638235404287,14985.0149850134,6.72025328061188,123.192323013537,0.145799999999999,0.152919901049187,0.0071199010491881,0,0,0
4,ETA_0.003,0.003,0.0029999999999982,1.00000000000006,6.57100170726122e-05,0.0001205750179665,1.80862526949791,0.012339157679337,14955.1345962117,7.06099716843022,129.438669593079,0.145266666666666,0.157531871112051,0.0122652044453853,0,0,0
5,ETA_0.01,0.01,0.0099999999999986,1.00000000000006,6.49310655910935e-05,0.000165990546502,2.48985819753041,0.0224402966261053,14851.4851485143,7.89054735710242,144.645568876723,0.144733333333333,0.16699935953185,0.0222660261985177,0,0,0
6,ETA_0.03,0.03,0.0299999999999991,1.00000000000006,6.36829943149044e-05,0.0002401541867484,3.60231280122703,0.0385846105903001,14563.1067961163,9.21518723644059,168.928204824811,0.142266666666666,0.180654595144422,0.0383879284777564,0,0,0
