"process_label","process_type","exit_code","started_at","ended_at","runtime_sec","log_path","pass"
"prepare","MATLAB","0","2026-08-03T18:42:04.4450096+08:00","2026-08-03T18:42:14.9383152+08:00","10.4933056","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\prepare.txt","True"
"opt-001","MATLAB","0","2026-08-03T18:42:14.9570541+08:00","2026-08-03T18:42:46.0672659+08:00","31.1102118","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\opt-001.txt","True"
"opt-002","MATLAB","0","2026-08-03T18:42:46.0705864+08:00","2026-08-03T18:46:44.1388920+08:00","238.0683056","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\opt-002.txt","True"
"opt-003","MATLAB","0","2026-08-03T18:46:44.1404863+08:00","2026-08-03T18:50:38.9627599+08:00","234.8222736","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\opt-003.txt","True"
"opt-004","MATLAB","0","2026-08-03T18:50:38.9641340+08:00","2026-08-03T18:54:52.5921789+08:00","253.6280449","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\opt-004.txt","True"
"opt-005","MATLAB","0","2026-08-03T18:54:52.6026417+08:00","2026-08-03T18:58:55.7277670+08:00","243.1251253","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\opt-005.txt","True"
"opt-006","MATLAB","0","2026-08-03T18:58:55.7290009+08:00","2026-08-03T19:03:41.8779950+08:00","286.1489941","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\opt-006.txt","True"
"validation-001","MATLAB","0","2026-08-03T19:03:41.8791270+08:00","2026-08-03T19:04:48.7327357+08:00","66.8536087","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\validation-001.txt","True"
"validation-002","MATLAB","0","2026-08-03T19:04:48.7337376+08:00","2026-08-03T19:05:56.0043931+08:00","67.2706555","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\validation-002.txt","True"
"validation-003","MATLAB","0","2026-08-03T19:05:56.0055242+08:00","2026-08-03T19:07:06.7802460+08:00","70.7747218","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\validation-003.txt","True"
"validation-004","MATLAB","0","2026-08-03T19:07:06.7819201+08:00","2026-08-03T19:08:17.2382316+08:00","70.4563115","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\validation-004.txt","True"
"validation-005","MATLAB","0","2026-08-03T19:08:17.2393144+08:00","2026-08-03T19:09:59.9431366+08:00","102.7038222","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\validation-005.txt","True"
"validation-006","MATLAB","0","2026-08-03T19:09:59.9442090+08:00","2026-08-03T19:11:37.9212814+08:00","97.9770724","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\validation-006.txt","True"
"validation-007","MATLAB","0","2026-08-03T19:11:37.9226581+08:00","2026-08-03T19:13:17.8059584+08:00","99.8833003","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\validation-007.txt","True"
"validation-008","MATLAB","0","2026-08-03T19:13:17.8070666+08:00","2026-08-03T19:15:20.7942842+08:00","122.9872176","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\validation-008.txt","True"
"validation-009","MATLAB","0","2026-08-03T19:15:20.7953167+08:00","2026-08-03T19:17:22.2466490+08:00","121.4513323","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\validation-009.txt","True"
"validation-010","MATLAB","0","2026-08-03T19:17:22.2478163+08:00","2026-08-03T19:19:20.7046858+08:00","118.4568695","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\validation-010.txt","True"
"validation-011","MATLAB","0","2026-08-03T19:19:20.7058648+08:00","2026-08-03T19:19:32.3584563+08:00","11.6525915","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\validation-011.txt","True"
"finalize","PYTHON","0","2026-08-03T19:19:32.3592804+08:00","2026-08-03T19:19:45.3801833+08:00","13.0209029","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\52-eta-response-saturation-audit\run-003\process_logs\finalize.txt","True"
