case_id,decision_label,eta,ESS,total_variation_distance,maximum_probability_to_nominal_ratio
1,SAA,0,14999.9999999988,1.52512009098105e-15,1
2,ETA_0.0003,0.0003,14995.5013495954,0.0039303899064149,1.25316504162173
3,ETA_0.001,0.001,14985.0149850134,0.0071638235404287,1.46450999714131
4,ETA_0.003,0.003,14955.1345962117,0.012339157679337,1.80862526949791
5,ETA_0.01,0.01,14851.4851485143,0.0224402966261053,2.48985819753041
6,ETA_0.03,0.03,14563.1067961163,0.0385846105903001,3.60231280122703
