method,path_id,stage,markov_state,a,loc,lf,status,site,beginning_inventory_kg,production_kg,ending_inventory_kg,ordinary_demand_kg,ordinary_demand_served_kg,shortage_kg,htt_in_kg,htt_out_kg,net_htt_kg
chi2_eta003,1,1,65,2,2,1,normal,1,58.0445570448695,46.8,99.7243810123712,5.12017603249831,5.12017603249831,0,0,0,0
chi2_eta003,1,1,65,2,2,1,normal,2,50.3081379386248,31.2,75.682050982103,5.82608695652174,5.82608695652174,0,0,0,0
chi2_eta003,1,1,65,2,2,1,normal,3,25.2621334423093,18.72,42.3963366656137,1.58579677669568,1.58579677669568,0,0,0,0
chi2_eta003,1,1,65,2,2,1,normal,4,33.0235808462428,23.4,53.5555120125908,2.86806883365201,2.86806883365201,0,0,0,0
chi2_eta003,1,2,74,2,3,2,normal,1,99.7243810123712,46.8,126.434672143041,20.0897088693297,20.0897088693297,0,0,0,0
chi2_eta003,1,2,74,2,3,2,normal,2,75.682050982103,31.2,94.6273925970099,12.2546583850932,12.2546583850932,0,0,0,0
chi2_eta003,1,2,74,2,3,2,normal,3,42.3963366656137,18.72,54.0238605818422,7.09247608377144,7.09247608377144,0,0,0,0
chi2_eta003,1,2,74,2,3,2,normal,4,53.5555120125908,23.4,66.5991761878037,10.3563358247871,10.3563358247871,0,0,0,0
chi2_eta003,1,3,68,2,2,4,normal,1,126.434672143041,35.1,181.777086303502,21.6536899119838,21.6536899119838,0,41.8961040724445,0,41.8961040724445
chi2_eta003,1,3,68,2,2,4,normal,2,94.6273925970099,19.5,76.65009422563,13.8819875776397,13.8819875776397,0,0,23.5953107937401,-23.5953107937401
chi2_eta003,1,3,68,2,2,4,normal,3,54.0238605818422,9.38440809509076,22.1654351603917,8.42454537619581,8.42454537619581,0,0,32.8182881403455,-32.8182881403455
chi2_eta003,1,3,68,2,2,4,normal,4,66.5991761878037,14.625,83.163885546229,12.5777855032157,12.5777855032157,0,14.517494861641,0,14.517494861641
chi2_eta003,1,4,21,1,3,5,dissipated_absorb,1,181.777086303502,0,181.777086303502,8.13642518618822,0,0,0,0,0
chi2_eta003,1,4,21,1,3,5,dissipated_absorb,2,76.65009422563,0,76.65009422563,4.03726708074534,0,0,0,0,0
chi2_eta003,1,4,21,1,3,5,dissipated_absorb,3,22.1654351603917,0,22.1654351603917,5.89718176333707,0,0,0,0,0
chi2_eta003,1,4,21,1,3,5,dissipated_absorb,4,83.163885546229,0,83.163885546229,4.19780983834521,0,0,0,0,0
chi2_eta003,1,5,48,1,6,8,post_absorb,1,181.777086303502,0,181.777086303502,5.12017603249831,0,0,0,0,0
chi2_eta003,1,5,48,1,6,8,post_absorb,2,76.65009422563,0,76.65009422563,5.82608695652174,0,0,0,0,0
chi2_eta003,1,5,48,1,6,8,post_absorb,3,22.1654351603917,0,22.1654351603917,1.58579677669568,0,0,0,0,0
chi2_eta003,1,5,48,1,6,8,post_absorb,4,83.163885546229,0,83.163885546229,2.86806883365201,0,0,0,0,0
chi2_eta003,1,6,56,1,7,8,post_absorb,1,181.777086303502,0,181.777086303502,20.0897088693297,0,0,0,0,0
chi2_eta003,1,6,56,1,7,8,post_absorb,2,76.65009422563,0,76.65009422563,12.2546583850932,0,0,0,0,0
chi2_eta003,1,6,56,1,7,8,post_absorb,3,22.1654351603917,0,22.1654351603917,7.09247608377144,0,0,0,0,0
chi2_eta003,1,6,56,1,7,8,post_absorb,4,83.163885546229,0,83.163885546229,10.3563358247871,0,0,0,0,0
chi2_eta003,1,7,56,1,7,8,post_absorb,1,181.777086303502,0,181.777086303502,21.6536899119838,0,0,0,0,0
chi2_eta003,1,7,56,1,7,8,post_absorb,2,76.65009422563,0,76.65009422563,13.8819875776397,0,0,0,0,0
chi2_eta003,1,7,56,1,7,8,post_absorb,3,22.1654351603917,0,22.1654351603917,8.42454537619581,0,0,0,0,0
chi2_eta003,1,7,56,1,7,8,post_absorb,4,83.163885546229,0,83.163885546229,12.5777855032157,0,0,0,0,0
