method,path_id,state_sequence,total_cost,terminal_value,terminal_gap_kg,ordinary_shortage_kg,total_production_kg,site1_production_kg,site2_production_kg,site3_production_kg,site4_production_kg,total_htt_kg,htt_1_to_2_kg,htt_1_to_3_kg,htt_1_to_4_kg,htt_2_to_1_kg,htt_2_to_3_kg,htt_2_to_4_kg,htt_3_to_1_kg,htt_3_to_2_kg,htt_3_to_4_kg,htt_4_to_1_kg,htt_4_to_2_kg,htt_4_to_3_kg,final_inventory_site1_kg,final_inventory_site2_kg,final_inventory_site3_kg,final_inventory_site4_kg,minimum_voltage_pu,min_voltage_bus,min_voltage_hour,max_true_branch_mva,max_branch_utilization,max_branch_from,max_branch_to,max_branch_hour,site1_grid_limited_count,site2_grid_limited_count,site3_grid_limited_count,site4_grid_limited_count,site1_grid_limited_frequency,site2_grid_limited_frequency,site3_grid_limited_frequency,site4_grid_limited_frequency,pv_available_kwh,pv_utilized_kwh,pv_curtailed_kwh,pv_utilization_ratio,grid_import_kwh,terminal_state_k,terminal_stage,final_a,final_loc,final_lf
chi2_eta003,1,65-74-68-21-48-56-56-32,57601.3740351894,0,0,0,318.849408095091,128.7,81.9,46.8244080950908,61.425,56.4135989340856,0,0,0,9.07781593209906,0,14.517494861641,32.8182881403455,0,0,0,0,0,181.777086303502,76.65009422563,22.1654351603917,83.163885546229,0.9,18,22,4.875916901539,0.812652816923167,1,2,22,0,0,2,0,0,0,0.0416666666666667,0,1682.9744,1682.9744,0,1,88933.2931421841,0,0,1,4,8
chi2_eta003,2,65-58-83-92-101-110-111-112,106903.204118166,0,0,0,439.481977051182,181.35,105.3,62.1569770511821,90.675,56.874173920754,0,0,0,7.41804139287964,0,10.0805854755395,37.690318385395,0.0489817082549422,1.63624695868499,0,0,0,204.293031921316,84.0777474368457,16.3652905806895,92.1910086220281,0.9,18,23,4.8365984209377,0.80609973682295,1,2,23,0,0,1,0,0,0,0.0208333333333333,0,3365.9488,3365.9488,0,1,167701.620174676,111,7,2,7,8
chi2_eta003,3,65-66-84-93-88-112-112-112,66360.6614942137,0,0,0,402.56969503898,161.523764498738,99.9847089006327,59.1612216396098,81.9,58.7567779229073,0,0,0,9.58590693986241,1.84507713743065,11.2443561604072,36.081437685207,0,0,0,0,0,210.235666168677,91.6175066015573,27.1869945341428,96.16793700665,0.9,18,23,4.8365984209377,0.80609973682295,1,2,23,0,0,1,0,0,0,0.0208333333333333,0,1682.9744,1682.9744,0,1,114398.649090589,0,0,2,7,8
