stage,hit_count,positive_redistribution_count,terminal_gap_kg_sum,terminal_cost_yuan_sum,shipping_cost_yuan_sum
1,0,0,0,0,0
2,0,0,0,0,0
3,78,3,8.5662562901488,11284.3382715705,2718.08198142174
4,1186,83,2025.06599841654,2106330.28970837,81264.2912918313
5,2591,213,6543.65555909978,6709459.44221428,165803.883114494
6,1816,178,6031.78417738994,6205302.68871228,173518.51132234
7,467,53,1945.77633806503,1998039.23173672,52262.8936716908
8,0,0,0,0,0
