path_id,direct_gap_cost_yuan,terminal_recourse_cost_yuan,direct_minus_recourse_yuan,direct_terminal_gap_kg,recourse_terminal_gap_kg,recourse_redistribution_kg,recourse_shipping_cost_yuan,direct_terminal_stage,recourse_terminal_stage
1,57840.2529600372,57840.2529600372,0,0,0,0,0,5,5
2,57712.6601375755,57712.6601375755,0,0,0,0,0,5,5
3,9987.31021740672,9987.31021740672,0,0,0,0,0,0,0
4,58491.0810106371,58491.0810106371,0,0,0,0,0,5,5
5,78249.4998646974,78249.4998646974,0,0,0,0,0,6,6
6,9987.31021740672,9987.31021740672,0,0,0,0,0,0,0
7,217917.163482242,171120.204122974,46796.9593592684,123.825809887918,75.1223360010815,48.703473886837,1906.51452756861,6,6
8,95998.8943098752,95998.8943098752,0,0,0,0,0,6,6
9,58696.6861354771,58696.6861354771,0,0,0,0,0,5,5
10,58944.2283778426,58944.2283778426,0,0,0,0,0,0,0
11,78654.854615243,78654.854615243,0,0,0,0,0,6,6
12,58850.8270458381,54249.1880127834,4601.63903305471,4.72735912179154,0,4.72735912179154,125.720088736836,4,4
13,59054.9861117303,59054.9861117303,0,0,0,0,0,5,5
14,58905.5590199452,58905.5590199452,0,0,0,0,0,5,5
15,105799.559190059,100349.446566615,5450.11262344396,5.70517576407136,0,5.70517576407136,255.06314062741,6,6
16,49920.2344926305,49920.2344926305,0,0,0,0,0,4,4
17,61794.6915381709,61794.6915381709,0,0,0,0,0,5,5
18,78183.0225774347,78183.0225774347,0,0,0,0,0,6,6
19,29144.7348720669,29144.7348720669,0,0,0,0,0,0,0
20,96169.4357149381,91075.2276770279,5094.20803791021,5.15519845436691,0,5.15519845436691,60.9904164566929,6,6
21,58794.2992658577,58794.2992658577,0,0,0,0,0,5,5
22,9987.31021740672,9987.31021740672,0,0,0,0,0,0,0
23,82982.8161026558,82982.8161026558,0,0,0,0,0,6,6
24,59171.5273617303,59171.5273617303,0,0,0,0,0,0,0
25,9987.31021740672,9987.31021740672,0,0,0,0,0,0,0
26,9987.31021740672,9987.31021740672,0,0,0,0,0,0,0
27,95346.0314511362,95346.0314511362,0,0,0,0,0,6,6
28,9987.31021740672,9987.31021740672,0,0,0,0,0,0,0
29,58875.2605989895,58875.2605989895,0,0,0,0,0,5,5
30,60301.6749110186,60301.6749110186,0,0,0,0,0,5,5
