metric,value,unit,definition
path_count,10000,paths,"Same first 10,000 OOS rows used by both evaluators"
direct_mean_yuan,59623.5679411926,yuan/path,"DIRECT_GAP evaluator"
recourse_mean_yuan,58253.5557392056,yuan/path,"TERMINAL_REDISTRIBUTION evaluator"
mean_direct_minus_recourse_yuan,1370.01220198711,yuan/path,"Positive means recourse lowers cost"
median_direct_minus_recourse_yuan,0,yuan/path,"Paired path difference"
p05_direct_minus_recourse_yuan,0,yuan/path,"Paired path difference"
p95_direct_minus_recourse_yuan,2441.95227217575,yuan/path,"Paired path difference"
recourse_better_path_count,530,paths,"Direct cost > recourse cost"
recourse_better_path_rate,0.053,fraction,"Direct cost > recourse cost"
equal_path_count,9470,paths,"Paired costs equal within tolerance"
recourse_worse_path_count,0,paths,"Direct cost < recourse cost"
recourse_positive_shipping_path_count,530,paths,"Any terminal shipment"
recourse_positive_shipping_rate,0.053,fraction,"Any terminal shipment"
recourse_avg_shipping_cost_yuan,47.5567661381778,yuan/path,"Physical shipping cost only"
recourse_avg_terminal_gap_kg,1.65548483292614,kg/path,"Residual terminal gap"
recourse_avg_terminal_cost_yuan,1703.04159906432,yuan/path,"Shipping plus shortage penalty"
