site,stage7_path_count,mean_target_kg,mean_actual_inventory_kg,mean_gap_kg,positive_gap_probability,mean_surplus_kg
1,6124,18.717534197,85.5141798526,0.938495559648,0.0404964075767,67.7351412153
2,6124,7.60235418506,42.0773572301,0.864438980147,0.0341280209014,35.3394420251
3,6124,4.30596841175,23.3859857451,0.418057231195,0.0496407576747,19.4980745646
4,6124,11.2229021108,46.3401060033,1.3042011636,0.0519268451992,36.4214050561
