path_id,relative_hour,current_inventory_kg,current_production_kg,current_ordinary_demand_kg,current_ordinary_served_kg,target_total,failure_type,remaining_hours,known_remaining_ordinary_demand_kg,checkpoint_present,candidate,candidate_type,expanded_site,multiplier,pmax_site1_kw,pmax_site2_kw,pmax_site3_kw,pmax_site4_kw,total_pmax_kw,added_kw,added_theoretical_kg_per_h,added_theoretical_8h_kg,hours_before_stage7,remaining_electrolyzer_nameplate_max_kg,optimistic_final_inventory_kg,optimistic_total_margin_kg,PHYSICALLY_UNRECOVERABLE,recoverability_status,base_physically_unrecoverable,recovered_relative_to_base,newly_unrecoverable_relative_to_base,monotonicity_violation
11,-16,251.186343625,15.015,1.54554668825,1.54554668825,395.525364721,pure_location,16,98.5039340683,True,B0,BASE,0,1,300,200,120,150,770,0,0,0,16,240.24,491.426343625,95.9009789034,False,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,False,False,False,False
11,-8,371.306343625,15.015,12.6236463422,0,395.525364721,pure_location,8,59.4930059307,True,B0,BASE,0,1,300,200,120,150,770,0,0,0,8,120.12,491.426343625,95.9009789034,False,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,False,False,False,False
11,-4,415.332527527,15.015,5.2829583731,3.0925444568,395.525364721,pure_location,4,33.3106263059,True,B0,BASE,0,1,300,200,120,150,770,0,0,0,4,60.06,475.392527527,79.8671628061,False,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,False,False,False,False
16,-16,241.507481134,8.775,12.6236463422,12.6236463422,395.525364721,pure_location,16,104.989071862,True,B0,BASE,0,1,300,200,120,150,770,0,0,0,16,240.24,481.747481134,86.2221164131,False,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,False,False,False,False
16,-8,302.134475204,15.015,10.3027948716,10.3027948716,395.525364721,pure_location,8,45.4960659317,True,B0,BASE,0,1,300,200,120,150,770,0,0,0,8,120.12,422.254475204,26.7291104824,False,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,False,False,False,False
16,-4,360.901906248,13.7224310439,5.21888439962,0,395.525364721,pure_location,4,8.99688639124,True,B0,BASE,0,1,300,200,120,150,770,0,0,0,4,60.06,420.961906248,25.4365415263,False,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,False,False,False,False
24,-16,302.134475204,15.015,10.3027948716,10.3027948716,386.76593055,pure_location,16,84.5069940693,True,B0,BASE,0,1,300,200,120,150,770,0,0,0,16,240.24,542.374475204,155.608544654,False,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,False,False,False,False
24,-8,388.994224464,15.015,1.54554668825,1.08007613984,386.76593055,pure_location,8,39.0109281376,True,B0,BASE,0,1,300,200,120,150,770,0,0,0,8,120.12,509.114224464,122.348293914,False,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,False,False,False,False
24,-4,444.182953706,15.015,1.54554668825,1.28481315792,386.76593055,pure_location,4,32.8359897274,True,B0,BASE,0,1,300,200,120,150,770,0,0,0,4,60.06,504.242953706,117.477023156,False,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,False,False,False,False
55,-16,182.014475204,0,10.3027948716,10.3027948716,316.940731494,mixed,16,84.5069940693,True,B0,BASE,0,1,300,200,120,150,770,0,0,0,16,240.24,422.254475204,105.31374371,False,NOT_RULED_OUT_BY_OPTIMISTIC_BOUND,False,False,False,False
