candidate,candidate_type,expanded_site,hours_before_stage7,total_paths,valid_real_checkpoint_paths,physically_unrecoverable,recovered_relative_to_base,newly_unrecoverable_relative_to_base,monotonicity_violation_count,added_kw,added_theoretical_8h_kg,checkpoint_not_present_paths,not_ruled_out_by_optimistic_bound
B0,BASE,0,16,473,470,70,0,0,0,0,0,3,400
B0,BASE,0,8,473,473,156,0,0,0,0,0,0,317
B0,BASE,0,4,473,473,167,0,0,0,0,0,0,306
S1_125,TARGETED,1,16,473,470,34,36,0,0,75,11.7,3,436
S1_125,TARGETED,1,8,473,473,141,15,0,0,75,11.7,0,332
S1_125,TARGETED,1,4,473,473,158,9,0,0,75,11.7,0,315
S2_125,TARGETED,2,16,473,470,39,31,0,0,50,7.8,3,431
S2_125,TARGETED,2,8,473,473,145,11,0,0,50,7.8,0,328
S2_125,TARGETED,2,4,473,473,159,8,0,0,50,7.8,0,314
S3_125,TARGETED,3,16,473,470,44,26,0,0,30,4.68,3,426
S3_125,TARGETED,3,8,473,473,147,9,0,0,30,4.68,0,326
S3_125,TARGETED,3,4,473,473,164,3,0,0,30,4.68,0,309
S4_125,TARGETED,4,16,473,470,39,31,0,0,37.5,5.85,3,431
S4_125,TARGETED,4,8,473,473,147,9,0,0,37.5,5.85,0,326
S4_125,TARGETED,4,4,473,473,159,8,0,0,37.5,5.85,0,314
S1_150,TARGETED,1,16,473,470,25,45,0,0,150,23.4,3,445
S1_150,TARGETED,1,8,473,473,121,35,0,0,150,23.4,0,352
S1_150,TARGETED,1,4,473,473,151,16,0,0,150,23.4,0,322
S2_150,TARGETED,2,16,473,470,32,38,0,0,100,15.6,3,438
S2_150,TARGETED,2,8,473,473,128,28,0,0,100,15.6,0,345
S2_150,TARGETED,2,4,473,473,156,11,0,0,100,15.6,0,317
S3_150,TARGETED,3,16,473,470,39,31,0,0,60,9.36,3,431
S3_150,TARGETED,3,8,473,473,145,11,0,0,60,9.36,0,328
S3_150,TARGETED,3,4,473,473,159,8,0,0,60,9.36,0,314
S4_150,TARGETED,4,16,473,470,34,36,0,0,75,11.7,3,436
S4_150,TARGETED,4,8,473,473,141,15,0,0,75,11.7,0,332
S4_150,TARGETED,4,4,473,473,158,9,0,0,75,11.7,0,315
ALL_125,UNIFORM,0,16,473,470,18,52,0,0,192.5,30.03,3,452
ALL_125,UNIFORM,0,8,473,473,110,46,0,0,192.5,30.03,0,363
ALL_125,UNIFORM,0,4,473,473,147,20,0,0,192.5,30.03,0,326
ALL_150,UNIFORM,0,16,473,470,7,63,0,0,385,60.06,3,463
ALL_150,UNIFORM,0,8,473,473,66,90,0,0,385,60.06,0,407
ALL_150,UNIFORM,0,4,473,473,122,45,0,0,385,60.06,0,351
