evaluation_id,pair_id,pair_group,initial_state_id,scenario_id,path_id,scenario_role,T_source,replay_case,identity_and_fixed_T_match,period_operating_loss,flat_operating_loss,operating_loss_abs_error,service_cost_abs_error,shortage_kg_abs_error,shortage_loss_abs_error,site_service_max_abs_error,period_site_node_service_max_abs_error,period_node_shortage_max_abs_error,flat_objective_decomposition_abs_error,evaluation_max_required_error,within_solver_tolerance
32,8,STEP03T_CONTROL,18,6256,6256,xi_s,T_s,T_S_ON_S,1,101398.379396119,101398.379396119,1.45519152283669e-11,0,7.105427357601e-15,1.45519152283669e-11,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,6.3664629124105e-12,1.45519152283669e-11,1
33,9,STEP03T_TIER1,30,3991,3991,xi_r,T_r,T_R_ON_R,1,764659.28972508,764659.28972508,1.16415321826935e-10,0,5.6843418860808e-14,1.16415321826935e-10,2.8421709430404e-14,0,0,5.34328137291595e-11,1.16415321826935e-10,1
34,9,STEP03T_TIER1,30,5821,5821,xi_s,T_r,T_R_ON_S,1,765870.229149424,765870.229149424,1.16415321826935e-10,2.27373675443232e-13,5.6843418860808e-14,1.16415321826935e-10,2.8421709430404e-14,0,0,5.34328137291595e-11,1.16415321826935e-10,1
35,9,STEP03T_TIER1,30,3991,3991,xi_r,T_s,T_S_ON_R,1,768736.617073456,768736.617073456,0,2.27373675443232e-13,0,0,1.4210854715202e-14,7.105427357601e-15,7.105427357601e-15,2.34194885706529e-11,2.27373675443232e-13,1
36,9,STEP03T_TIER1,30,5821,5821,xi_s,T_s,T_S_ON_S,1,767866.070466693,767866.070466693,1.16415321826935e-10,0,5.6843418860808e-14,1.16415321826935e-10,1.4210854715202e-14,0,0,2.34194885706529e-11,1.16415321826935e-10,1
37,10,STEP03T_TIER1,30,2508,2508,xi_r,T_r,T_R_ON_R,1,490160.106867374,490160.106867374,5.82076609134674e-11,1.81898940354586e-12,2.8421709430404e-14,5.82076609134674e-11,0,5.6843418860808e-14,5.6843418860808e-14,1.70530256582424e-11,5.82076609134674e-11,1
38,10,STEP03T_TIER1,30,6378,6378,xi_s,T_r,T_R_ON_S,1,710053.345152022,710053.345152022,3.49245965480804e-10,2.27373675443232e-13,1.70530256582424e-13,3.49245965480804e-10,0,4.61852778244065e-14,0,1.70530256582424e-11,3.49245965480804e-10,1
39,10,STEP03T_TIER1,30,2508,2508,xi_r,T_s,T_S_ON_R,1,492271.148094745,492271.148094745,2.3283064365387e-10,0,8.5265128291212e-14,1.74622982740402e-10,1.4210854715202e-14,3.27305457818509,0,1.4210854715202e-11,3.27305457818509,0
40,10,STEP03T_TIER1,30,6378,6378,xi_s,T_s,T_S_ON_S,1,472482.171302638,472482.171302638,5.82076609134674e-11,0,2.8421709430404e-14,5.82076609134674e-11,2.8421709430404e-14,8.88178419700125e-15,8.88178419700125e-15,1.4210854715202e-11,5.82076609134674e-11,1
41,11,STEP03T_TIER1,30,10710,10710,xi_r,T_r,T_R_ON_R,1,560419.925780222,560419.925780222,1.16415321826935e-10,0,5.6843418860808e-14,1.16415321826935e-10,2.8421709430404e-14,4.61852778244065e-14,0,6.48014975013211e-12,1.16415321826935e-10,1
42,11,STEP03T_TIER1,30,9931,9931,xi_s,T_r,T_R_ON_S,1,562847.557633163,562847.557633163,1.16415321826935e-10,0,5.6843418860808e-14,1.16415321826935e-10,0,22.6536289992686,22.6536289992686,6.48014975013211e-12,22.6536289992686,0
43,11,STEP03T_TIER1,30,10710,10710,xi_r,T_s,T_S_ON_R,1,577420.363200394,577420.363200393,1.16415321826935e-10,4.54747350886464e-13,5.6843418860808e-14,1.16415321826935e-10,5.6843418860808e-14,4.61852778244065e-14,0,1.59161572810262e-11,1.16415321826935e-10,1
44,11,STEP03T_TIER1,30,9931,9931,xi_s,T_s,T_S_ON_S,1,576314.180267858,576314.180267858,1.16415321826935e-10,0,5.6843418860808e-14,1.16415321826935e-10,0,4.52970994047064e-14,0,1.59161572810262e-11,1.16415321826935e-10,1
