path_id,state_id,a,loc,lf,terminal_loh_total_target_kg_saa,actual_final_inventory_total_kg_saa,actual_station_gap_total_kg_saa,max_feasible_terminal_inventory_total_kg_saa,system_capacity_gap_kg_saa,capacity_headroom_kg_saa,system_total_sufficient_saa,cumulative_normal_h2_service_kg_saa,cumulative_production_kg_saa,cumulative_available_production_capacity_kg_saa,terminal_loh_total_target_kg_dro,actual_final_inventory_total_kg_dro,actual_station_gap_total_kg_dro,max_feasible_terminal_inventory_total_kg_dro,system_capacity_gap_kg_dro,capacity_headroom_kg_dro,system_total_sufficient_dro,cumulative_normal_h2_service_kg_dro,cumulative_production_kg_dro,cumulative_available_production_capacity_kg_dro,feasibility_class,delta_target_kg,delta_actual_inventory_kg,delta_max_feasible_inventory_kg,delta_capacity_gap_kg,saa_gap_greater_than_dro,reverse_feasibility_flag
2,19,4,5,7,511.414777841421,432.296131703121,79.1186461382995,473.088409272046,38.3263685693743,-38.3263685693743,0,144,409.657722431075,450.45,542.961636332278,440.909553944889,102.052082387389,473.088409272046,69.8732270602312,-69.8732270602312,0,144,418.271144672842,450.45,C_both_infeasible,31.5468584908569,8.61342224176803,0,31.5468584908569,False,False
3,4,2,4,7,0,361.659748190202,0,382.998409272046,0,382.998409272046,1,144,339.021338918155,360.36,67.6431305846633,382.998409272046,0,382.998409272046,0,315.355278687383,1,144,360.36,360.36,A_both_feasible,67.6431305846633,21.338661081844,0,0,False,False
4,2,2,2,7,0,366.720027057769,0,457.688280672679,0,457.688280672679,1,159.400128599368,359.48174638509,450.45,110.465721330482,408.937407220862,0,457.688280672679,0,347.222559342196,1,159.400128599368,401.699126548184,450.45,A_both_feasible,110.465721330482,42.217380163093,0,0,False,False
5,7,2,7,7,0,336.12244050644,0,382.998409272046,0,382.998409272046,1,144,313.484031234394,360.36,0,373.752867500735,0,382.998409272046,0,382.998409272046,1,144,351.114458228688,360.36,A_both_feasible,0,37.630426994295,0,0,False,False
7,2,2,2,7,0,380.080610240543,0,497.985101509697,0,497.985101509697,1,209.193307762349,422.635508730846,540.54,110.465721330482,417.569718201873,0,497.985101509697,0,387.519380179215,1,209.193307762349,460.124616692175,540.54,A_both_feasible,110.465721330482,37.48910796133,0,0,False,False
8,19,4,5,7,511.414777841421,511.598280672679,3.27305457818921,511.598280672679,0,0.183502831258011,1,15.4001285993677,360.36,360.36,542.961636332278,511.598280672679,32.9985934814255,511.598280672679,31.3633556595989,-31.3633556595989,0,15.4001285993677,360.36,360.36,B_SAA_feasible_DRO_infeasible,31.5468584908569,0,0,31.3633556595989,False,False
11,5,2,5,7,0,329.441487908338,0,382.998409272046,0,382.998409272046,1,144,306.803078636291,360.36,30.2757519474911,349.566306807588,0,382.998409272046,0,352.722657324555,1,144,326.927897535541,360.36,A_both_feasible,30.2757519474911,20.12481889925,0,0,False,False
12,7,2,7,7,0,354.580912636635,0,382.998409272046,0,382.998409272046,1,144,331.942503364588,360.36,0,382.998409272046,0,382.998409272046,0,382.998409272046,1,144,360.36,360.36,A_both_feasible,0,28.417496635411,0,0,False,False
13,12,3,5,7,325.668930529416,369.931959909685,4.09597167461425,457.688280672679,0,132.019350143262,1,159.400128599368,362.693679237007,450.45,382.364473540397,417.866488777937,19.0498171782772,457.688280672679,0,75.3238071322816,1,159.400128599368,410.628208105259,450.45,A_both_feasible,56.695543010981,47.934528868252,0,0,False,False
15,9,3,2,7,382.129122003109,408.040963340209,13.2864253629649,457.688280672679,0,75.5591586695692,1,159.400128599368,400.802682667531,450.45,405.313274925785,443.954172036276,14.8950129096148,457.688280672679,0,52.3750057468939,1,159.400128599368,436.715891363597,450.45,A_both_feasible,23.184152922676,35.913208696067,0,0,False,False
