method,state,resource,observation_count,mean_utilization,median_utilization,q95_utilization,max_utilization,util_ge95_share,util_ge99_share,min_utilization
chi2_eta003,1,electrolyzer_production,5776,0.953281286427118,1,1,1,0.914993074792244,0.909106648199446,0
chi2_eta003,1,htt,1444,0.0859973973081888,0,0.328948332317128,0.597330721658082,0,0,0
chi2_eta003,1,storage,5776,0.402185195045607,0.377163366656137,0.636432005083237,0.951673481947256,0.0001731301939058,0,0.0984055949593324
saa,1,electrolyzer_production,5776,0.884942661146623,1,1,1.00000000000005,0.849030470914127,0.844875346260388,0
saa,1,htt,1444,0.0671160577992377,0,0.295608693737355,0.528794976596699,0,0,0
saa,1,storage,5776,0.391670545416693,0.388269940770192,0.604605915136969,0.93033373167831,0,0,0.0955905918080288
chi2_eta003,2,electrolyzer_production,11132,0.953799790696329,1,1,1,0.91699604743083,0.910348544735897,0
chi2_eta003,2,htt,2783,0.0832630772434425,0,0.320497435867067,0.640296181667678,0,0,0
chi2_eta003,2,storage,11132,0.401936129220181,0.377163366656137,0.636432005083237,1,0.0002694933524973,0.0001796622349982,0.0949734703546547
saa,2,electrolyzer_production,11132,0.88664448434769,1,1,1.00000000000005,0.852317642831477,0.847736255839023,0
saa,2,htt,2783,0.0646591192086201,0,0.271044186584415,0.528794976596699,0,0,0
saa,2,storage,11132,0.391515125326402,0.388269940770192,0.603083918955343,1,0.0001796622349982,0.0001796622349982,0.0942188717795834
chi2_eta003,3,electrolyzer_production,11436,0.949912567676382,1,1,1.00000000042041,0.912819167541098,0.906348373557188,0
chi2_eta003,3,htt,2859,0.0808047424091649,0,0.319869576363073,0.634131028077969,0,0,0
chi2_eta003,3,storage,11436,0.400663147312029,0.377163366656137,0.636426643251681,1,0.0002623294858342,8.74431619447359e-05,0.0949734703546547
saa,3,electrolyzer_production,11436,0.882167469644649,1,1,1.00000000000005,0.846974466596712,0.841727876880028,0
saa,3,htt,2859,0.0630659241470054,0,0.268824171990564,0.516200670646651,0,0,0
saa,3,storage,11436,0.390967990223631,0.388269940770192,0.596631343722251,1,0.0002623294858342,0.0002623294858342,0.138294446611078
chi2_eta003,4,electrolyzer_production,11996,0.938996048536893,1,1,1.0000000029889,0.897882627542514,0.892214071357119,0
chi2_eta003,4,htt,2999,0.0835056515746844,0,0.328948332317128,0.640296181667678,0,0,0
chi2_eta003,4,storage,11996,0.402662538008917,0.377163366656137,0.636875122363353,1,8.33611203734578e-05,8.33611203734578e-05,0.0949734703546547
saa,4,electrolyzer_production,11996,0.865028269911701,1,1,1.00000000000005,0.825275091697232,0.818522840946982,0
saa,4,htt,2999,0.0614765455744596,0,0.270815912646479,0.566024309190088,0,0,0
saa,4,storage,11996,0.392296933499165,0.388269940770192,0.608861043300026,1,0.0001667222407469,0.0001667222407469,0.145343662560715
chi2_eta003,5,electrolyzer_production,10784,0.929781778476427,1,1,1.00000000042041,0.892989614243323,0.885942136498516,0
chi2_eta003,5,htt,2696,0.0844708494152417,0,0.328948332317128,0.82226282475562,0,0,0
chi2_eta003,5,storage,10784,0.400652045746228,0.377163366656137,0.636432005083319,0.972392650134155,9.27299703264095e-05,0,0
saa,5,electrolyzer_production,10784,0.852221039734737,1,1,1.00000000000005,0.811016320474777,0.80424703264095,0
saa,5,htt,2696,0.0582622428093117,0,0.254473549075259,0.596883621786294,0,0,0
saa,5,storage,10784,0.391205208999718,0.388269940770192,0.594287436193846,1,0.0001854599406528,0.0001854599406528,0.134158057379802
chi2_eta003,6,electrolyzer_production,7580,0.922544808415837,1,1,1.00000000042041,0.883377308707124,0.875725593667546,0
chi2_eta003,6,htt,1895,0.0808663114989953,0,0.333311744258275,0.681340340433306,0,0,0
chi2_eta003,6,storage,7580,0.402479446841241,0.388269940770192,0.655106974128466,0.997932868117976,0.000131926121372,0.000131926121372,0.0621299747342502
saa,6,electrolyzer_production,7580,0.838696942032837,1,1,1.00000000000005,0.796701846965699,0.789050131926121,0
saa,6,htt,1895,0.055227061256452,0,0.242883589558097,0.582431980261182,0,0,0
saa,6,storage,7580,0.392438505563809,0.388269940770192,0.600273205194712,0.996182061520023,0.000131926121372,0.000131926121372,0.133869009065247
chi2_eta003,7,electrolyzer_production,17488,0.91074499209833,1,1,1.00000000042041,0.8685956084172,0.864535681610247,0
chi2_eta003,7,htt,4372,0.0817395635685201,0,0.325802883585769,0.681340340433306,0,0,0
chi2_eta003,7,storage,17488,0.399203232250035,0.377163366656137,0.65960379131723,0.999982700010903,5.71820677035682e-05,5.71820677035682e-05,0.0949734703546547
saa,7,electrolyzer_production,17488,0.824418351246959,1,1,1.00000000000005,0.776875571820677,0.76955626715462,0
saa,7,htt,4372,0.0517153547790918,0,0.235064292873473,0.682379552560806,0,0,0
saa,7,storage,17488,0.390324459295359,0.388269940770192,0.590438555211375,1,0.0001143641354071,0.0001143641354071,0.0955905918080288
chi2_eta003,8,electrolyzer_production,1384,0.979517244897256,1,1,1,0.96242774566474,0.960260115606936,0
chi2_eta003,8,htt,346,0.106779708087423,0,0.378798782663136,0.552341874072502,0,0,0
chi2_eta003,8,storage,1384,0.435663024656846,0.395136962985049,0.736379254622163,1,0.005057803468208,0.005057803468208,0.0621299747342502
saa,8,electrolyzer_production,1384,0.947004268581681,1,1,1,0.929913294797688,0.928468208092486,0
saa,8,htt,346,0.0974628420772726,0.0008022355710561,0.355470360183599,0.5979476239781,0,0,0
saa,8,storage,1384,0.429003832876175,0.391452368031343,0.716054457950925,1,0.0057803468208092,0.0057803468208092,0.133869009065247
chi2_eta003,9,electrolyzer_production,2288,0.97529916022571,1,1,1,0.954545454545455,0.948863636363636,0
chi2_eta003,9,htt,572,0.104848110051212,0.0007424890893524,0.414854767880459,0.643725293399093,0,0,0
chi2_eta003,9,storage,2288,0.437172147371682,0.395136962985049,0.759303680539066,1,0.0056818181818181,0.0043706293706293,0.017313777971857
saa,9,electrolyzer_production,2288,0.940871817622458,1,1,1.00000000000005,0.919143356643357,0.915646853146853,0
saa,9,htt,572,0.0993662425825209,0.0001320815465035,0.427519657071946,0.566024309190088,0,0,0
saa,9,storage,2288,0.431167093715625,0.391407186417341,0.742801552882562,1,0.0056818181818181,0.0039335664335664,0.141343901002278
chi2_eta003,10,electrolyzer_production,2208,0.975145804572904,1,1,1,0.956521739130435,0.951539855072464,0
chi2_eta003,10,htt,552,0.104706441237433,0,0.429374318580475,0.643725293399093,0,0,0
chi2_eta003,10,storage,2208,0.424889006610359,0.395136962985049,0.706764787936771,1,0.0031702898550724,0.0027173913043478,0.017313777971857
saa,10,electrolyzer_production,2208,0.933136132109298,1,1,1,0.915760869565217,0.911231884057971,0
saa,10,htt,552,0.0953455600806791,0,0.42954900774675,0.625506123338759,0,0,0
saa,10,storage,2208,0.418225047871332,0.389476154828844,0.691340572544908,1,0.0031702898550724,0.0031702898550724,0.150517205919916
chi2_eta003,11,electrolyzer_production,2360,0.970677540732692,1,1,1,0.955508474576271,0.952118644067797,0
chi2_eta003,11,htt,590,0.109543531188405,0,0.417652063932582,0.673428464115218,0,0,0
chi2_eta003,11,storage,2360,0.428715942043102,0.395136962985049,0.734627580872362,1,0.0025423728813559,0.0025423728813559,0.0984055949593324
saa,11,electrolyzer_production,2360,0.942730409128689,1,1,1,0.925423728813559,0.922457627118644,0
saa,11,htt,590,0.105082364526313,0,0.442616976597358,0.667353981084074,0,0,0
saa,11,storage,2360,0.422892321491158,0.391343603375068,0.714341301062157,1,0.0033898305084745,0.0029661016949152,0.138993956650885
chi2_eta003,12,electrolyzer_production,2032,0.964637880353396,1,1,1.00000000042041,0.94488188976378,0.94242125984252,0
chi2_eta003,12,htt,508,0.104062318603632,0,0.424478542021147,0.673070998295817,0,0,0
chi2_eta003,12,storage,2032,0.427987260297559,0.395136962985049,0.739174428307749,1,0.0034448818897637,0.0024606299212598,0.017313777971857
saa,12,electrolyzer_production,2032,0.925518553663215,1,1,1.00000000000005,0.901082677165354,0.896161417322835,0
saa,12,htt,508,0.0933977138897947,0,0.430284139116951,0.682379552560806,0,0,0
saa,12,storage,2032,0.42151408989872,0.391402776641119,0.711527133174088,1,0.0034448818897637,0.0034448818897637,0.121326224959977
chi2_eta003,13,electrolyzer_production,1592,0.963542239859421,1,1,1.00000000042041,0.942211055276382,0.936557788944724,0
chi2_eta003,13,htt,398,0.106006038644907,0.0012206603435854,0.423287135757866,0.771263464235395,0,0,0
chi2_eta003,13,storage,1592,0.435889545647463,0.395136962985049,0.769226971715807,1,0.0056532663316582,0.0037688442211055,0.017313777971857
saa,13,electrolyzer_production,1592,0.922595267334975,1,1,1.00000000000005,0.900753768844221,0.896984924623116,0
saa,13,htt,398,0.095794905456233,0,0.398875268888078,0.596883621786294,0,0,0
saa,13,storage,1592,0.429679090160876,0.395008487649723,0.730425680223192,1,0.0056532663316582,0.0037688442211055,0.150517205919916
chi2_eta003,14,electrolyzer_production,3264,0.951897224555867,1,1,1.00000000042041,0.930453431372549,0.925245098039216,0
chi2_eta003,14,htt,816,0.105479017446424,0,0.425241633213403,0.771263464235395,0,0,0
chi2_eta003,14,storage,3264,0.42800811575221,0.395136962985049,0.734486201672552,1,0.0033700980392156,0.0012254901960784,0.017313777971857
saa,14,electrolyzer_production,3264,0.904679117935834,1,1,1,0.881127450980392,0.878063725490196,0
saa,14,htt,816,0.0884931021886826,0,0.400814627240475,0.682379552560806,0,0,0
saa,14,storage,3264,0.422141191791573,0.391449854149095,0.711527133174088,1,0.0045955882352941,0.0036764705882352,0.150517205919916
chi2_eta003,15,electrolyzer_production,588,0.997040225742776,1,1,1,0.994897959183674,0.994897959183674,0
chi2_eta003,15,htt,147,0.121496404821879,0.0511069024054965,0.470132768910094,0.552341874072502,0,0,0
chi2_eta003,15,storage,588,0.465454895900904,0.420751566491213,0.793404189282154,1,0.0119047619047619,0.0102040816326531,0.12842399087094
saa,15,electrolyzer_production,588,0.992802420250771,1,1,1,0.991496598639456,0.991496598639456,0
saa,15,htt,147,0.127732244496529,0.0829639677160676,0.477234769593293,0.5979476239781,0,0,0
saa,15,storage,588,0.462696346474637,0.39914260456392,0.808214916152762,1,0.0153061224489796,0.0085034013605442,0.153190689412954
chi2_eta003,16,electrolyzer_production,1388,0.995352410590023,1,1,1,0.989193083573487,0.987752161383285,0
chi2_eta003,16,htt,347,0.120846131906615,0.0697989127811997,0.418929246000802,0.643725293399093,0,0,0
chi2_eta003,16,storage,1388,0.478039517987251,0.428942410092928,0.822396156253826,1,0.0208933717579251,0.0180115273775216,0.017313777971857
saa,16,electrolyzer_production,1388,0.990514373347433,1,1,1,0.982708933717579,0.981268011527378,0
saa,16,htt,347,0.135644248921125,0.0944269806000853,0.434125481210265,0.6129729809654,0,0,0
saa,16,storage,1388,0.474464544704846,0.40194376613232,0.88113370476569,1,0.0302593659942363,0.0187319884726225,0.133869009065247
chi2_eta003,17,electrolyzer_production,1392,0.992770934527676,1,1,1,0.987787356321839,0.987787356321839,0
chi2_eta003,17,htt,348,0.119930333355537,0.0647957661611565,0.486835315004398,0.552622102765516,0,0,0
chi2_eta003,17,storage,1392,0.463099567928731,0.39914260456392,0.807188651560356,1,0.014367816091954,0.0114942528735632,0.120881992615168
saa,17,electrolyzer_production,1392,0.983825823121487,1,1,1,0.979885057471264,0.979166666666667,0
saa,17,htt,348,0.132756373723545,0.0784260934443612,0.456997332603843,0.625506123338759,0,0,0
saa,17,storage,1392,0.459040129584356,0.395136962985049,0.824052513891458,1,0.0244252873563218,0.0158045977011494,0.153190689412954
chi2_eta003,18,electrolyzer_production,960,0.99163230135196,1,1,1,0.986458333333333,0.984375,0
chi2_eta003,18,htt,240,0.116369612491543,0.0594835837998963,0.373065877996868,0.643725293399093,0,0,0
chi2_eta003,18,storage,960,0.462121468764167,0.402789280419471,0.801489325146243,1,0.009375,0.0083333333333333,0.017313777971857
saa,18,electrolyzer_production,960,0.984169108481855,1,1,1,0.977083333333333,0.977083333333333,0
saa,18,htt,240,0.125534314387441,0.0903637508056202,0.406480660760218,0.568322690984112,0,0,0
saa,18,storage,960,0.459138603621543,0.39914260456392,0.804926900050584,1,0.0135416666666667,0.0083333333333333,0.138993956650885
chi2_eta003,19,electrolyzer_production,812,0.985757138806435,1,1,1,0.981527093596059,0.977832512315271,0
chi2_eta003,19,htt,203,0.119012793763761,0.0746306155553057,0.444671035311707,0.643725293399093,0,0,0
chi2_eta003,19,storage,812,0.471138585087588,0.414325906372766,0.824362349252816,1,0.0184729064039409,0.0160098522167488,0.017313777971857
saa,19,electrolyzer_production,812,0.973038715165378,1,1,1,0.96551724137931,0.96551724137931,0
saa,19,htt,203,0.125031777145288,0.0914054279107951,0.434125481210265,0.558352189503504,0,0,0
saa,19,storage,812,0.467601995038576,0.399889680175349,0.858008149024002,1,0.0258620689655172,0.0123152709359606,0.150517205919916
