state,a,loc,lf,oos_count,saa_infeasible_path_count,dro_infeasible_path_count,saa_infeasible_share,dro_infeasible_share,saa_conditional_mean_capacity_gap_kg,dro_conditional_mean_capacity_gap_kg,saa_unconditional_mean_capacity_gap_kg,dro_unconditional_mean_capacity_gap_kg,saa_actual_final_inventory_mean_kg,dro_actual_final_inventory_mean_kg,delta_actual_inventory_kg,saa_target_total_kg,dro_target_total_kg,delta_target_kg,saa_max_feasible_inventory_mean_kg,dro_max_feasible_inventory_mean_kg,delta_max_feasible_inventory_kg,delta_unconditional_capacity_gap_kg,saa_gap_greater_than_dro_path_count,saa_infeasible_dro_feasible_path_count,saa_inventory_entering_last_preterminal_stage_mean_kg,saa_cumulative_normal_h2_service_mean_kg,saa_cumulative_production_mean_kg,saa_cumulative_available_production_capacity_mean_kg,saa_initial_inventory_total_mean_kg,saa_production_mean_utilization,saa_production_q95_utilization,saa_production_util_ge99_share,saa_storage_mean_utilization,saa_storage_q95_utilization,saa_storage_util_ge99_share,saa_htt_mean_utilization,saa_htt_q95_utilization,saa_htt_util_ge99_share,dro_inventory_entering_last_preterminal_stage_mean_kg,dro_cumulative_normal_h2_service_mean_kg,dro_cumulative_production_mean_kg,dro_cumulative_available_production_capacity_mean_kg,dro_initial_inventory_total_mean_kg,dro_production_mean_utilization,dro_production_q95_utilization,dro_production_util_ge99_share,dro_storage_mean_utilization,dro_storage_q95_utilization,dro_storage_util_ge99_share,dro_htt_mean_utilization,dro_htt_q95_utilization,dro_htt_util_ge99_share,saa_target_rank_desc_35,dro_target_rank_desc_35,delta_normal_service_kg,delta_production_kg
1,2,1,7,354,0,0,0,0,0,0,0,0,358.968661141181,381.060586207769,22.0919250665888,0,112.166696626405,112.166696626405,395.879412512878,395.898422716233,0.0190102033548669,0,0,0,321.408746844995,138.244759471032,330.575011340167,367.485762711864,166.638409272046,0.884942661146623,1,0.844875346260388,0.391670545416693,0.604605915136969,0,0.0671160577992377,0.295608693737355,0,330.393250140748,138.225749267678,352.647926203401,367.485762711864,166.638409272046,0.953281286427118,1,0.909106648199446,0.402185195045607,0.636432005083237,0,0.0859973973081888,0.328948332317128,0,29,29,-0.0190102033548953,22.072914863234
2,2,2,7,681,0,0,0,0,0,0,0,0,358.273923002725,379.615212388484,21.3412893857596,0,110.465721330482,110.465721330482,394.279385323726,394.279385323726,0,0,0,0,320.40320262034,140.524178133342,332.15969186402,368.165154185022,166.638409272046,0.88664448434769,1,0.847736255839023,0.391515125326402,0.603083918955343,0.0001796622349982,0.0646591192086201,0.271044186584415,0,329.218881305369,140.524178133342,353.50098124978,368.165154185022,166.638409272046,0.953799790696329,1,0.910348544735897,0.401936129220181,0.636432005083237,0.0001796622349982,0.0832630772434425,0.320497435867067,0,29,30,0,21.3412893857597
3,2,3,7,706,0,0,0,0,0,0,0,0,355.809259933872,376.975982952674,21.1667230188024,0,79.4853371037635,79.4853371037635,392.822678276741,392.916274818485,0.0935965417431817,0,0,0,319.441140667315,138.641949125616,327.812799787442,364.826218130312,166.638409272046,0.882167469644649,1,0.841727876880028,0.390967990223631,0.596631343722251,0.0002623294858342,0.0630659241470054,0.268824171990564,0,327.700746789204,138.548352583873,348.885926264501,364.826218130312,166.638409272046,0.949912567676382,1,0.906348373557188,0.400663147312029,0.636426643251681,8.74431619447359e-05,0.0808047424091649,0.319869576363073,0,29,31,-0.0935965417431532,21.0731264770593
4,2,4,7,716,0,0,0,0,0,0,0,0,357.795849821168,381.919011590155,24.1231617689868,0,67.6431305846633,67.6431305846633,401.589863117098,401.721572487075,0.131709369976875,0,0,0,324.12624551625,142.394789171708,333.55222972083,377.34624301676,166.638409272046,0.865028269911701,1,0.818522840946982,0.392296933499165,0.608861043300026,0.0001667222407469,0.0614765455744596,0.270815912646479,0,333.467970956962,142.263079801731,357.54368211984,377.34624301676,166.638409272046,0.938996048536893,1,0.892214071357119,0.402662538008917,0.636875122363353,8.33611203734578e-05,0.0835056515746844,0.328948332317128,0,29,32,-0.131709369976903,23.9914523990101
5,2,5,7,644,0,0,0,0,0,0,0,0,353.956295991862,378.814860870688,24.8585648788258,0,30.2757519474911,30.2757519474911,401.415435546592,401.50531837841,0.0898828318178744,0,0,0,323.778155362964,142.369930247193,329.687816967009,377.146956521739,166.638409272046,0.852221039734737,1,0.80424703264095,0.391205208999718,0.594287436193846,0.0001854599406528,0.0582622428093117,0.254473549075259,0,333.170475352742,142.280047415375,354.456499014017,377.146956521739,166.638409272046,0.929781778476427,1,0.885942136498516,0.400652045746228,0.636432005083319,0,0.0844708494152417,0.328948332317128,0,29,33,-0.0898828318179028,24.7686820470081
6,2,6,7,445,0,0,0,0,0,0,0,0,354.442680163252,381.423457415541,26.9807772522892,0,0.71367875842609,0.71367875842609,407.389341765493,407.419682246209,0.0303404807158927,0,0,0,325.861300483764,142.890752899812,330.695023791018,383.641685393258,166.638409272046,0.838696942032837,1,0.789050131926121,0.392438505563809,0.600273205194712,0.000131926121372,0.055227061256452,0.242883589558097,0,336.677613596066,142.860412419096,357.645460562591,383.641685393258,166.638409272046,0.922544808415837,1,0.875725593667546,0.402479446841241,0.655106974128466,0.000131926121372,0.0808663114989953,0.333311744258275,0,29,34,-0.0303404807158643,26.9504367715734
7,2,7,7,1023,0,0,0,0,0,0,0,0,349.459336892212,377.381582823474,27.9222459312614,0,0,0,406.738875286112,406.91231016462,0.173434878508431,0,0,0,324.562182917726,144.917598502064,327.73852612223,385.018064516129,166.638409272046,0.824418351246959,1,0.76955626715462,0.390324459295359,0.590438555211375,0.0001143641354071,0.0517153547790918,0.235064292873473,0,334.891203867967,144.744163623555,355.487337174983,385.018064516129,166.638409272046,0.91074499209833,1,0.864535681610247,0.399203232250035,0.65960379131723,5.71820677035682e-05,0.0817395635685201,0.325802883585769,0,29,35,-0.173434878508488,27.7488110527531
8,3,1,7,81,7,33,0.0864197530864197,0.407407407407407,58.7875734974812,28.120363909926,5.08040758620208,11.4564445558958,428.264004059902,440.454238585963,12.190234526061,371.491694624008,405.313265587416,33.821570963408,445.845379606377,447.179919713616,1.33454010723887,6.37603696969368,0,0,358.343386054816,105.621918554558,367.247513342414,384.828888888889,166.638409272046,0.947004268581681,1,0.928468208092486,0.429003832876175,0.716054457950925,0.0057803468208092,0.0974628420772726,0.355470360183599,0,365.794426755349,104.28737844732,378.103207761236,384.828888888889,166.638409272046,0.979517244897256,1,0.960260115606936,0.435663024656846,0.736379254622163,0.005057803468208,0.106779708087423,0.378798782663136,0,24,23,-1.33454010723877,10.8556944188224
9,3,2,7,133,18,46,0.135338345864662,0.345864661654135,41.8240251428761,34.1799261912704,5.66039438023887,11.8216286075071,433.465913056151,445.276127792073,11.8102147359222,382.129122003109,405.313274925785,23.184152922676,453.09579641782,453.793664361751,0.697867943931271,6.16123422726819,0,0,364.183962977826,100.997349696332,367.824853480436,387.454736842105,166.638409272046,0.940871817622458,1,0.915646853146853,0.431167093715625,0.742801552882562,0.0039335664335664,0.0993662425825209,0.427519657071946,0,371.381238148724,100.2994817524,378.937200272427,387.454736842105,166.638409272046,0.97529916022571,1,0.948863636363636,0.437172147371682,0.759303680539066,0.0043706293706293,0.104848110051212,0.414854767880459,0,22,22,-0.697867943931286,11.1123467919909
10,3,3,7,131,17,63,0.129770992366412,0.480916030534351,35.8261553071695,27.4435151850737,4.64919572688459,13.1980263867148,413.586457436135,428.083245544273,14.4967881081381,372.309958268554,405.313258646956,33.0033003784019,435.247739456119,436.018219353796,0.770479897676864,8.54883065983023,0,0,346.776438942345,111.006547678523,357.954595842611,379.615877862595,166.638409272046,0.933136132109298,1,0.911231884057971,0.418225047871332,0.691340572544908,0.0031702898550724,0.0953455600806791,0.42954900774675,0,353.947495016852,110.236067780846,371.680904053072,379.615877862595,166.638409272046,0.975145804572904,1,0.951539855072464,0.424889006610359,0.706764787936771,0.0027173913043478,0.104706441237433,0.429374318580475,0,23,24,-0.77047989767685,13.7263082104612
