state,a,loc,lf,oos_count,saa_infeasible_path_count,dro_infeasible_path_count,saa_infeasible_share,dro_infeasible_share,saa_conditional_mean_capacity_gap_kg,dro_conditional_mean_capacity_gap_kg,saa_unconditional_mean_capacity_gap_kg,dro_unconditional_mean_capacity_gap_kg,saa_actual_final_inventory_mean_kg,dro_actual_final_inventory_mean_kg,delta_actual_inventory_kg,saa_target_total_kg,dro_target_total_kg,delta_target_kg,saa_max_feasible_inventory_mean_kg,dro_max_feasible_inventory_mean_kg,delta_max_feasible_inventory_kg,delta_unconditional_capacity_gap_kg,saa_gap_greater_than_dro_path_count,saa_infeasible_dro_feasible_path_count
1,2,1,7,354,0,0,0,0,0,0,0,0,358.968661141181,381.060586207769,22.0919250665888,0,112.166696626405,112.166696626405,395.879412512878,395.898422716233,0.0190102033548669,0,0,0
2,2,2,7,681,0,0,0,0,0,0,0,0,358.273923002725,379.615212388484,21.3412893857596,0,110.465721330482,110.465721330482,394.279385323726,394.279385323726,0,0,0,0
3,2,3,7,706,0,0,0,0,0,0,0,0,355.809259933872,376.975982952674,21.1667230188024,0,79.4853371037635,79.4853371037635,392.822678276741,392.916274818485,0.0935965417431817,0,0,0
4,2,4,7,716,0,0,0,0,0,0,0,0,357.795849821168,381.919011590155,24.1231617689868,0,67.6431305846633,67.6431305846633,401.589863117098,401.721572487075,0.131709369976875,0,0,0
5,2,5,7,644,0,0,0,0,0,0,0,0,353.956295991862,378.814860870688,24.8585648788258,0,30.2757519474911,30.2757519474911,401.415435546592,401.50531837841,0.0898828318178744,0,0,0
6,2,6,7,445,0,0,0,0,0,0,0,0,354.442680163252,381.423457415541,26.9807772522892,0,0.71367875842609,0.71367875842609,407.389341765493,407.419682246209,0.0303404807158927,0,0,0
7,2,7,7,1023,0,0,0,0,0,0,0,0,349.459336892212,377.381582823474,27.9222459312614,0,0,0,406.738875286112,406.91231016462,0.173434878508431,0,0,0
8,3,1,7,81,7,33,0.0864197530864197,0.407407407407407,58.7875734974812,28.120363909926,5.08040758620208,11.4564445558958,428.264004059902,440.454238585963,12.190234526061,371.491694624008,405.313265587416,33.821570963408,445.845379606377,447.179919713616,1.33454010723887,6.37603696969368,0,0
9,3,2,7,133,18,46,0.135338345864662,0.345864661654135,41.8240251428761,34.1799261912704,5.66039438023887,11.8216286075071,433.465913056151,445.276127792073,11.8102147359222,382.129122003109,405.313274925785,23.184152922676,453.09579641782,453.793664361751,0.697867943931271,6.16123422726819,0,0
10,3,3,7,131,17,63,0.129770992366412,0.480916030534351,35.8261553071695,27.4435151850737,4.64919572688459,13.1980263867148,413.586457436135,428.083245544273,14.4967881081381,372.309958268554,405.313258646956,33.0033003784019,435.247739456119,436.018219353796,0.770479897676864,8.54883065983023,0,0
11,3,4,7,139,7,34,0.0503597122302158,0.244604316546763,39.94932859242,29.992013095663,2.0118366917046,7.33617586512621,425.75900715074,435.767934044655,10.0089268939153,355.126421733082,396.04045228592,40.914030552838,444.475794477399,445.398661889925,0.922867412525818,5.32433917342161,0,0
12,3,5,7,117,12,16,0.102564102564103,0.136752136752137,13.2878366913346,55.1498777844114,1.36285504526509,7.54186362863745,418.919461726889,433.908170187775,14.9887084608861,325.668930529416,382.364473540397,56.695543010981,443.610501456452,445.543613340759,1.93311188430721,6.17900858337237,0,0
13,3,6,7,89,0,5,0,0.0561797752808989,0,46.6597575303322,0,2.62133469271529,433.927998341484,449.619092656361,15.6910943148774,240.569511496604,355.126452344801,114.556940848197,460.488513058397,462.42244503751,1.9339319791128,2.62133469271529,0,0
14,3,7,7,188,0,0,0,0,0,0,0,0,413.956951586481,431.15580006794,17.1988484814592,185.745847312004,299.484469224306,113.738621912302,445.527602376407,447.238955811251,1.71135343484394,0,0,0
15,4,1,7,34,29,29,0.852941176470588,0.852941176470588,101.492284030089,110.252968307433,86.566948143311,94.0392964975162,490.2302884301,492.660930435655,2.43064200555494,576.875869405122,586.147377878832,9.27150847371001,492.67232986917,493.483435649962,0.811105780792388,7.4723483542052,1,1
16,4,2,7,78,62,63,0.794871794871795,0.807692307692308,93.1076478749133,104.048297737574,74.0086431826234,84.0390097111175,502.744965573318,505.691717904656,2.94675233133819,571.966287537845,585.059146032685,13.0928584948401,506.02374658232,507.278915992361,1.25516941004128,10.0303665284941,1,0
