scope,a0,loc0,lfw0,candidate_source,path_count,theoretical_probability_mass,raw_D_mean_contribution_kg,raw_full_loss_probability_contribution,raw_A0_probability_contribution,raw_road_disconnection_probability_contribution,raw_joint_damage_probability_contribution,probability_renormalized,aggregation_definition,interpretation
initial_state,2,1,0,observed_candidate,6,1.21774685936119e-06,0.00049911466313738,0,3.78521981160665e-07,1.15212012235548e-06,1.21455997713652e-06,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,1,0,unobserved_candidate,29,5.21325e-11,2.95166283839293e-08,6.230496e-12,3.32307779323232e-11,5.21321512e-11,5.21325e-11,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,1,0,all_candidates,35,1.21779899186119e-06,0.000499144179765764,6.230496e-12,3.78555211938597e-07,1.15217225450668e-06,1.21461210963652e-06,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,2,0,observed_candidate,9,4.02979580873798e-07,9.8056071357899e-05,6.75919999999998e-11,5.63306270992069e-08,3.14993071157426e-07,4.02843284921798e-07,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,2,0,unobserved_candidate,24,7.1189268e-11,4.02112173489895e-08,1.06235624e-11,4.4636281389899e-11,7.1189268e-11,7.1189268e-11,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,2,0,all_candidates,33,4.03050770141798e-07,9.8096282575248e-05,7.82155623999998e-11,5.63752633805968e-08,3.15064260425426e-07,4.02914474189798e-07,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,3,0,observed_candidate,2,5.80636056e-09,2.347722559964e-06,0,1.42975923066667e-09,5.693894976e-09,5.80636056e-09,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,3,0,unobserved_candidate,19,4.20504253333333e-11,2.38926848958169e-08,5.76881846666667e-12,2.63627438170034e-11,4.20504253333333e-11,4.20504253333333e-11,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,3,0,all_candidates,21,5.84841098533333e-09,2.37161524485981e-06,5.76881846666667e-12,1.45612197448367e-09,5.73594540133333e-09,5.84841098533333e-09,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,4,0,observed_candidate,8,2.69195347666562e-06,0.000957534285449127,1.0189795e-09,9.82556632721387e-07,2.68180560148594e-06,2.69120503666562e-06,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,4,0,unobserved_candidate,12,2.05107584e-11,1.15129827280037e-08,3.64223488e-12,1.29997992387879e-11,2.05105584e-11,2.05107584e-11,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,4,0,all_candidates,20,2.69197398742403e-06,0.000957545798431855,1.02262173488e-09,9.82569632520625e-07,2.68182611204434e-06,2.69122554742402e-06,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,5,0,observed_candidate,2,5.63869164375e-08,2.07641206896096e-05,0,1.61763676359375e-08,5.62714428375e-08,5.63869164375e-08,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,5,0,unobserved_candidate,31,1.91538208e-11,1.07556430588877e-08,3.39929128e-12,1.15688977084848e-11,1.91523648e-11,1.91536768e-11,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,5,0,all_candidates,33,5.64060702583e-08,2.07748763326685e-05,3.39929128e-12,1.6187936533646e-08,5.62905952023e-08,5.64060701143e-08,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,6,0,observed_candidate,6,1.45411860525096e-06,0.000391587268947767,0,2.16227267392506e-07,1.21176994519188e-06,1.45285707359307e-06,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,6,0,unobserved_candidate,47,1.21527693333333e-11,6.80168988004619e-09,3.09744186666667e-12,7.1414736213468e-12,1.21492152666667e-11,1.21517577333333e-11,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,6,0,all_candidates,53,1.45413075802029e-06,0.000391594070637648,3.09744186666667e-12,2.16234408866127e-07,1.21178209440715e-06,1.4528692253508e-06,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,7,0,observed_candidate,7,7.02313146802485e-07,0.000247134952396236,0,1.75096313655531e-07,6.32511977053422e-07,6.98897608073685e-07,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,7,0,unobserved_candidate,32,4.0679136e-12,2.26158860239479e-09,8.1676528e-13,2.36441985858586e-12,4.0673312e-12,4.0679136e-12,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,2,7,0,all_candidates,39,7.02317214716085e-07,0.000247137213984839,8.1676528e-13,1.75098678075389e-07,6.32516044384622e-07,6.98901675987285e-07,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,3,1,0,observed_candidate,6,4.14976889275e-07,0.000181431314243221,2.364165024375e-08,2.37259375213785e-07,4.14972735775e-07,4.14976889275e-07,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,3,1,0,unobserved_candidate,28,5.9678568e-11,3.56665187706407e-08,3.54310346e-11,4.8093006510101e-11,5.9677708e-11,5.9678568e-11,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,3,1,0,all_candidates,34,4.15036567843e-07,0.000181466980761992,2.367708127835e-08,2.37307468220295e-07,4.15032413483e-07,4.15036567843e-07,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,3,2,0,observed_candidate,8,7.34622315778829e-07,0.000283685494035513,1.54412449767442e-08,2.61875457612423e-07,7.33855453081154e-07,7.34622315778829e-07,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,3,2,0,unobserved_candidate,28,8.4469672e-11,5.02742024866487e-08,3.69160268e-11,6.6495756320202e-11,8.4468464e-11,8.4469672e-11,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,3,2,0,all_candidates,36,7.34706785450828e-07,0.000283735768238,1.54781610035442e-08,2.61941953368743e-07,7.33939921545154e-07,7.34706785450828e-07,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,3,3,0,observed_candidate,7,8.30735660025e-07,0.000364561800462012,6.885758776875e-08,3.53939712830104e-07,8.30170595085e-07,8.30735660025e-07,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,3,3,0,unobserved_candidate,25,5.36566e-11,3.21108358961351e-08,2.73631026666667e-11,4.21043538308081e-11,5.3655672e-11,5.36566e-11,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,3,3,0,all_candidates,32,8.30789316625e-07,0.000364593911297908,6.88849508714166e-08,3.53981817183935e-07,8.30224250757e-07,8.30789316625e-07,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
initial_state,3,4,0,observed_candidate,4,3.8695505796e-07,0.000159896889385986,1.596513324e-08,1.54534108988636e-07,3.8695505796e-07,3.8695505796e-07,0,raw contribution within conditional initial state,candidate subset only; not renormalized and not a formal expectation
