selection_path_id,run005_unique_path_id,source_category,run005_theoretical_path_probability,step3b_path_probability,matrix_recomputed_path_probability,step3b_minus_run005,recomputed_minus_run005,physical_key_match,scenario_count,stage_row_count,is_finite_nonnegative,run005_step3b_pass,matrix_recompute_pass,twenty_repeats_pass,pending_identity_pass
1,1,observed_candidate,2.088326521875e-08,2.088326521875e-08,2.088326521875e-08,0,3.97046694025453e-23,1,20,60,1,1,1,1,1
2,2,observed_candidate,6.206390775e-09,6.206390775e-09,6.206390775e-09,0,0,1,20,60,1,1,1,1,1
3,3,unobserved_candidate,2.592e-15,2.592e-15,2.592e-15,0,7.88860905221012e-31,1,20,60,1,1,1,1,1
4,4,unobserved_candidate,1.0368e-13,1.0368e-13,1.0368e-13,0,1.26217744835362e-29,1,20,60,1,1,1,1,1
5,5,unobserved_candidate,2.7e-14,2.7e-14,2.7e-14,0,3.15544362088405e-30,1,20,60,1,1,1,1,1
6,6,unobserved_candidate,5.76e-16,5.76e-16,5.76e-16,0,1.97215226305253e-31,1,20,60,1,1,1,1,1
7,7,unobserved_candidate,1.44e-15,1.44e-15,1.44e-15,0,5.91645678915759e-31,1,20,60,1,1,1,1,1
8,8,unobserved_candidate,7.2e-16,7.2e-16,7.2e-16,0,2.95822839457879e-31,1,20,60,1,1,1,1,1
9,9,unobserved_candidate,1.0368e-13,1.0368e-13,1.0368e-13,0,1.26217744835362e-29,1,20,60,1,1,1,1,1
10,10,unobserved_candidate,2.88e-14,2.88e-14,2.88e-14,0,6.31088724176809e-30,1,20,60,1,1,1,1,1
11,11,unobserved_candidate,2.7e-14,2.7e-14,2.7e-14,0,9.46633086265214e-30,1,20,60,1,1,1,1,1
12,12,unobserved_candidate,1.44e-15,1.44e-15,1.44e-15,0,5.91645678915759e-31,1,20,60,1,1,1,1,1
13,13,unobserved_candidate,1.8e-15,1.8e-15,1.8e-15,0,3.94430452610506e-31,1,20,60,1,1,1,1,1
14,14,unobserved_candidate,3.168e-15,3.168e-15,3.168e-15,0,1.18329135783152e-30,1,20,60,1,1,1,1,1
15,15,unobserved_candidate,7.2e-16,7.2e-16,7.2e-16,0,2.95822839457879e-31,1,20,60,1,1,1,1,1
16,16,unobserved_candidate,1.8e-15,1.8e-15,1.8e-15,0,3.94430452610506e-31,1,20,60,1,1,1,1,1
17,17,observed_candidate,2.1756976744186e-10,2.1756976744186e-10,2.1756976744186e-10,0,4.13590306276514e-25,1,20,60,1,1,1,1,1
18,18,unobserved_candidate,4.8384e-13,4.8384e-13,4.8384e-13,0,1.0097419586829e-28,1,20,60,1,1,1,1,1
19,19,unobserved_candidate,4.43232e-11,4.43232e-11,4.43232e-11,0,0,1,20,60,1,1,1,1,1
20,20,unobserved_candidate,2.736e-12,2.736e-12,2.736e-12,0,8.07793566946316e-28,1,20,60,1,1,1,1,1
21,21,observed_candidate,1.846553436e-07,1.846553436e-07,1.846553436e-07,0,7.94093388050907e-23,1,20,60,1,1,1,1,1
22,22,observed_candidate,9.3665754e-07,9.3665754e-07,9.3665754e-07,0,2.11758236813575e-22,1,20,60,1,1,1,1,1
23,23,observed_candidate,6.912675e-08,6.912675e-08,6.912675e-08,0,1.32348898008484e-23,1,20,60,1,1,1,1,1
24,24,unobserved_candidate,4.8384e-13,4.8384e-13,4.8384e-13,0,2.01948391736579e-28,1,20,60,1,1,1,1,1
25,25,unobserved_candidate,1.344e-13,1.344e-13,1.344e-13,0,7.57306469012171e-29,1,20,60,1,1,1,1,1
26,26,unobserved_candidate,6.72e-15,6.72e-15,6.72e-15,0,1.57772181044202e-30,1,20,60,1,1,1,1,1
27,27,unobserved_candidate,8.4e-15,8.4e-15,8.4e-15,0,3.15544362088405e-30,1,20,60,1,1,1,1,1
28,28,unobserved_candidate,1.4784e-14,1.4784e-14,1.4784e-14,0,3.15544362088405e-30,1,20,60,1,1,1,1,1
29,29,unobserved_candidate,8e-16,8e-16,8e-16,0,1.97215226305253e-31,1,20,60,1,1,1,1,1
