"state_id","intensity","loc","lfw","eta","T1_kg","T2_kg","T3_kg","T4_kg","TerminalLOH_total_kg","TERMINALLOH_VERSION","MODE","STATE_COUNT","SITE_COUNT","ADOPTED_DRO_ETA","TANK_CAP_KG","SOURCE_STAGE","SOURCE_RUN"
"1","2","1","0","0","0","0","0","0","0","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"2","2","2","0","0","0","0","0","0","0","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"3","2","3","0","0","0","0","0","0","0","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"4","2","4","0","0","0","0","0","0","0","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"5","2","5","0","0","0","0","0","0","0","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"6","2","6","0","0","0","0","0","0","0","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"7","2","7","0","0","0","0","0","0","0","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"8","3","1","0","0","6.546109156370181","0","0","4.909581867277637","11.455691023647818","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"9","3","2","0","0","12.273954668194092","0","0","12.27395466819409","24.54790933638818","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"10","3","3","0","0","22.911382047295636","0","1.6365272890925455","13.910481957286637","38.458391293674815","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"11","3","4","0","0","13.910481957286638","4.909581867277637","4.091318222731363","16.365272890925453","39.27665493822109","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"12","3","5","0","0","2.863922755911955","0","0","0","2.863922755911955","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"13","3","6","0","0","0","0","0","0","0","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"14","3","7","0","0","0","0","0","0","0","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"15","4","1","0","0","109.78370564329165","38.0492594714016","22.911382047295717","104.73774650192286","275.4820936639118","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"16","4","2","0","0","126.96724217876326","44.18623680549873","23.184136595477728","111.96574202874834","306.30335760848806","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"17","4","3","0","0","145.2417969069634","60.6878869705153","22.911382047295636","85.91768267735861","314.758748602133","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
"18","4","4","0","0","130.10391948285738","81.82636445462731","24.547909336388184","75.68938712053016","312.16758039440305","TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE","SAA","35","4","0","[300,200,100,200]","Temporal3p5_DurationAware_SAA_Formulation","partial_temporal_refinement/terminalLoh_saa_base2/run-001"
