state_id,intensity,loc,lfw,eta,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,TERMINALLOH_VERSION,MODE,STATE_COUNT,SITE_COUNT,ADOPTED_DRO_ETA,TANK_CAP_KG,SOURCE_STAGE,SOURCE_RUN
1,2,1,0,0.03,0.0,0.0,0.0,0.0,0.0,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
2,2,2,0,0.03,0.0,0.0,0.0,0.0,0.0,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
3,2,3,0,0.03,0.0,0.0,0.0,0.0,0.0,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
4,2,4,0,0.03,0.0,0.0,0.0,0.0,0.0,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
5,2,5,0,0.03,0.0,0.0,0.0,0.0,0.0,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
6,2,6,0,0.03,0.0,0.0,0.0,0.0,0.0,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
7,2,7,0,0.03,0.0,0.0,0.0,0.0,0.0,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
8,3,1,0,0.03,43.323379437304105,4.909582532588647,8.18354555172709,42.82190802307902,99.23841554469888,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
9,3,2,0,0.03,58.91527805133136,9.954631817318011,15.54700871435688,56.051260942005015,140.4681795250113,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
10,3,3,0,0.03,67.91585474863501,9.2738046344338,11.455677163724316,32.730518173190404,121.37585471998354,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
11,3,4,0,0.03,50.17752558407634,35.677209791762635,17.18353652808744,39.87528371152279,142.9135556154492,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
12,3,5,0,0.03,18.275522592414,4.909582765996089,5.727849104125991,12.682115585209882,41.59507004774596,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
13,3,6,0,0.03,0.0,0.0,0.0,0.0,0.0,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
14,3,7,0,0.03,0.0,0.0,0.0,0.0,0.0,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
15,4,1,0,0.03,127.83409791200889,48.68643309819762,28.63922816549305,126.5155024815738,331.6752616572734,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
16,4,2,0,0.03,150.42409897465947,54.00543934702161,28.63922797067155,119.21496005407792,352.28372634643057,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
17,4,3,0,0.03,163.78911764924953,69.96155149301751,28.639206819098103,92.73649878200509,355.1263747433702,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
18,4,4,0,0.03,156.1519935814895,100.37624918378056,31.912286994282912,78.96245681273342,367.4029865722864,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
19,4,5,0,0.03,137.60441935681203,37.09458404743003,25.36615840657323,60.27897367611914,260.3441354869344,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
20,4,6,0,0.03,78.5538366964989,19.638095590068733,17.183532672135293,36.41288490158018,151.78834986028312,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
21,4,7,0,0.03,2.226252396329797,0.0,0.0,3.910789215357935,6.137041611687732,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
22,5,1,0,0.03,172.78534524112203,86.73392331671286,36.82186356480841,143.47557265175567,439.816704774399,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
23,5,2,0,0.03,183.9365633805023,79.54651587579922,36.8218138508853,151.04883530636295,451.3537284135498,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
24,5,3,0,0.03,190.4306392910932,100.00444086443628,40.27940051209735,124.83367121868476,455.5481518863116,TEMPORAL3P5_DRO_BASEMSP5H_CANDIDATE,DRO,35,4,0.03,"[300,200,100,200]",Temporal3p5_DurationAware_Stage89K_Formulation,partial_temporal_refinement/dro_3p5h/run-001
