scope,path_count,fraction_of_all_paths,mean_dissipation_stage,mean_operating_hours,positive_preventive_inventory_kg_mean,positive_preventive_inventory_kg_median,positive_preventive_inventory_kg_q25,positive_preventive_inventory_kg_q75,positive_preventive_inventory_kg_q90,positive_preventive_inventory_kg_q95,positive_preventive_inventory_kg_q99,positive_preventive_inventory_kg_max,mean_production_before_dissipation_kg,ordinary_shortage_probability,mean_ordinary_shortage_kg,mean_HTT_kg,mean_actual_operating_cost_yuan
全部消散路径,3497,0.3497,3.39519588218,19.1615670575,24.5115110892,5.60813793862,5.60813793862,18.3262758297,91.4117596825,109.393178373,141.349425302,401.346430028,137.762226374,0.00114383757506,0.014667103924,0.397912174673,35266.6123888
消散于Stage2,1078,0.1078,2,8,5.60813793862,5.60813793862,5.60813793862,5.60813793862,5.60813793862,5.60813793862,5.60813793862,5.60813793862,113.88,0,0,0,9797.55821741
消散于Stage3,937,0.0937,3,16,5.60813793862,5.60813793862,5.60813793862,5.60813793862,5.60813793862,5.60813793862,5.60813793862,5.60813793862,114.63943271,0,0,0,28981.6589686
消散于Stage4,767,0.0767,4,24,14.3504270927,13.5647884007,6.30269498349,18.3262758297,21.2512758297,21.2512758297,54.621926387,121.413409272,132.468420954,0,0,0.463696286808,49892.4379664
消散于Stage5,485,0.0485,5,32,78.4609823532,77.6893270013,56.8872011821,97.0043302612,117.292675181,122.973409272,171.851491976,227.306343625,199.446272069,0.00412371134021,0.066143966351,0.617928214494,58823.5071229
消散于Stage6,197,0.0197,6,40,102.382015312,99.5835850757,87.8496084751,117.123409272,123.775218652,142.165918777,232.017543625,345.086343625,223.688751891,0.00507614213198,0.00429178373119,2.41259366149,78589.8178688
消散于Stage7,33,0.0033,7,48,157.174099835,140.43470476,113.30783159,156.407475452,264.80585515,340.41622787,384.092002379,401.346430028,277.979158522,0.030303030303,0.556532040817,7.90508143958,100929.282323
