state_id,intensity,loc,lfw,n_draws,n_exact_groups,mean_Dres,q95_Dres,q99_Dres,main_grid_recovered_D_share,H2_island_candidate_D_share,black_island_D_share,P_any_Aelec,mean_number_of_H2_serviceable_nodes,multiplicity_min,multiplicity_max
1,2,1,0,15000,7123,0.17752684359345025,0.0,0.0,0.8429299998391173,0.12807889698666275,0.028991103174220115,0.0018666666666666666,0.006511111111111111,1,7878
2,2,2,0,15000,7111,0.21538517488112444,0.0,0.0,0.8576373448072784,0.10708748482626823,0.03527517036645312,0.0017333333333333333,0.006377777777777777,1,7890
3,2,3,0,15000,7083,0.2909200010910182,0.0,0.0,0.7915466899454077,0.179502547198082,0.028950762856510003,0.0024666666666666665,0.010777777777777778,1,7918
4,2,4,0,15000,7004,0.255716480738983,0.0,0.0,0.7995067149496736,0.14902626101337285,0.05146702403695362,0.0021333333333333334,0.010088888888888889,1,7997
5,2,5,0,15000,7176,0.10041004100410039,0.0,0.0,0.8512272004741764,0.10906053829781502,0.039712261228008736,0.0014666666666666667,0.004044444444444444,1,7825
6,2,6,0,15000,7061,0.016528925619834708,0.0,0.0,0.9143422540520165,0.0766113833396155,0.009046362608367883,0.0003333333333333333,0.0009333333333333333,1,7940
7,2,7,0,15000,7130,0.02583894753111675,0.0,0.0,0.623875066172578,0.15934356802541025,0.21678136580201166,0.00013333333333333334,0.0006888888888888888,1,7867
8,3,1,0,15000,13262,3.856458373110038,0.0,169.11054741837825,0.7335276638250027,0.20890067157099879,0.057571664603999324,0.023066666666666666,0.1401777777777778,1,1739
9,3,2,0,15000,13262,4.836301811999381,0.0,195.29225649837707,0.7604842725780296,0.1874944279296033,0.05202129949236757,0.029,0.1732,1,1739
10,3,3,0,15000,13263,4.691269126912691,0.0,178.93789378937916,0.7239660791358447,0.2152954166604255,0.0607385042037307,0.034333333333333334,0.167,1,1738
11,3,4,0,15000,13233,5.234850757803052,0.0,194.21214848757626,0.7083819130498203,0.22703196587551375,0.06458612107466612,0.03453333333333333,0.20415555555555556,1,1768
12,3,5,0,15000,13265,2.2142759730518504,0.0,77.46229168371383,0.7452367752126111,0.19544127953806087,0.05932194524932796,0.0184,0.0882,1,1736
13,3,6,0,15000,13241,0.7484748474847485,0.0,6.546109156370182,0.7385626726793484,0.21013052176950692,0.051306805551144884,0.008533333333333334,0.029755555555555556,1,1760
14,3,7,0,15000,13227,0.09830073916482555,0.0,0.0,0.7783881282282531,0.18369271132245626,0.0379191604492908,0.0017333333333333333,0.004422222222222222,1,1772
15,4,1,0,15000,15000,30.606042422424053,262.13075853039834,405.313258598587,0.5276206919584345,0.359326631795018,0.1130526762465473,0.13673333333333335,1.1126444444444445,1,1
16,4,2,0,15000,15000,41.30285755848312,322.39587595123146,433.4342525161612,0.5195543086402936,0.3559331319128989,0.1245125594468073,0.18006666666666668,1.4514444444444445,1,1
17,4,3,0,15000,15000,43.91779177917792,309.30365763849113,428.7701497422469,0.5286234129195259,0.34251799691439666,0.12885859016607823,0.211,1.5330444444444444,1,1
18,4,4,0,15000,15000,40.91478238732964,313.4086135886314,476.5240160379679,0.5105894512878281,0.3630757880234828,0.126334760688689,0.194,1.5198,1,1
19,4,5,0,15000,15000,18.567947703861297,143.49616779859764,355.1264217330824,0.5873920279808997,0.2980878290275173,0.11452014299158195,0.1198,0.6767555555555556,1,1
20,4,6,0,15000,15000,6.538853885388538,17.183536535471728,208.92998390748164,0.637070207947292,0.2636976347055187,0.09923215734718836,0.05126666666666667,0.244,1,1
21,4,7,0,15000,14999,1.2152487976070334,0.0,22.911382047295632,0.7393783171432695,0.20118315505414697,0.05943852780258399,0.012266666666666667,0.04833333333333333,1,2
22,5,1,0,15000,15000,92.22902290229021,456.11379319750057,576.8758694051222,0.4182558924930061,0.4123875141462156,0.16935659336077838,0.31626666666666664,3.1181555555555556,1,1
23,5,2,0,15000,15000,124.11843002482065,527.7800507323459,576.8758694051222,0.3738884088520023,0.4293505559560958,0.1967610351919016,0.4129333333333333,4.046377777777778,1,1
24,5,3,0,15000,15000,133.28789242560617,517.9608869977906,576.8758694051222,0.3668686497714193,0.42211563842254496,0.21101571180603537,0.47086666666666666,4.251,1,1
25,5,4,0,15000,15000,115.57124803389429,492.8947440198561,576.8758694051222,0.38538736616536706,0.4127672824607005,0.2018453513739324,0.4298,3.8193555555555556,1,1
26,5,5,0,15000,15000,62.99089908990898,364.94558546763767,542.5087963341788,0.4926056099756593,0.34044279044043213,0.166951599583908,0.3004,2.0790888888888888,1,1
27,5,6,0,15000,15000,24.323141405049594,190.39631235850837,374.7647492021929,0.6159431212727025,0.27049064304969483,0.11356623567760257,0.15053333333333332,0.8580444444444445,1,1
28,5,7,0,15000,15000,5.676258534944403,16.365272890925453,178.9460764258248,0.7343549088470637,0.19819796053656105,0.0674471306163748,0.0476,0.21882222222222222,1,1
29,6,1,0,15000,14999,181.39779432488706,572.0208384474803,607.9698878978807,0.31976049774269066,0.45023459541904776,0.23000490683826136,0.5220666666666667,5.667288888888889,1,2
30,6,2,0,15000,14992,230.12019383756555,576.8758694051222,607.9698878978807,0.26578949032559696,0.4597093603515434,0.2745011493228592,0.6366,6.703733333333333,1,4
31,6,3,0,15000,15000,257.28840156742945,580.1489239833074,607.9698878978807,0.23994768701938923,0.4511317218376992,0.308920591142912,0.7162666666666667,7.127066666666667,1,1
32,6,4,0,15000,15000,218.9057814872396,576.8758694051222,607.9698878978807,0.27395100679730017,0.4360256689074246,0.2900233242952742,0.6556666666666666,6.238422222222222,1,1
33,6,5,0,15000,15000,138.82224586094972,534.9262198947159,576.8758694051222,0.3927255545798176,0.3813763951993688,0.22589805022081377,0.5112,4.159088888888889,1,1
34,6,6,0,15000,15000,65.08781787269635,374.7647492021929,542.5087963341788,0.538830647291261,0.31667257170759616,0.14449678100114283,0.3031333333333333,2.2105333333333332,1,1
35,6,7,0,15000,15000,22.306376092154665,165.2892561983471,371.76990426315376,0.6876073848977785,0.23297178242568747,0.07942083267653532,0.13686666666666666,0.8430666666666666,1,1
