intensity,intensity_label,n_draws,n_exact_groups,mean_Dres,q95_Dres,q99_Dres,main_grid_recovered_D_share,H2_island_candidate_D_share,black_island_D_share,P_any_Aelec,mean_number_of_H2_serviceable_nodes,multiplicity_min,multiplicity_max
2,a2,105000,49688,0.15461805920851823,0.0,0.0,0.8268501279962764,0.1354549685827321,0.03769490342099138,0.0014476190476190476,0.005631746031746032,1,7997
3,a3,105000,92753,3.0971330899323704,0.0,112.37487385102145,0.7343424933428376,0.20739688722629102,0.05826061943087198,0.021371428571428572,0.11527301587301587,1,1772
4,a4,105000,104999,26.151932076324513,220.93118402749363,384.5839129367482,0.5367937815675388,0.34222046279548607,0.12098575563697507,0.1293047619047619,0.9408603174603175,1,2
5,a5,105000,105000,79.74241320235919,423.5878133267872,562.1471238032894,0.42106712134257185,0.3947425737904289,0.18419030486699892,0.30405714285714286,2.627263492063492,1,1
6,a6,105000,104991,159.1326587204175,562.1471238032894,607.9698878978807,0.3294635964639692,0.4194651588611133,0.25107124467491726,0.4974,4.707028571428571,1,4
