state_id,intensity,loc,n_draws,n_exact_groups,multiplicity_sum,q_g_sum,abs_q_g_sum_error,q_tolerance,gate
1,2,1,15000,7123,15000,1.0,0.0,7.105427357601002e-15,PASS
2,2,2,15000,7111,15000,1.0,0.0,7.105427357601002e-15,PASS
3,2,3,15000,7083,15000,1.0,0.0,7.105427357601002e-15,PASS
4,2,4,15000,7004,15000,1.0,0.0,7.105427357601002e-15,PASS
5,2,5,15000,7176,15000,1.0,0.0,7.105427357601002e-15,PASS
6,2,6,15000,7061,15000,1.0,0.0,7.105427357601002e-15,PASS
7,2,7,15000,7130,15000,1.0,0.0,7.105427357601002e-15,PASS
8,3,1,15000,13262,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
9,3,2,15000,13262,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
10,3,3,15000,13263,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
11,3,4,15000,13233,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
12,3,5,15000,13265,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
13,3,6,15000,13241,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
14,3,7,15000,13227,15000,1.0000000000000004,4.440892098500626e-16,7.105427357601002e-15,PASS
15,4,1,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
16,4,2,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
17,4,3,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
18,4,4,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
19,4,5,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
20,4,6,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
21,4,7,15000,14999,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
22,5,1,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
23,5,2,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
24,5,3,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
25,5,4,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
26,5,5,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
27,5,6,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
28,5,7,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
29,6,1,15000,14999,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
30,6,2,15000,14992,15000,1.0000000000000004,4.440892098500626e-16,7.105427357601002e-15,PASS
31,6,3,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
32,6,4,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
33,6,5,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
34,6,6,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
35,6,7,15000,15000,15000,1.0000000000000002,2.220446049250313e-16,7.105427357601002e-15,PASS
