evaluation_pair_id,pair_group,initial_state_id,scenario_r,scenario_s,path_id_r,path_id_s,replay_source,d_D,d_Ctilde,d_new,T_r1,T_r2,T_r3,T_r4,T_s1,T_s2,T_s3,T_s4,Q_Tr_xi_r,Q_Tr_xi_s,Q_Ts_xi_r,Q_Ts_xi_s,DeltaQ_Tr,DeltaQ_Ts,RelDeltaQ_Tr,RelDeltaQ_Ts,PairRelDeltaQ,large_fixed_loss_mismatch,LossSlope,loss_slope_status,relative_regret_obj_r_to_s,relative_regret_obj_s_to_r,bidirectional_regret_severity,small_distance_q25,small_distance_high_fixed_loss
1,STEP03T_TIER1,7,3576,8245,3576,8245,STEP03T_REUSED,0.00772698003861666,7.53585279653816e-20,0.00463618802316999,0,2.27737204666177e-09,8.18263644318536,0,0,4.45714164243334e-08,11.4556909790764,0,6.81886371455225,6552.92802007998,6.81886370455227,20.4565911236568,6546.10915636543,13.6377274191045,0.998959417272148,0.666666666829613,0.998959417272148,1,1411959.37775827,FINITE_POSITIVE_DISTANCE,150.477987386576,0.282352940623354,0.282352940623354,1,1
2,STEP03T_TIER1,7,3576,1,3576,1,STEP03T_REUSED,0.0193174500965416,1.69556687922109e-19,0.011590470057925,0,2.27737204666177e-09,8.18263644318536,0,0,0,0,0,6.81886371455225,0,16365.2728909255,0,6.81886371455225,16365.2728909255,1,1,1,1,1411959.37775929,FINITE_POSITIVE_DISTANCE,1636527289.09255,704.882352636709,704.882352636709,0,0
3,STEP03T_TIER1,7,5076,7008,5076,7008,STEP03T_REUSED,0.118480360592122,0.795848590576469,0.389427652585861,108.010801080108,184.927583667458,16.3652728909255,16.3652728909204,194.201238305649,50.7323459618689,44.731746156664,115.647928174405,62016.7492110801,162234.790971232,327801.050415221,2673.46402291232,100218.041760152,325127.586392309,0.617734588001675,0.991844248151353,0.991844248151353,1,834885.720706812,FINITE_POSITIVE_DISTANCE,45.7514052683524,4.24368450171604,4.24368450171604,0,0
4,STEP03T_CONTROL,7,224,13663,224,13663,STEP03T_REUSED,0.0540888602703166,0.0303193493715289,0.0445810559108015,4.90958186727257,0,0,0,4.90958186727257,0,0,0,45936.7545879684,113.274713248072,45936.7545879684,113.274713248072,45823.4798747203,45823.4798747203,0.997534115889028,0.997534115889028,0.997534115889028,1,1027868.87700472,FINITE_POSITIVE_DISTANCE,-8.13209567778347e-11,-2.17899113244394e-13,-8.13209567778347e-11,0,0
5,STEP03T_TIER1,18,7951,8139,7951,8139,STEP03T_REUSED,0,0.00737664088153913,0.00295065635261565,260.207838965715,120.284755792876,99.8281645900711,96.5551100564602,283.67973161572,66.2793552082481,76.9167825873496,149.999999993805,4347.99168540002,4400.04659741122,5102.74680961233,3748.29202406609,52.0549120112,1354.45478554624,0.011830536531551,0.26543640828794,0.26543640828794,1,459035.083616418,FINITE_POSITIVE_DISTANCE,0.132955682338239,0.137184718736797,0.132955682338239,1,1
6,STEP03T_TIER1,18,5578,6733,5578,6733,STEP03T_REUSED,0.0161507402422345,0.116733188095911,0.056383719383705,198.322559533546,200,99.9999999951345,24.5479093363882,216.021602160216,105.556010191036,99.8281645900781,111.283855658293,5250.61809336239,176955.382268363,157091.679959659,3755.54522201191,171704.764175001,153336.134737647,0.970328011354865,0.97609329009037,0.97609329009037,1,3045289.77605233,FINITE_POSITIVE_DISTANCE,35.9226117684047,24.1188120696184,24.1188120696184,0,0
7,STEP03T_TIER1,18,8902,1303,8902,1303,STEP03T_REUSED,0,0.277457181969267,0.110982872787707,137.468292283774,200,100,149.999999999995,291.301857458473,76.0985189850612,99.8281645923875,140.741346861959,46891.5140179017,46057.4053929254,310323.773204567,3988.46789557295,834.108624976303,306335.305308994,0.0177880506195186,0.987147398169383,0.987147398169383,1,2760203.42251336,FINITE_POSITIVE_DISTANCE,8.07545007231759,5.48143786519484,5.48143786519484,0,0
8,STEP03T_CONTROL,18,4847,6256,4847,6256,STEP03T_REUSED,0,0.143112860935707,0.0572451443742829,252.025202520252,58.7431471037698,99.9999999382071,148.105719662875,212.748547582031,96.1255216963756,99.9999999466978,150,103426.226293145,101835.746457455,103732.326562986,101498.456793673,1590.47983569,2233.86976931299,0.0153779161504166,0.021534943284595,0.021534943284595,0,39022.8689914275,FINITE_POSITIVE_DISTANCE,0.00328690448068485,0.00292795707745157,0.00292795707745157,0,0
9,STEP03T_TIER1,30,3991,5821,3991,5821,STEP03T_REUSED,0,0.0227291183630685,0.00909164734522742,137.468292283774,49.0958186727764,14.7287456018329,24.5479093363833,68.7341461418869,49.0958186727764,14.7287456018329,91.6455281891776,764664.304125603,901838.053772853,901837.255754463,767866.070466693,137173.74964725,133971.18528777,0.15210463682851,0.148553615891253,0.15210463682851,1,15087887.2044303,FINITE_POSITIVE_DISTANCE,0.174375545473103,0.179279587860674,0.174375545473103,0,0
10,STEP03T_TIER1,30,2508,6378,2508,6378,STEP03T_REUSED,0,0.115926007280944,0.0463704029123774,260.207838965715,19.6383274691105,14.7287456018329,24.5479093363832,142.377874151051,83.4628917437198,24.5479093363882,76.9167825873446,490383.675013845,723017.301229838,722026.955732867,472516.169164726,232633.626215993,249510.786568141,0.321753885861774,0.345569905094311,0.345569905094311,1,5380819.89582067,FINITE_POSITIVE_DISTANCE,0.529374968483186,0.471790843231854,0.471790843231854,0,0
