pair_group,pair_count,PairRelDeltaQ_median,PairRelDeltaQ_q90,PairRelDeltaQ_max,large_mismatch_count,large_mismatch_share,LossSlope_interpretable_count,LossSlope_median,LossSlope_q90,LossSlope_max,spearman_dnew_DeltaQ_Tr,spearman_dnew_DeltaQ_Ts,spearman_regret_PairRelDeltaQ
STEP03T_TIER1,18,0.686680488889103,0.998858845203805,1,18,1,18,1911203.77598772,12523263.2293863,15087887.2044303,0.226006191950464,0.900928792569659,0.791537667698658
STEP03T_CONTROL,6,0.168917026531569,0.993204072076242,0.997534115889028,3,0.5,6,304022.172581726,1011231.08512723,1027868.87700472,0.2,-0.0285714285714286,-0.542857142857143
HOLDOUT_TIER1,6,0.305448356584074,0.935726790775319,1,6,1,6,929560.795693815,15086809.2476901,15087282.2092092,0.428571428571429,0.828571428571429,0.942857142857143
HOLDOUT_CONTROL,6,0.013309426815196,0.0558871919236497,0.0562214376323745,0,0,6,105353.873966095,353369.118150686,355569.057144061,0.828571428571429,-0.257142857142857,-0.428571428571429
ALL,36,0.309082373071478,0.998515170928807,1,27,0.75,36,944679.917617238,14229308.8613538,15087887.2044303,0.520754232367357,0.778042346678367,0.699916340982128
