path_type,relative_hour,actual_n,current_cap_potentially_recoverable_count,current_cap_upper_bound_unrecoverable_count,infinite_cap_potentially_recoverable_count,infinite_cap_upper_bound_unrecoverable_count,incremental_potentially_recovered_by_infinite_cap,claim_scope
mixed,-16,152,0,152,0,152,0,OPTIMISTIC_CAPACITY_ENVELOPE_NOT_POLICY_OR_FEASIBILITY_OPTIMIZATION
mixed,-8,152,0,152,0,152,0,OPTIMISTIC_CAPACITY_ENVELOPE_NOT_POLICY_OR_FEASIBILITY_OPTIMIZATION
mixed,-4,152,0,152,0,152,0,OPTIMISTIC_CAPACITY_ENVELOPE_NOT_POLICY_OR_FEASIBILITY_OPTIMIZATION
pure_location,-16,203,203,0,203,0,0,OPTIMISTIC_CAPACITY_ENVELOPE_NOT_POLICY_OR_FEASIBILITY_OPTIMIZATION
pure_location,-8,203,203,0,203,0,0,OPTIMISTIC_CAPACITY_ENVELOPE_NOT_POLICY_OR_FEASIBILITY_OPTIMIZATION
pure_location,-4,203,203,0,203,0,0,OPTIMISTIC_CAPACITY_ENVELOPE_NOT_POLICY_OR_FEASIBILITY_OPTIMIZATION
