unique_path_id,source_record_count,path_probability_min,path_probability_max,path_probability_range,probability_consistent,observed_frequency_range,observed_empirical_mass_range
1,3,2.088326521875e-08,2.088326521875e-08,0,1,0,0
2,12,6.206390775e-09,6.206390775e-09,0,1,0,0
3,3,2.592e-15,2.592e-15,0,1,0,0
4,3,1.0368e-13,1.0368e-13,0,1,0,0
5,3,2.7e-14,2.7e-14,0,1,0,0
6,3,5.76e-16,5.76e-16,0,1,0,0
7,3,1.44e-15,1.44e-15,0,1,0,0
8,3,7.2e-16,7.2e-16,0,1,0,0
9,3,1.0368e-13,1.0368e-13,0,1,0,0
10,3,2.88e-14,2.88e-14,0,1,0,0
11,3,2.7e-14,2.7e-14,0,1,0,0
12,3,1.44e-15,1.44e-15,0,1,0,0
13,3,1.8e-15,1.8e-15,0,1,0,0
14,3,3.168e-15,3.168e-15,0,1,0,0
15,3,7.2e-16,7.2e-16,0,1,0,0
16,3,1.8e-15,1.8e-15,0,1,0,0
17,8,2.1756976744186e-10,2.1756976744186e-10,0,1,0,0
18,3,4.8384e-13,4.8384e-13,0,1,0,0
19,3,4.43232e-11,4.43232e-11,0,1,0,0
20,3,2.736e-12,2.736e-12,0,1,0,0
21,3,1.846553436e-07,1.846553436e-07,0,1,0,0
22,6,9.3665754e-07,9.3665754e-07,0,1,0,0
23,12,6.912675e-08,6.912675e-08,0,1,0,0
24,3,4.8384e-13,4.8384e-13,0,1,0,0
25,3,1.344e-13,1.344e-13,0,1,0,0
26,3,6.72e-15,6.72e-15,0,1,0,0
27,3,8.4e-15,8.4e-15,0,1,0,0
28,3,1.4784e-14,1.4784e-14,0,1,0,0
29,3,8e-16,8e-16,0,1,0,0
30,3,1e-15,1e-15,0,1,0,0
31,3,8e-15,8e-15,0,1,0,0
32,3,2.736e-12,2.736e-12,0,1,0,0
33,3,7.6e-13,7.6e-13,0,1,0,0
34,3,4.75e-14,4.75e-14,0,1,0,0
35,3,8.36e-14,8.36e-14,0,1,0,0
36,9,3.742931052e-08,3.742931052e-08,0,1,0,0
37,3,3.168e-15,3.168e-15,0,1,0,0
38,3,1.2672e-13,1.2672e-13,0,1,0,0
39,3,4.8244541860465e-08,4.8244541860465e-08,0,1,0,0
40,6,3.756324e-10,3.756324e-10,0,1,0,0
41,3,2.69568e-13,2.69568e-13,0,1,0,0
42,3,7.488e-14,7.488e-14,0,1,0,0
43,6,6.37875e-09,6.37875e-09,0,1,0,0
44,3,5.76e-16,5.76e-16,0,1,0,0
45,3,3.168e-15,3.168e-15,0,1,0,0
46,3,7.2e-16,7.2e-16,0,1,0,0
47,3,1.44e-15,1.44e-15,0,1,0,0
48,6,4.9063014e-08,4.9063014e-08,0,1,0,0
49,3,5.9136e-13,5.9136e-13,0,1,0,0
50,3,5.41728e-11,5.41728e-11,0,1,0,0
51,3,2.1736e-13,2.1736e-13,0,1,0,0
52,3,3.344e-12,3.344e-12,0,1,0,0
53,3,2.116688574e-07,2.116688574e-07,0,1,0,0
54,9,3.0584736e-10,3.0584736e-10,0,1,0,0
55,6,4.9063014e-08,4.9063014e-08,0,1,0,0
56,3,3.4944e-13,3.4944e-13,0,1,0,0
57,3,7.1136e-12,7.1136e-12,0,1,0,0
58,3,1.976e-12,1.976e-12,0,1,0,0
59,3,1.235e-13,1.235e-13,0,1,0,0
60,12,4.50613333333332e-10,4.50613333333332e-10,0,1,0,0
61,3,2.688e-15,2.688e-15,0,1,0,0
62,3,3.36e-15,3.36e-15,0,1,0,0
63,3,6.72e-15,6.72e-15,0,1,0,0
64,3,1.52e-14,1.52e-14,0,1,0,0
65,3,1.9e-14,1.9e-14,0,1,0,0
66,3,1.976e-12,1.976e-12,0,1,0,0
