unique_path_id,a0,loc0,lfw0,a1,loc1,lfw1,a2,loc2,lfw2,a3,loc3,lfw3,path_probability,is_observed_candidate,is_unobserved_candidate,observed_frequency,observed_empirical_mass,listed_q95,listed_q99,listed_q995,highest_listed_level,listed_level_count,pareto_q95,pareto_q99,pareto_q995,hit_grid_max,hit_grid_excess,hit_road_max,hit_road_excess,grid_max_q95,grid_max_q99,grid_max_q995,grid_excess_q95,grid_excess_q99,grid_excess_q995,road_max_q95,road_max_q99,road_max_q995,road_excess_q95,road_excess_q99,road_excess_q995,source_record_count,observed_source_record_count,unobserved_source_record_count,observed_source_unique_path_id,unobserved_source_path_code,grid_max_wind_mps,grid_cumulative_excess_mps,road_max_wind_mps,road_cumulative_excess_mps
1,2,1,0,2,1,2,4,0,3,4,-1,2,2.088326521875e-08,1,0,1,6.66666666666667e-05,1,1,1,q995,3,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,3,0,5274,,36.3659417229986,291.123635960367,36.3659417229986,100.189621748374
2,2,1,0,2,3,1,2,3,3,4,1,2,6.206390775e-09,1,0,1,6.66666666666667e-05,1,1,1,q995,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,0,5101,,36.878839612267,275.747805692285,36.878839612267,153.570111568169
3,2,1,0,3,1,2,5,4,1,6,1,3,2.592e-15,0,1,0,0,1,1,1,q995,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,3,0,3,,25054401,55.4927759888396,749.956076245614,55.4927759888396,513.578602373054
4,2,1,0,3,1,2,5,4,2,6,1,2,1.0368e-13,0,1,0,0,1,1,1,q995,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,0,3,,17485905,55.2436058969182,1370.28440229782,55.2436058969182,1276.17248433463
5,2,1,0,3,4,1,5,1,3,6,4,2,2.7e-14,0,1,0,0,1,1,1,q995,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,0,3,,19256757,55.2436058969182,1074.22085335331,55.2436058969182,1013.63103256282
6,2,1,0,3,4,2,5,1,1,6,-2,3,5.76e-16,0,1,0,0,1,1,1,q995,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,3,,23296611,42.8919946985263,645.614720569056,42.8919946985263,370.190944580329
7,2,1,0,3,4,2,5,1,1,6,-1,3,1.44e-15,0,1,0,0,1,1,1,q995,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,3,0,3,,23880675,51.9667788761672,838.805694867216,51.9667788761672,619.379165631724
8,2,1,0,3,4,2,5,1,1,6,4,3,7.2e-16,0,1,0,0,1,1,1,q995,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,3,0,3,,26800995,50.8813148382754,543.414116622344,50.8813148382754,294.479906589286
9,2,1,0,3,4,2,5,1,2,6,1,2,1.0368e-13,0,1,0,0,1,1,1,q995,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,0,3,,17480307,55.2436058969182,1395.6178066511,55.2436058969182,1312.73135844848
10,2,1,0,3,4,2,5,1,2,6,4,2,2.88e-14,0,1,0,0,1,1,1,q995,3,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,3,0,3,,19232499,55.2436058969182,1363.12939796406,55.2436058969182,1269.77418293579
