group,check,observed,expected,tolerance,pass
schema,path_count,10000,10000,exact,True
schema,ordered_path_id,True,1..10000,exact,True
schema,stage_rows,35736,35736,exact,True
schema,stage_site_rows,142944,142944,exact,True
schema,hour_site_rows,1143552,1143552,exact,True
schema,grid_hour_rows,285888,285888,exact,True
schema,hour_bounds,1..48,1..48,exact,True
schema,hour_unique,0,0,exact,True
schema,system_hour_unique,0,0,exact,True
identity,ordered_bank_state_sequences,True,True,exact,True
identity,hourly_site_demand_profile_consistent,0.0,<=1e-07,1e-07,True
hourly_closure,H2=k_H2*P_EL*1h,1.4210854715202004e-14,<=1e-07,1e-07,True
hourly_closure,served+shortage=demand,1.0658141036401503e-14,<=1e-07,1e-07,True
hourly_closure,inventory_before_HTT,1.0231815394945443e-12,<=1e-07,1e-07,True
hourly_closure,end_inventory,1.2931877790833823e-12,<=1e-07,1e-07,True
htt_closure,site_HTT_in_equals_out,1.0658141036401503e-13,<=1e-07,1e-07,True
htt_closure,sparse_OD_equals_system_HTT,1.0658141036401503e-13,<=1e-07,1e-07,True
aggregation,hour_to_stage_site:ordinary_demand_kg,4.973799150320701e-14,<=1e-07,1e-07,True
aggregation,hour_to_stage_site:served_demand_kg,6.039613253960852e-14,<=1e-07,1e-07,True
aggregation,hour_to_stage_site:shortage_kg,5.861977570020827e-14,<=1e-07,1e-07,True
aggregation,hour_to_stage_site:production_kg,6.039613253960852e-14,<=1e-07,1e-07,True
aggregation,hour_to_stage_site:htt_in_kg,1.1368683772161603e-13,<=1e-07,1e-07,True
aggregation,hour_to_stage_site:htt_out_kg,1.0302869668521453e-13,<=1e-07,1e-07,True
aggregation,hour_to_stage_site:beginning_inventory_kg,0.0,<=1e-07,1e-07,True
aggregation,hour_to_stage_site:ending_inventory_kg,0.0,<=1e-07,1e-07,True
aggregation,hour_to_stage:production_kg,4.831690603168681e-13,<=1e-07,1e-07,True
aggregation,hour_to_stage:ordinary_shortage_kg,7.105427357601002e-14,<=1e-07,1e-07,True
aggregation,hour_to_stage:htt_kg,1.1368683772161603e-13,<=1e-07,1e-07,True
aggregation,hour_to_stage:beginning_inventory_kg,1.0231815394945443e-12,<=1e-07,1e-07,True
aggregation,hour_to_stage:ending_inventory_kg,1.5347723092418164e-12,<=1e-07,1e-07,True
aggregation,stage_to_path:total_H2_production,1.0231815394945443e-12,<=1e-07,1e-07,True
aggregation,stage_to_path:ordinary_shortage_total,3.979039320256561e-13,<=1e-07,1e-07,True
aggregation,stage_to_path:total_HTT,5.115907697472721e-13,<=1e-07,1e-07,True
aggregation,stage_to_path:actual_operating_cost,5.675246939063072e-10,<=1e-07,1e-07,True
lifecycle,no_post_termination_rows,True,True,exact,True
stage7,G_site=G_total+G_spatial,9.663381206337363e-13,<=1e-07,1e-07,True
stage7,G_spatial_nonnegative,1.13686837721616e-13,<=1e-07,1e-07,True
