arm,penalty,iteration,budget_s,elapsed_seconds,lower_bound,lower_bound_increment,forward_sampled_objective,cuts_before,cut_count,cuts_added,forward_stage_solve_count,backward_cut_solve_count,forward_time_s,backward_time_s,iteration_wall_time_s,cut_violation_flag,warning_id,warning_message,training_identity,convergence_scope,stage1_total_production,stage1_site1_production,stage1_site2_production,stage1_site3_production,stage1_site4_production,stage1_end_inventory_total,stage2_end_inventory_total,stage3_end_inventory_total
Arm-A,1000,19,18000,900.3137681,56388.1831953053,0.836352170234022,50201.4812454343,18918,19969,1051,3,1051,0.056731,40.9279717,41.4528903,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,178.114475203772,152.508409272046
Arm-A,1000,20,18000,949.8768941,56390.6314878452,2.44829253992066,50649.0235884034,19969,21020,1051,3,1051,0.0685919,48.8314969,49.4421947,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,181.039475203772,171.388912499208
Arm-A,1000,21,18000,1000.9386183,56392.1217396589,1.49025181373145,99425.9039640582,21020,22071,1051,6,1051,0.1452841,50.0899599,50.680461,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,181.039475203772,159.333409272046
Arm-A,1000,22,18000,1047.1586523,56402.1730337666,10.0512941076158,78534.1258503492,22071,23122,1051,5,1051,0.0984458,45.0921388,45.8072052,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,181.039475203772,159.333409272046
Arm-A,1000,23,18000,1092.0333622,56403.2037122058,1.03067843920144,58209.0373683137,23122,24173,1051,4,1051,0.1313076,43.887676,44.4574535,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,181.039475203772,146.658409272046
Arm-A,1000,24,18000,1134.3708516,56405.1120821799,1.90836997413862,78752.5844172436,24173,25224,1051,5,1051,0.1002892,41.6873594,42.3221341,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,181.039475203772,159.333409272046
Arm-A,1000,25,18000,1179.7313874,56407.1505528985,2.03847071862401,58297.6019673599,25224,26275,1051,4,1051,0.0892123,44.7823076,45.2959823,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,181.039475203772,159.333409272046
Arm-A,1000,26,18000,1223.0123103,56407.8721954807,0.721642582160712,58665.0862776304,26275,27326,1051,4,1051,0.0850091,42.6460027,43.2310727,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,178.114475203772,143.733409272046
Arm-A,1000,27,18000,1267.4526846,56408.6722393719,0.800043891198584,28861.8808720669,27326,28377,1051,2,1051,0.0451787,43.4984752,44.0948656,0,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,178.114475203772,178.114475203772
Arm-A,1000,28,18000,1313.9765693,56408.6722393719,0,28861.8808720669,28377,29428,1051,2,1051,0.0533246,45.5755797,46.1130163,0,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,178.114475203772,178.114475203772
