scope,row_count,positive_delta_T_total_kg,new_target_covered_by_saa_surplus_kg,covered_share_of_positive_delta_T,uncovered_new_target_increment_kg,preexisting_saa_gap_kg,required_extra_total_kg,positive_actual_extra_total_kg,required_extra_realized_kg,effective_realization_ratio,unrealized_required_extra_kg,remaining_gap_total_kg,A_count,B_count,C_count,D_count,abcd_class,share_of_all_terminal_hit_path_site_rows,mean_required_extra_kg,mean_actual_extra_kg,mean_remaining_gap_kg
class_A,21351,275529.505478992,275529.505478992,1,0,12.2145335682007,0,150116.93956754,0,,0,541.286429593442,21351,0,0,0,A,0.881835453494135,0,5.38326931451046,0.0253518069220852
class_B,554,10108.7866731451,6505.27211549151,0.643526500838458,3603.51455765359,611.443298625153,4213.51773666886,5631.63930315094,4213.51773666545,0.999999999999191,3.41100658829419e-09,3.41100658829419e-09,0,554,0,0,B,0.0228812159259871,7.6056276835178,10.1654139046046,6.15705160341911e-12
class_C,1367,14770.9745526034,2853.69408559023,0.193196059977455,11917.2804670132,20905.2392557834,32726.8386825415,10396.3879361028,10396.3879361028,0.317671622271565,22330.4507464387,22330.4507464387,0,0,1367,0,C,0.0564596068065422,23.9406281510911,7.60525818295741,16.3353699681337
class_D,940,6162.28229268512,1136.08545337582,0.184361150530932,5026.19683930931,14256.614861641,19172.4831997228,0,0,0,19172.4831997228,24778.8793116867,0,0,0,940,D,0.0388237237733355,20.3962587231094,-5.96425118294032,26.3605099060497
