remaining_gap_rank,state_id,terminal_state_k,intensity,loc,site,arrival_count,arrival_frequency_full_oos,T_saa_kg,T_dro_kg,delta_T_kg_per_path,positive_delta_T_mass_kg,saa_surplus_total_kg,new_target_covered_by_saa_surplus_kg,covered_share_of_positive_delta_T,uncovered_new_target_increment_kg,preexisting_saa_gap_kg,required_extra_total_kg,mean_actual_extra_kg,positive_actual_extra_total_kg,required_extra_realized_kg,effective_realization_ratio,unrealized_required_extra_kg,remaining_gap_total_kg,remaining_gap_C_D_total_kg,A_count,A_dro_falls_below_target_count,B_count,C_count,D_count,share_of_C_D_remaining_gap,cumulative_share_of_C_D_remaining_gap
72,21,223,4,7,3,124,0.0124,16.3652728909255,24.547901451242,8.1826285603165,1014.64594147925,2175.15513091455,901.097981157387,0.888091051587593,113.547960321859,4.05007131502049,117.59803163688,4.9746732043205,749.108599069145,53.5106767028992,0.455030377278168,64.0873549339804,113.013856664332,91.6321575751156,103,10,7,7,7,0.00194509574774373,0.987741679682697
73,22,231,5,1,3,9,0.0009,44.1862368054987,51.2754324636032,7.0891956581045,63.8027609229405,21.893522394172,19.5055611230054,0.305716568387436,44.2971997999351,82.4593851608262,126.756584960761,5.9079452228959,53.1715070060631,39.969155965736,0.315322126878922,86.7874289950253,86.7874289950253,86.7874289950253,2,0,1,6,0,0.001842255639975,0.989583935322672
74,20,215,4,6,2,37,0.0037,82.0991190028094,100.1863762794,18.0872572765906,669.228519233852,1049.24494482893,542.20452946577,0.810193400135575,127.023989768081,9.90621467270643,136.930204440788,-2.22998879434073,66.2361942971792,55.6980185340781,0.406762107465949,81.2321859067097,108.239054305669,83.5911199297184,29,6,0,7,1,0.00177440689193797,0.99135834221461
75,11,143,3,4,2,139,0.0139,72.007200720072,73.7990228568447,1.79182213677269,249.063277011404,3068.50295801391,227.561411370132,0.913669064748202,21.5018656412723,3.46034312315169e-11,21.5018656413069,-0.581450494667517,402.349762829175,14.3345770938623,0.666666666650744,7.16728854744467,96.9789301957282,79.6169369452777,127,6,8,0,4,0.00169004604495634,0.993048388259567
76,26,263,5,5,3,22,0.0022,45.2772549982271,49.6407679003528,4.3635129021257,95.9972838467654,56.1903705512966,30.0373868136,0.312898298888819,65.9598970331654,130.980277170696,196.940174203862,6.65491245627685,166.150093586767,142.594354323193,0.724049092063804,54.3458198806683,59.5048818212376,59.5048818212376,6,0,5,10,1,0.00126312307451237,0.994311511334079
77,35,335,6,7,1,2,0.0002,300,300,0,0,0,0,,0,53.910300307289,53.910300307289,0.035656474611983,0.992612028956955,0.992612028956955,0.0184122889929951,52.917688278332,53.838987358065,53.838987358065,0,0,0,1,1,0.0011428518998601,0.995454363233939
78,33,319,6,5,1,1,0.0001,300,300,0,0,0,0,,0,42.057234041724,42.057234041724,-7.82288268456801,0,0,0,42.057234041724,49.880116726292,49.880116726292,0,0,0,0,1,0.00105881609152047,0.99651317932546
79,31,303,6,3,3,1,0.0001,78.5533098764422,83.7691237697975,5.2158138933553,5.2158138933553,0,0,0,5.2158138933553,32.7255868012001,37.9414006945554,4.1735663044654,4.1735663044654,4.1735663044654,0.110000322288162,33.76783439009,33.76783439009,33.76783439009,0,0,0,1,0,0.000716797168383118,0.997229976493843
80,31,303,6,3,1,1,0.0001,300,300,0,0,0,0,,0,26.915466120808,26.915466120808,-2.84784212576102,0,0,0,26.915466120808,29.763308246569,29.763308246569,0,0,0,0,1,0.000631792220561104,0.997861768714404
81,13,159,3,6,4,89,0.0089,61.0970187927884,69.5525548649856,8.4555360721972,752.54271042555,3786.8521888782,727.176102208959,0.966292134831461,25.3666082165916,5.55469673952829,30.9213049561199,2.24630467351006,430.381298063527,5.1475889817055,0.166473859657941,25.7737159744144,55.8928606097046,27.751357798604,86,2,0,1,2,0.000589084110607458,0.998450852825011
82,33,319,6,5,3,1,0.0001,65.1883370155197,73.6444866111792,8.4561495956595,8.4561495956595,0,0,0,8.4561495956595,22.7984119478606,31.2545615435201,7.5404196173266,7.5404196173266,7.5404196173266,0.241258211439857,23.7141419261935,23.7141419261935,23.7141419261935,0,0,0,1,0,0.000503385250797114,0.998954238075808
83,33,319,6,5,2,1,0.0001,133.421978561492,133.421984648734,6.0872419851421e-06,6.0872419851421e-06,0,0,0,6.0872419851421e-06,24.320159288656,24.320165375898,4.363933070304,4.363933070304,4.363933070304,0.179436817260658,19.956232305594,19.956232305594,19.956232305594,0,0,0,1,0,0.000423615285570208,0.999377853361379
84,31,303,6,3,2,1,0.0001,143.241142296048,143.241140516995,-1.77905300802195e-06,0,0,0,,0,10.036370848091,10.036369069038,-1.748640609159,0,0,0,10.036369069038,11.785009678197,11.785009678197,0,0,0,0,1,0.000250162964823659,0.999628016326202
85,33,319,6,5,4,1,0.0001,150,150,0,0,0,0,,0,7.539408789075,7.539408789075,-4.08147000306201,0,0,0,7.539408789075,11.620878792137,11.620878792137,0,0,0,0,1,0.00024667892279085,0.999874695248993
86,12,151,3,5,3,117,0.0117,16.3652728909255,16.3652905806895,1.76897640002949e-05,0.0020697023880345,1025.20872924236,0.00173359691492792,0.837606858333981,0.000336105473106585,1.47166561251819,1.47200171799129,3.80468984162904,542.88783623182,0.697148946642198,0.473606068608081,0.774852771349096,10.7106612020598,3.5631900078192,98,3,10,4,5,7.56366096359849e-05,0.999950331858629
87,35,335,6,7,4,2,0.0002,150,150,0,0,0,0,,0,3.497634440025,3.497634440025,1.06967310120599,3.24697156389499,3.24697156389499,0.928333597913618,0.250662876130008,1.35828823761301,1.35828823761301,0,0,1,0,1,2.88326799794669e-05,0.999979164538608
88,13,159,3,6,3,89,0.0089,9.81916373455527,16.3652799793359,6.54611624478063,582.604345785476,1544.77557658176,582.596927991238,0.999987267870054,0.00741779423749023,0,0.00741779423749023,4.30771300672637,495.793746609368,0.00741070582699166,0.999044404539729,7.08841049856801e-06,3.1086032494625,0.699206743715798,79,2,9,0,1,1.48422136942531e-05,0.999994006752303
89,8,119,3,1,3,81,0.0081,16.3652728909255,16.3652728831405,-7.785001088223e-09,0,799.706709107838,0,,0,0.740940247148897,0.740940223792196,3.73199846108224,338.005669274007,0.464433639158498,0.626816609822432,0.276506584633697,0.276506584633697,0.276506584633697,78,0,2,1,0,5.86946543906551e-06,0.999999876217742
90,31,303,6,3,4,1,0.0001,150,150,0,0,0,0,,0,0.428747729712001,0.428747729712001,0.422916430453,0.422916430453,0.422916430453,0.986399230001947,0.00583129925900039,0.00583129925900039,0.00583129925900039,0,0,0,1,0,1.23782258244927e-07,1
