scope,row_count,positive_delta_T_total_kg,new_target_covered_by_saa_surplus_kg,covered_share_of_positive_delta_T,uncovered_new_target_increment_kg,preexisting_saa_gap_kg,required_extra_total_kg,positive_actual_extra_total_kg,required_extra_realized_kg,effective_realization_ratio,unrealized_required_extra_kg,remaining_gap_total_kg,A_count,B_count,C_count,D_count
all_terminal_hit_path_site_rows,24212,306571.548997426,286024.55713345,0.932978151654416,20546.9918639761,35785.5119496178,56112.8396189332,166144.966806794,14609.9056727682,0.260366535929838,41502.9339461649,47650.6164877223,21351,554,1367,940
positive_delta_T_path_site_rows,14730,306571.548997426,286024.55713345,0.932978151654416,20546.9918639761,24095.7413837808,44642.7332477569,96888.7377852315,13531.7759359373,0.303112622178375,31110.9573118196,35258.048188659,12312,508,1200,710
required_extra_positive_rows,2861,31042.0435184337,10495.0516544576,0.33809151927209,20546.9918639761,35773.2974160496,56112.8396189332,16028.0272392537,14609.9056727682,0.260366535929838,41502.9339461649,47109.3300581288,0,554,1367,940
site1_all_terminal_hits,6053,184169.124043361,176358.934158788,0.95759229498896,7810.1898845724,12226.2400846612,19923.1207635948,70694.7180463089,5612.73598243291,0.281719718965363,14310.3847811618,15653.6212760581,5261,151,369,272
site2_all_terminal_hits,6053,53461.3142580343,50287.974056015,0.940642308441896,3173.34020201925,8926.84556984555,11993.8307828663,32459.5970140989,2508.42580512982,0.209143004478037,9485.4049777365,11503.4274372826,5404,111,295,243
site3_all_terminal_hits,6053,20322.0793621919,14888.8362434902,0.732643347077466,5433.24311870174,3623.86184281708,9057.10496149547,25380.9513571977,3720.25468865753,0.410755390875282,5336.85027283794,5815.58983813751,5333,177,421,122
site4_all_terminal_hits,6053,48619.0313338388,44488.8126751561,0.915049342914241,4130.21865868272,11008.5644522939,15138.7831109766,37609.7003891884,2768.48919654796,0.182873958643388,12370.2939144287,14677.977936244,5353,115,282,303
state1_all_sites,1416,39707.0106057474,39707.0106057474,1,0,0,0,9637.67942312755,0,,0,0,1416,0,0,0
state2_all_sites,2724,75227.1562260585,75227.1562260585,1,0,0,0,17957.4963518905,0,,0,0,2724,0,0,0
state3_all_sites,2824,56116.647995257,56116.647995257,1,0,0,0,18426.6333755291,0,,0,0,2824,0,0,0
state4_all_sites,2864,48432.4814986189,48432.4814986189,1,0,0,0,21243.0496280323,0,,0,0,2864,0,0,0
state7_all_sites,4092,0,0,,0,0,0,35816.0682334189,0,,0,0,4092,0,0,0
state13_all_sites,356,10195.5677354895,9479.29604318199,0.929746757523442,716.271692307518,12.5079928338903,728.779685141408,2112.89735032145,426.168490042405,0.584769991166417,302.611195099003,399.58803635616,284,47,13,12
state14_all_sites,752,21382.8609195128,19111.7691100852,0.893789151134815,2271.09180942765,0,2271.09180942765,4945.39942190084,1485.72817803548,0.654191156811891,785.363631392164,820.466448125806,661,49,36,6
state19_all_sites,176,1388.06177359771,411.04389723763,0.296127957023301,977.017876360082,1804.78971973801,2781.80759609809,697.06612218742,579.986538554739,0.208492686326782,2201.82105754335,2496.98048702997,52,21,53,50
