stage,site,path_count,saa_mean_start_inventory_kg,dro_mean_start_inventory_kg,delta_dro_minus_saa_mean_start_inventory_kg,saa_mean_end_inventory_kg,dro_mean_end_inventory_kg,delta_dro_minus_saa_mean_end_inventory_kg,saa_mean_production_kg,dro_mean_production_kg,delta_dro_minus_saa_mean_production_kg,saa_mean_normal_served_kg,dro_mean_normal_served_kg,delta_dro_minus_saa_mean_normal_served_kg,saa_mean_normal_shortage_kg,dro_mean_normal_shortage_kg,delta_dro_minus_saa_mean_normal_shortage_kg,saa_mean_htt_inflow_kg,dro_mean_htt_inflow_kg,delta_dro_minus_saa_mean_htt_inflow_kg,saa_mean_htt_outflow_kg,dro_mean_htt_outflow_kg,delta_dro_minus_saa_mean_htt_outflow_kg,saa_mean_net_htt_inflow_kg,dro_mean_net_htt_inflow_kg,delta_dro_minus_saa_mean_net_htt_inflow_kg,saa_mean_total_htt_flow_kg,dro_mean_total_htt_flow_kg,delta_dro_minus_saa_mean_total_htt_flow_kg,saa_tank_binding_rate,dro_tank_binding_rate,delta_dro_minus_saa_tank_binding_rate,saa_electrolyzer_binding_rate,dro_electrolyzer_binding_rate,delta_dro_minus_saa_electrolyzer_binding_rate,saa_htt_binding_rate,dro_htt_binding_rate,delta_dro_minus_saa_htt_binding_rate
1,1,1023,58.0445570448697,58.0445570448697,0,88.0243810123717,88.0243810123717,0,35.1000000000002,35.1000000000002,0,5.12017603249833,5.12017603249833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,2,1023,50.3081379386245,50.3081379386245,0,67.8820509821033,67.8820509821033,0,23.3999999999999,23.3999999999999,0,5.82608695652175,5.82608695652175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,3,1023,25.2621334423093,25.2621334423093,0,37.7163366656134,37.7163366656134,0,14.04,14.04,0,1.58579677669569,1.58579677669569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,4,1023,33.0235808462428,33.0235808462428,0,47.7055120125909,47.7055120125909,0,17.5500000000001,17.5500000000001,0,2.86806883365201,2.86806883365201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,1,1023,88.0243810123717,88.0243810123717,0,107.013772556995,107.946535810384,0.932763253389012,35.1000000000002,35.1000000000002,0,19.5202058808541,19.5202058808541,0,0.569502988475622,0.569502988475622,0,3.40959742547838,4.34236067886695,0.932763253388571,0,0,0,3.40959742547838,4.34236067886695,0.932763253388571,3.70947551990154,4.67193112077163,0.96245560087009,0,0,0,1,1,0,0,0,0
2,2,1023,67.8820509821033,67.8820509821033,0,78.9579915657227,78.559458175112,-0.398533390610694,23.3999999999999,23.3999999999999,0,11.907263377109,11.907263377109,0,0.347395007984068,0.347395007984068,0,0,0,0,0.416796039271477,0.81532942988224,0.398533390610763,-0.416796039271477,-0.81532942988224,-0.398533390610763,3.70947551990154,4.67193112077163,0.96245560087009,0,0,0,1,1,0,0,0,0
2,3,1023,37.7163366656134,37.7163366656134,0,41.572238585503,41.0083163752437,-0.5639222102593,14.04,14.04,0,6.89141859948079,6.89141859948079,0,0.201057484290686,0.201057484290686,0,0,0,0,3.29267948063007,3.85660169088939,0.56392221025932,-3.29267948063007,-3.85660169088939,-0.56392221025932,3.70947551990154,4.67193112077163,0.96245560087009,0,0,0,1,1,0,0,0,0
2,4,1023,47.7055120125909,47.7055120125909,0,55.492635649694,55.5223279971755,0.0296923474815003,17.5500000000001,17.5500000000001,0,10.06275445732,10.06275445732,0,0.293581367467082,0.293581367467082,0,0.299878094423161,0.329570441904672,0.029692347481511,0,0,0,0.299878094423161,0.329570441904672,0.029692347481511,3.70947551990154,4.67193112077163,0.96245560087009,0,0,0,1,1,0,0,0,0
3,1,1023,107.013772556995,107.946535810384,0.932763253389012,136.785592758821,148.184407346277,11.398814587456,34.8255131964811,34.8255131964811,0,20.7011815580842,20.7011815580842,0,0.783173535428542,0.783173535428542,0,15.6474885634293,26.1135398974962,10.4660513340669,0,0,0,15.6474885634293,26.1135398974962,10.4660513340669,17.0874922852984,26.755086777253,9.6675944919546,0,0,0,0.992179863147605,0.992179863147605,0,0,0,0
3,2,1023,78.9579915657227,78.559458175112,-0.398533390610694,82.327747756153,79.150995677767,-3.176752078386,20.3517089415574,23.1489412966471,2.7972323550897,13.2713429627876,13.2713429627876,0,0.502085572211799,0.502085572211799,0,0.0699052743138093,0.0004378629162326,-0.0694674113975767,3.7805150626531,9.28649869412029,5.50598363146719,-3.71060978833929,-9.28606083120406,-5.57545104286477,17.0874922852984,26.755086777253,9.6675944919546,0,0,0,0.704789833822092,0.988269794721408,0.283479960899316,0,0,0
