selected_pair_id,state_id,site,remaining_gap_rank,selection_reason,terminal_state_k,arrival_count,required_extra_total_kg,required_extra_realized_kg,effective_realization_ratio,remaining_gap_C_D_total_kg,C_count,D_count
1,17,2,1,top8_C_D_remaining_gap,191,78,2607.1756105174,212.841594928146,0.0816368464285791,2651.34211896631,34,39
2,12,1,2,top8_C_D_remaining_gap,151,117,3752.09573751012,1252.98305100701,0.333942185558008,2586.29323419273,61,23
3,17,4,3,top8_C_D_remaining_gap,191,78,2223.03720382405,205.866162949924,0.0926058109130133,2306.42837842657,31,30
4,16,4,4,top8_C_D_remaining_gap,183,78,1907.2370551239,144.985509055664,0.0760186095724979,2075.54963917125,18,39
5,16,2,5,top8_C_D_remaining_gap,183,78,1890.89680263786,129.797763811257,0.0686434942563683,2073.3996516465,21,40
6,18,4,6,top8_C_D_remaining_gap,199,55,1617.20151474208,155.517019760741,0.0961642802972167,1692.57322958904,19,28
7,9,4,7,top8_C_D_remaining_gap,127,133,2136.68131807703,562.580540698693,0.263296419517069,1668.36637725976,48,26
8,18,1,8,top8_C_D_remaining_gap,199,55,1667.68699118726,217.638489656922,0.130503200424908,1553.83357008849,29,22
9,19,4,17,priority_state19_largest_gap_site,207,44,903.940745044065,117.042686031245,0.129480484946543,846.539133375201,16,10
10,14,1,18,priority_state14_site1,167,188,2271.09180942765,1485.72817803548,0.654191156811891,820.466448125798,36,6
11,13,2,59,priority_state13_largest_gap_site,159,89,364.086696653401,223.087747170681,0.612732487128068,201.314837803653,6,6
