selected_pair_id,focal_state_id,focal_site,selection_reason,method,stage,observed_site,constraint_type,path_count,eligible_count,binding_count,binding_rate,mean_slack,min_slack,max_slack
1,17,2,top8_C_D_remaining_gap,saa,4,4,electrolyzer_capacity,73,65,62,0.953846153846154,4.2004137902424,0,150
1,17,2,top8_C_D_remaining_gap,saa,4,4,ordinary_shortage_positive,73,65,55,0.846153846153846,-3.55199294013826,-4.19780983834521,-0
1,17,2,top8_C_D_remaining_gap,saa,4,0,htt_aggregate_capacity,73,65,0,0,101.207314635181,44.7966008653827,148.114285714286
1,17,2,top8_C_D_remaining_gap,saa,5,1,tank_capacity,73,73,0,0,74.1636389289644,29.9862227723921,107.209776203451
1,17,2,top8_C_D_remaining_gap,saa,5,1,electrolyzer_capacity,73,33,33,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,5,1,ordinary_shortage_positive,73,33,32,0.96969696969697,-4.96501918302866,-5.12017603249831,-0
1,17,2,top8_C_D_remaining_gap,saa,5,2,tank_capacity,73,73,0,0,95.916416838663,61.5045366473007,122.264953768104
1,17,2,top8_C_D_remaining_gap,saa,5,2,electrolyzer_capacity,73,33,33,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,5,2,ordinary_shortage_positive,73,33,32,0.96969696969697,-5.64953886693017,-5.82608695652174,-0
1,17,2,top8_C_D_remaining_gap,saa,5,3,tank_capacity,73,73,0,0,70.8134655099065,52.9744569911397,79.0884177956927
1,17,2,top8_C_D_remaining_gap,saa,5,3,electrolyzer_capacity,73,33,33,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,5,3,ordinary_shortage_positive,73,33,32,0.96969696969697,-1.53774232891703,-1.58579677669568,-0
1,17,2,top8_C_D_remaining_gap,saa,5,4,tank_capacity,73,73,9,0.123287671232877,31.308080280663,0,75.8107628944713
1,17,2,top8_C_D_remaining_gap,saa,5,4,electrolyzer_capacity,73,33,33,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,5,4,ordinary_shortage_positive,73,33,32,0.96969696969697,-2.78115765687467,-2.86806883365201,-0
1,17,2,top8_C_D_remaining_gap,saa,5,0,htt_aggregate_capacity,73,33,0,0,98.1104183871409,75.7597626440517,127.871660649682
1,17,2,top8_C_D_remaining_gap,saa,6,1,tank_capacity,73,73,0,0,72.843125496248,23.5309940448466,107.209776203451
1,17,2,top8_C_D_remaining_gap,saa,6,1,electrolyzer_capacity,73,4,4,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,6,1,ordinary_shortage_positive,73,4,4,1,-16.1308849625082,-20.0897088693297,-6.24679628282556
1,17,2,top8_C_D_remaining_gap,saa,6,2,tank_capacity,73,73,0,0,94.4294807015823,61.5045366473007,122.264953768104
1,17,2,top8_C_D_remaining_gap,saa,6,2,electrolyzer_capacity,73,4,4,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,6,2,ordinary_shortage_positive,73,4,3,0.75,-9.19099378881987,-12.2546583850932,-0
1,17,2,top8_C_D_remaining_gap,saa,6,3,tank_capacity,73,73,0,0,70.4367748798337,46.9989702229312,79.0884177956927
1,17,2,top8_C_D_remaining_gap,saa,6,3,electrolyzer_capacity,73,4,4,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,6,3,ordinary_shortage_positive,73,4,4,1,-5.40745472286796,-7.09247608377144,-0.352390640157533
1,17,2,top8_C_D_remaining_gap,saa,6,4,tank_capacity,73,73,11,0.150684931506849,30.2081356174027,0,75.8107628944713
