method,path_id,decision_stage,current_k,current_a,current_loc,current_lf,node_oos_path_count,node_oos_frequency,future_terminal_state_count,realized_terminal_state_probability,conditional_max_site_target_range_kg,site,archived_inventory_kg,realized_terminal_target_kg,node_conditional_mean_target_kg,saved_cut_count,active_cut_count,active_cut_rhs,chosen_active_cut_local_index,chosen_active_cut_source_iteration,chosen_marginal_value_of_1kg_inventory,chosen_marginal_value_rank,active_marginal_value_min,active_marginal_value_max,active_marginal_value_mean,envelope_update_count,last_envelope_update_iteration,iterations_since_last_envelope_update,last_forward_node_match,training_iteration_count,training_time_seconds,stop_flag,completed_backward_iterations
saa,1529,5,214,4,6,6,8,0.0008,3,0.125,51.1843731811012,1,244.22407786932,231.297621603105,242.807320173124,1112,4,29439.6287809056,746,746,560,3,560,1007.44,750.4,13,746,366,0,1113,3603.05237,2,1112
saa,1529,5,214,4,6,6,8,0.0008,3,0.125,51.1843731811012,2,119.917946791218,121.918688071935,106.930820607498,1112,4,29439.6287809056,746,746,958.4,1,485.12,958.4,738.08,13,746,366,0,1113,3603.05237,2,1112
saa,1529,5,214,4,6,6,8,0.0008,3,0.125,51.1843731811012,3,39.1009453159157,50.0952851168181,41.9245619752392,1112,4,29439.6287809056,746,746,630.72,2,630.72,834.72,681.72,13,746,366,0,1113,3603.05237,2,1112
saa,1529,5,214,4,6,6,8,0.0008,3,0.125,51.1843731811012,4,148.652131533243,139.650041540419,130.105496866691,1112,4,29439.6287809056,746,746,-0,4,-0,1033.28,705.24,13,746,366,0,1113,3603.05237,2,1112
saa,2134,5,197,4,4,5,12,0.0012,8,0.166666666666667,63.3102267711805,1,239.208749598029,231.297621603105,248.780444161439,1112,4,17741.1550740843,796,796,508.872311417399,1,379.79944637532,508.872311417399,471.652107554159,16,796,316,0,1113,3603.05237,2,1112
saa,2134,5,197,4,4,5,12,0.0012,8,0.166666666666667,63.3102267711805,2,128.953240167127,121.918688071935,126.847966837358,1112,4,17741.1550740843,796,796,465.904485288792,3,456.72516640473,465.904485288792,460.592424701905,16,796,316,0,1113,3603.05237,2,1112
saa,2134,5,197,4,4,5,12,0.0012,8,0.166666666666667,63.3102267711805,3,34.6135913872082,50.0952851168181,48.0376134006663,1112,4,17741.1550740843,796,796,419.313643460787,4,416.799029208071,554.480087830064,467.312496630959,16,796,316,0,1113,3603.05237,2,1112
saa,2134,5,197,4,4,5,12,0.0012,8,0.166666666666667,63.3102267711805,4,149.119520357333,139.650041540419,140.195852657213,1112,4,17741.1550740843,796,796,489.545575803897,2,96.2465118132528,489.727423924563,379.949447742078,16,796,316,0,1113,3603.05237,2,1112
saa,5371,5,69,2,2,5,104,0.0104,13,0.00961538461538462,234.531627132872,1,198.278687491637,231.297621603105,68.4611393399898,1112,2,1973.59343001893,1028,1028,43.0657568746737,1,34.8200925175967,43.0657568746737,38.9429246961352,23,1028,84,0,1113,3603.05237,2,1112
saa,5371,5,69,2,2,5,104,0.0104,13,0.00961538461538462,234.531627132872,2,99.3815362891959,121.918688071935,20.3789286322719,1112,2,1973.59343001893,1028,1028,16.4487801322297,4,16.4487801322297,17.1665121719321,16.8076461520809,23,1028,84,0,1113,3603.05237,2,1112
saa,5371,5,69,2,2,5,104,0.0104,13,0.00961538461538462,234.531627132872,3,29.2301012186488,50.0952851168181,5.85613735712593,1112,2,1973.59343001893,1028,1028,19.015193416831,3,16.6733910079792,19.015193416831,17.8442922124051,23,1028,84,0,1113,3603.05237,2,1112
saa,5371,5,69,2,2,5,104,0.0104,13,0.00961538461538462,234.531627132872,4,87.9055120125908,139.650041540419,21.4346524590139,1112,2,1973.59343001893,1028,1028,34.4986959686158,2,34.4986959686158,35.2170316115388,34.8578637900773,23,1028,84,0,1113,3603.05237,2,1112
saa,5371,6,142,3,4,6,13,0.0013,8,0.0769230769230769,242.490845037318,1,222.840465864769,231.297621603105,188.368509852039,1112,19,16605.9733733248,214,214,326,1,251,326,282.578947368421,14,214,898,0,1113,3603.05237,2,1112
