method,path_id,state_id,decision_stage,current_k,current_a,current_loc,current_lf,history_node_id,node_oos_path_count,future_terminal_state_count,realized_terminal_state_probability,positive_target_modal_top_site,positive_target_modal_top_site_probability,conditional_max_site_target_range_kg,actual_terminal_gap_kg,actual_I_total_dro_kg,T_total_dro_kg,actual_total_sufficient,service_preserving_max_terminal_total_kg,node_oos_frequency,late_decision_stage_5_or_6,saved_cut_audit_available
chi2_eta003,1529,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,12.8036604251022,551.895101509697,542.961636332278,1,551.895101509697,1,False,False
saa,1529,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,12.8036604251022,551.895101509697,542.961636332278,1,551.895101509697,1,False,False
chi2_eta003,1529,19,2,82,2,4,2,t2_k82,1056,25,0.0037878787878787,1,0.897435897435897,278.513576350821,12.8036604251022,551.895101509697,542.961636332278,1,551.895101509697,0.1056,False,False
saa,1529,19,2,82,2,4,2,t2_k82,1056,25,0.0037878787878787,1,0.897435897435897,278.513576350821,12.8036604251022,551.895101509697,542.961636332278,1,551.895101509697,0.1056,False,False
chi2_eta003,1529,19,3,163,3,7,3,t3_k163,45,18,0.0444444444444444,1,1,278.513576350821,12.8036604251022,551.895101509697,542.961636332278,1,551.895101509697,0.0045,False,False
saa,1529,19,3,163,3,7,3,t3_k163,45,18,0.0444444444444444,1,1,278.513576350821,12.8036604251022,551.895101509697,542.961636332278,1,551.895101509697,0.0045,False,False
chi2_eta003,1529,19,4,205,4,5,5,t4_k205,12,7,0.0833333333333333,1,1,109.078997891597,12.8036604251022,551.895101509697,542.961636332278,1,551.895101509697,0.0012,False,False
saa,1529,19,4,205,4,5,5,t4_k205,12,7,0.0833333333333333,1,1,109.078997891597,12.8036604251022,551.895101509697,542.961636332278,1,551.895101509697,0.0012,False,False
chi2_eta003,1529,19,5,214,4,6,6,t5_k214,8,3,0.125,1,1,51.1843731811012,12.8036604251022,551.895101509697,542.961636332278,1,551.895101509697,0.0008,True,True
saa,1529,19,5,214,4,6,6,t5_k214,8,3,0.125,1,1,51.1843731811012,12.8036604251022,551.895101509697,542.961636332278,1,551.895101509697,0.0008,True,True
chi2_eta003,2134,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,9.03197647235841,551.895101509697,542.961636332278,1,551.895101509697,1,False,False
