path_id,state,saa_terminal_loh_total_target_kg,dro_terminal_loh_total_target_kg,dro_minus_saa_target_kg,saa_max_feasible_terminal_total_kg,dro_max_feasible_terminal_total_kg,saa_capacity_gap_kg,dro_capacity_gap_kg,dro_minus_saa_capacity_gap_kg,saa_capacity_gap_share_of_target,dro_capacity_gap_share_of_target,saa_system_total_sufficient,dro_system_total_sufficient,feasibility_transition
118,16,571.966287537845,585.059146032685,13.09285849484,405.267093140662,405.267093140662,166.699194397182,179.792052892023,13.092858494841,0.291449335440339,0.307305772606414,False,False,both_infeasible
505,16,571.966287537845,585.059146032685,13.09285849484,551.895101509697,551.895101509697,20.0711860281474,33.1640445229879,13.0928584948405,0.0350915542846909,0.0566849433050913,False,False,both_infeasible
699,16,571.966287537845,585.059146032685,13.09285849484,511.598280672679,511.598280672679,60.368006865166,73.4608653600064,13.0928584948404,0.105544694120056,0.125561434015942,False,False,both_infeasible
719,16,571.966287537845,585.059146032685,13.09285849484,566.857344903266,584.913847057608,5.10894263457897,0.145298975077139,-4.96364365950183,0.0089322443400843,0.0002483492071911,False,False,both_infeasible
908,16,571.966287537845,585.059146032685,13.09285849484,405.267093140662,405.267093140662,166.699194397182,179.792052892023,13.092858494841,0.291449335440339,0.307305772606414,False,False,both_infeasible
1419,16,571.966287537845,585.059146032685,13.09285849484,511.598280672679,511.598280672679,60.368006865166,73.4608653600064,13.0928584948404,0.105544694120056,0.125561434015942,False,False,both_infeasible
1708,16,571.966287537845,585.059146032685,13.09285849484,371.715101509697,371.715101509697,200.251186028147,213.344044522988,13.092858494841,0.350110120808296,0.364653806319727,False,False,both_infeasible
1832,16,571.966287537845,585.059146032685,13.09285849484,551.895101509697,551.895101509697,20.0711860281474,33.1640445229879,13.0928584948405,0.0350915542846909,0.0566849433050913,False,False,both_infeasible
1931,16,571.966287537845,585.059146032685,13.09285849484,421.508280672679,421.508280672679,150.458006865166,163.550865360006,13.09285849484,0.263053977381859,0.27954586552326,False,False,both_infeasible
2124,16,571.966287537845,585.059146032685,13.09285849484,616.062679582985,624.145220195663,0,0,0,0,0,True,True,both_feasible
