method,path_id,state_id,terminal_state_k,terminal_stage,terminal_loh_total_target_kg,actual_terminal_total_inventory_kg,preserved_ordinary_service_total_kg,initial_total_inventory_kg,total_storage_capacity_kg,max_feasible_terminal_total_inventory_kg,min_feasible_station_gap_kg,system_total_capacity_gap_kg,capacity_gap_share_of_target,system_total_sufficient,station_targets_feasible,max_total_status,min_gap_status,solve_pass,max_lp_residual,step05b4_dro_reproduction_residual,completed_backward_iterations
saa,2,19,207,6,511.414777841421,432.296131703121,144,166.638409272046,750,473.088409272046,38.3263685693743,38.3263685693743,0.0749418480458118,0,0,OPTIMAL,OPTIMAL,1,2.30926389122033e-14,NaN,1112
saa,8,19,207,5,511.414777841421,511.598280672678,15.4001285993677,166.638409272046,750,511.598280672679,0,0,0,1,1,OPTIMAL,OPTIMAL,1,1.4210854715202e-14,NaN,1112
saa,73,17,191,6,562.147123803289,495.357093140662,121.731316131384,166.638409272046,750,495.357093140662,66.7900306626271,66.7900306626272,0.118812367500432,0,0,OPTIMAL,OPTIMAL,1,2.8421709430404e-14,NaN,1112
saa,118,16,183,5,571.966287537845,405.267093140663,121.731316131384,166.638409272046,750,405.267093140662,166.699194397182,166.699194397182,0.291449335440339,0,0,OPTIMAL,OPTIMAL,1,1.4210854715202e-14,NaN,1112
saa,121,18,199,6,546.327360008728,551.895101509697,65.1933077623492,166.638409272046,750,551.895101509697,0,0,0,1,1,OPTIMAL,OPTIMAL,1,2.30926389122033e-14,NaN,1112
saa,185,17,191,5,562.147123803289,461.805101509698,65.1933077623492,166.638409272046,750,461.805101509697,100.342022293592,100.342022293592,0.178497795407568,0,0,OPTIMAL,OPTIMAL,1,1.4210854715202e-14,NaN,1112
saa,202,18,199,6,546.327360008728,551.895101509697,65.1933077623492,166.638409272046,750,551.895101509697,0,0,0,1,1,OPTIMAL,OPTIMAL,1,2.30926389122033e-14,NaN,1112
saa,220,18,199,5,546.327360008728,405.267093140661,121.731316131384,166.638409272046,750,405.267093140662,141.060266868066,141.060266868066,0.258197332210879,0,0,OPTIMAL,OPTIMAL,1,1.4210854715202e-14,NaN,1112
saa,250,17,191,6,562.147123803289,495.357093140662,121.731316131384,166.638409272046,750,495.357093140662,66.7900306626271,66.7900306626271,0.118812367500432,0,0,OPTIMAL,OPTIMAL,1,1.95399252334028e-14,NaN,1112
saa,287,17,191,6,562.147123803289,418.098409272047,144,166.638409272046,750,473.088409272046,89.058714531243,89.0587145312431,0.158425989852449,0,0,OPTIMAL,OPTIMAL,1,1.95399252334028e-14,NaN,1112
