method,state,oos_path_count,system_total_insufficient_path_count,system_total_insufficient_path_share,unconditional_mean_capacity_gap_kg,conditional_mean_capacity_gap_kg,conditional_median_capacity_gap_kg,conditional_q95_capacity_gap_kg,conditional_max_capacity_gap_kg,terminal_loh_total_target_kg,conditional_mean_gap_share_of_target,conditional_median_gap_share_of_target,station_targets_physically_feasible_path_share
saa,16,78,62,0.794871794871795,74.0086431826234,93.1076478749133,87.7435363314904,166.699194397182,200.251186028147,571.966287537845,0.162785202386168,0.153406832261394,0.205128205128205
saa,17,78,65,0.833333333333333,72.3594663732339,86.8313596478806,89.0587145312431,156.880030662627,190.432022293592,562.147123803289,0.154463762191667,0.158425989852449,0.166666666666667
saa,18,55,44,0.8,64.512150507669,80.6401881345863,73.2389507366817,141.060266868066,174.612258499031,546.327360008728,0.147604154646947,0.134056897197152,0.2
saa,19,44,20,0.454545454545455,32.9606794392984,72.5134947664565,49.6096763317234,139.699676331723,139.699676331723,511.414777841421,0.141789987126539,0.0970047767119988,0.545454545454545
chi2_eta003,16,78,63,0.807692307692308,84.0390097111175,104.048297737574,89.7020528920229,179.792052892023,213.344044522988,585.059146032685,0.177842357380669,0.153321341099096,0.192307692307692
chi2_eta003,17,78,67,0.858974358974359,86.0125396917426,100.134001432178,105.423946952225,173.245263083609,206.797254714574,578.512356224272,0.173088786012652,0.182232835336979,0.141025641025641
chi2_eta003,18,55,49,0.890909090909091,85.6751696467887,96.1660067463955,76.6091943631143,166.699194363114,200.251185994079,571.966287503776,0.16813229878651,0.133940052126951,0.109090909090909
chi2_eta003,19,44,26,0.590909090909091,50.94353370225,86.2121339576539,81.1565348225803,171.24653482258,171.24653482258,542.961636332278,0.158781262226959,0.149470108736955,0.409090909090909
