candidate,iteration_id,iteration_budget,LB,UB_estimate,LB_increment,forward_sampled_objective,elapsed_seconds,iteration_runtime_s,forward_runtime_s,backward_runtime_s,cuts_before,cut_count,cuts_added,Stage1_production_kg,Stage1_site1_production_kg,Stage1_site2_production_kg,Stage1_site3_production_kg,Stage1_site4_production_kg,Stage1_end_inventory_kg,Stage1_site1_inventory_kg,Stage1_site2_inventory_kg,Stage1_site3_inventory_kg,Stage1_site4_inventory_kg,solver_status,warning_id,warning_message,numerical_finite,cut_violation_flag,scope
ARM-B0001,1,10,7666.68421740672,NOT_FORMALLY_AVAILABLE,NaN,47308.1057426305,43.9638106,43.963753,0.4229207,43.3886758,0,1051,1051,125.97,46.8,31.2,18.72,29.25,253.597481134483,90.0053559615926,68.8621752057055,40.0176415005701,54.7123084666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B0001,2,10,42644.254681285,NOT_FORMALLY_AVAILABLE,34977.5704638783,34412.9633720669,97.1329681,52.2911506,0.0479415,52.0740799,1051,2102,1051,0,0,0,0,0,127.627481134483,43.2053559615926,37.6621752057055,21.2976415005701,25.4623084666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B0001,3,10,53510.626640733,NOT_FORMALLY_AVAILABLE,10866.371959448,77437.7186511229,147.4578426,49.9202357,0.1196891,49.636441,2102,3153,1051,93.4594324558455,40.3219324558455,19.5,11.7,21.9375,221.086913590328,83.5272884174381,57.1621752057055,32.9976415005701,47.3998084666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B0001,4,10,54251.797114051,NOT_FORMALLY_AVAILABLE,741.170473318016,78034.8974519557,196.1106199,48.3285301,0.1088221,48.0091716,3153,4204,1051,103.98375,40.95,23.4,14.04,25.59375,231.611231134483,84.1553559615926,61.0621752057055,35.3376415005701,51.0560584666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B0001,5,10,55743.2317378764,NOT_FORMALLY_AVAILABLE,1491.43462382539,235645.046813215,247.7264301,51.2968111,0.1296742,50.9596132,4204,5255,1051,103.98375,40.95,23.4,14.04,25.59375,231.611231134483,84.1553559615926,61.0621752057055,35.3376415005701,51.0560584666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B0001,6,10,55750.4464353403,NOT_FORMALLY_AVAILABLE,7.21469746396178,78648.0697934396,297.9388413,49.8445754,0.1145232,49.600518,5255,6306,1051,100.08375,40.95,19.5,14.04,25.59375,227.711231134483,84.1553559615926,57.1621752057055,35.3376415005701,51.0560584666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B0001,7,10,55938.4362960795,NOT_FORMALLY_AVAILABLE,187.989860739137,9398.75340490673,340.1498376,41.9268919,0.0367699,41.8367621,6306,7357,1051,103.98375,40.95,23.4,14.04,25.59375,231.611231134483,84.1553559615926,61.0621752057055,35.3376415005701,51.0560584666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B0001,8,10,55958.567954013,NOT_FORMALLY_AVAILABLE,20.1316579335689,58364.2470374503,381.18736,41.0183609,0.1310856,40.7576328,7357,8408,1051,115.83,46.8,23.4,16.38,29.25,243.457481134483,90.0053559615926,61.0621752057055,37.6776415005701,54.7123084666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B0001,9,10,56130.5226651163,NOT_FORMALLY_AVAILABLE,171.954711103252,9817.98071740672,432.3023276,50.8133487,0.0344056,50.6229524,8408,9459,1051,115.83,46.8,23.4,16.38,29.25,243.457481134483,90.0053559615926,61.0621752057055,37.6776415005701,54.7123084666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B0001,10,10,56157.5430604332,NOT_FORMALLY_AVAILABLE,27.0203953169621,9817.98071740672,483.9271369,51.3419879,0.0347257,51.1646363,9459,10510,1051,115.83,46.8,23.4,16.38,29.25,243.457481134483,90.0053559615926,61.0621752057055,37.6776415005701,54.7123084666148,OPTIMAL,,,1,0,FIXED_10_ITER_ENGINEERING_SMOKE
