complexity_label,initial_state_id,a0,loc0,lfw0,R,rho,iteration,active_constraints_before,active_constraints_after,objective_value,solve_status,modeling_time_sec,solve_time_sec,separation_time_sec,max_violation,violated_r_count,constraints_added,converged
simple,7,2,7,0,1000,0,1,1000,1999,885.49902316988,OPTIMAL,0.0331122,0.2661494,0.5943532,313518.081773511,999,999,0
simple,7,2,7,0,1000,0,2,1999,1999,885.49902316988,OPTIMAL,0.0635553,0.2298156,0.5295674,0,0,0,1
simple,7,2,7,0,1000,0.02,1,1000,1999,885.49902316988,OPTIMAL,0.0266176,0.1993569,0.5046645,313518.081773511,999,999,0
simple,7,2,7,0,1000,0.02,2,1999,2993,4821.01845397181,OPTIMAL,0.0517162,0.2982366,0.4922186,33845.671201293,994,994,0
simple,7,2,7,0,1000,0.02,3,2993,2993,15283.237445966,OPTIMAL,0.0687091,0.2057381,0.512443,1.22781784739345e-11,0,0,1
simple,7,2,7,0,2000,0,1,2000,3999,767.392773688212,OPTIMAL,0.036244,0.4442558,2.4837315,313517.729076791,1999,1999,0
simple,7,2,7,0,2000,0,2,3999,3999,767.392773688212,OPTIMAL,0.0535909,0.3689116,2.1791509,2.5465851649642e-11,0,0,1
simple,7,2,7,0,2000,0.02,1,2000,3999,767.392773688212,OPTIMAL,0.0354277,0.3793941,2.6692454,313517.729076791,1999,1999,0
simple,7,2,7,0,2000,0.02,2,3999,5989,4949.83005062581,OPTIMAL,0.0745133,0.5005041,2.6309413,34517.2307912676,1990,1990,0
simple,7,2,7,0,2000,0.02,3,5989,5989,16840.813159309,OPTIMAL,0.0930594,0.4313176,2.3911894,2.5465851649642e-11,0,0,1
medium,18,4,4,0,1000,0,1,1000,1999,18983.0744916202,OPTIMAL,0.01742,0.3450056,0.6369394,618346.653236283,999,999,0
medium,18,4,4,0,1000,0,2,1999,2007,18983.0744916202,OPTIMAL,0.0451844,0.44416,0.7022571,122473.654687511,8,8,0
medium,18,4,4,0,1000,0,3,2007,2007,18983.0744916202,OPTIMAL,0.0391654,0.3931807,0.6599183,0,0,0,1
medium,18,4,4,0,1000,0.02,1,1000,1999,18983.0744916202,OPTIMAL,0.0167298,0.3002594,0.4994918,618346.653236283,999,999,0
medium,18,4,4,0,1000,0.02,2,1999,2126,61331.1528226074,OPTIMAL,0.0312285,0.6197615,0.5295469,129685.749106992,127,127,0
medium,18,4,4,0,1000,0.02,3,2126,2131,67245.6221170728,OPTIMAL,0.0331495,0.7777306,0.7799275,2070.24727640865,5,5,0
medium,18,4,4,0,1000,0.02,4,2131,2131,67252.9050257328,OPTIMAL,0.0420279,0.8068692,0.5756002,5.82076609134674e-11,0,0,1
medium,18,4,4,0,2000,0,1,2000,3999,19751.6220658457,OPTIMAL,0.0408391,0.7466428,2.3555259,820593.853831067,1999,1999,0
medium,18,4,4,0,2000,0,2,3999,4001,19751.6220658457,OPTIMAL,0.0711382,0.6499983,2.3550747,4872.05421676244,2,2,0
medium,18,4,4,0,2000,0,3,4001,4001,19751.6220658457,OPTIMAL,0.0675781,0.7268649,2.3886743,0,0,0,1
medium,18,4,4,0,2000,0.02,1,2000,3999,19751.6220658457,OPTIMAL,0.0679265,0.8823741,2.5569585,820593.853831067,1999,1999,0
medium,18,4,4,0,2000,0.02,2,3999,4173,74125.5857106862,OPTIMAL,0.0994572,2.3354758,2.6846319,128155.615282715,174,174,0
