rho,GroupCount,min_cg_iterations,mean_cg_iterations,max_cg_iterations,min_cg_final_active_constraints,mean_cg_final_active_constraints,max_cg_final_active_constraints,min_cg_active_ratio_R2,mean_cg_active_ratio_R2,max_cg_active_ratio_R2,min_cg_gurobi_time_sec,mean_cg_gurobi_time_sec,max_cg_gurobi_time_sec,min_cg_separation_time_sec,mean_cg_separation_time_sec,max_cg_separation_time_sec,min_cg_independent_scan_time_sec,mean_cg_independent_scan_time_sec,max_cg_independent_scan_time_sec,min_cg_total_time_sec,mean_cg_total_time_sec,max_cg_total_time_sec,min_cg_observed_peak_memused_mb,mean_cg_observed_peak_memused_mb,max_cg_observed_peak_memused_mb,full_reference_ran,full_reference_gate
0,3,2,2.66666666666667,3,3999,4012.66666666667,4038,0.00099975,0.00100316666666667,0.0010095,0.8131674,1.776329,2.3923136,4.6628824,6.02477246666667,7.0992749,2.569937,2.78690846666667,3.1607632,11.4452986,13.9649497666667,15.9141347,1982.50390625,2097.08203125,2184.52734375,1,FULL_R2_REFERENCE_ATTEMPTED
0.02,3,3,3.66666666666667,4,4174,4910.33333333333,5989,0.0010435,0.00122758333333333,0.00149725,1.3112158,6.84927156666667,11.6249294,7.6913761,9.34600266666667,10.644347,2.8367071,3.1105856,3.326813,15.8743485,22.9826927666667,27.1430959,2080.484375,2129.35026041667,2191.8515625,1,FULL_R2_REFERENCE_ATTEMPTED
