metric,SAA_mean,DRO_mean,DRO_minus_SAA,paired_CI95_low,paired_CI95_high,DRO_lower_count,DRO_higher_count,tie_count
total_H2_production,116.4419511847938,166.92514695801512,50.483195773216096,50.09113826543884,50.87525328099335,9994,6,0
ordinary_shortage_total,1.0425372227452991,1.1038071060246548,0.0612698832793557,0.02353862828375093,0.09900113827496047,141,111,9748
total_HTT,4.024560077687932,7.952512894107514,3.927952816419646,3.6589295057595423,4.19697612707975,2538,1541,5921
terminal_inventory_total,115.71901384400728,166.2634795005018,50.54446565649541,50.15180456818614,50.93712674480469,9994,6,0
electricity_cost,53788.421973347795,54711.01277376512,922.5908004149655,915.0820863546304,930.0995144753007,9946,54,0
production_om_cost,71.65658534449673,102.72316735877679,31.066582014286837,30.82531585565468,31.307848172918995,9994,6,0
HTT_cost,109.42915541455315,199.1546921550081,89.72553674045417,83.04437029379399,96.40670318711436,2519,1560,5921
ordinary_shortage_cost,208.50744454905984,220.76142120493074,12.253976655871112,4.707725656750163,19.80022765499206,141,111,9748
holding_cost,25.459396163955923,32.59971906275285,7.140322898796844,7.071558085915306,7.209087711678382,10000,0,0
actual_operating_cost,54203.47455482222,55266.25177354377,1062.7772187243838,1050.2045710897164,1075.3498663590512,9900,100,0
terminal_penalty_cost,1274.284481567635,1528.6013819197574,254.31690035212253,174.81106871417728,333.8227319900678,333,164,9505
reported_objective,55477.75903638998,56794.853155463556,1317.0941190765063,1235.5419764602416,1398.646261692771,9823,177,0
