arm,penalty,first_path_id,last_path_id,path_rows,stage_rows,site_rows,hour_site_rows,grid_hour_rows,positive_htt_rows,wall_time_s
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,1,100,100,364,1456,11648,2912,91,14.068038
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,101,200,100,340,1360,10880,2720,52,25.413278
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,201,300,100,352,1408,11264,2816,90,36.2196418
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,301,400,100,356,1424,11392,2848,53,45.8162291
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,401,500,100,364,1456,11648,2912,86,55.7048901
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,501,600,100,340,1360,10880,2720,63,65.0895016
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,601,700,100,357,1428,11424,2856,50,75.7195048
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,701,800,100,349,1396,11168,2792,59,85.4833013
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,801,900,100,367,1468,11744,2936,71,95.477764
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,901,1000,100,364,1456,11648,2912,60,105.5406804
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,1001,1100,100,354,1416,11328,2832,32,115.2114465
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,1101,1200,100,362,1448,11584,2896,60,124.9122686
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,1201,1300,100,348,1392,11136,2784,62,134.3364099
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,1301,1400,100,342,1368,10944,2736,62,143.6038146
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,1401,1500,100,342,1368,10944,2736,39,152.9202888
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,1501,1600,100,360,1440,11520,2880,55,162.8583634
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,1601,1700,100,392,1568,12544,3136,80,173.4464862
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,1701,1800,100,374,1496,11968,2992,73,183.9644001
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,1801,1900,100,352,1408,11264,2816,59,193.5119303
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,1901,2000,100,392,1568,12544,3136,55,204.2188802
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,2001,2100,100,377,1508,12064,3016,60,214.9189608
