primary_mechanism_class,path_count,total_HTT_kg,target_aligned_HTT_kg,ex_post_non_aligned_HTT_kg,no_transfer_hours,fraction_of_pure_location_paths
no-transfer despite ex-post surplus-deficit,201,10550.2584955,3121.14426643,7429.11422903,4828,0.990147783251
timing-too-late,2,28.7270593497,0,28.7270593497,7,0.00985221674877
