path_id,total_HTT_kg,target_aligned_HTT_kg,ex_post_non_aligned_HTT_kg,target_aligned_fraction,surplus_deficit_path_hours,no_transfer_despite_surplus_deficit_hours,capacity_limited_mismatch_hours,first_surplus_deficit_relative_hour,unavailable_OD,primary_mechanism_class,information_boundary,contemporaneous_unreasonableness_proven
11,70.3701988337,19.1645653298,51.2056335039,0.272339223811,28,27,0,-37,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
16,166.349979021,59.9588146458,106.391164376,0.360437764997,22,18,0,-21,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
24,93.3186127319,16.7649564711,76.5536562608,0.1796528686,26,24,0,-27,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
156,103.391940456,24.1089704533,79.2829700031,0.233180365383,32,29,0,-34,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
182,0,0,0,,5,5,0,-4,NOT_AVAILABLE_FROM_SAVED_DATA,timing-too-late,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
202,82.3114534879,52.2063802911,30.1050731968,0.634254141785,38,35,0,-37,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
216,103.926820425,50.6192924345,53.3075279909,0.487066690074,28,25,0,-37,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
230,74.9847538584,24.470202295,50.5145515634,0.326335702071,25,24,0,-26,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
285,50.0751241365,13.2736891644,36.8014349721,0.265075511909,28,25,0,-39,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
289,50.6868196862,22.3471795764,28.3396401099,0.440887388767,21,20,0,-35,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
313,43.034705329,10.0777681381,32.9569371908,0.234177695911,19,17,0,-43,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
439,81.5283161432,13.710062443,67.8182537002,0.168163198893,25,24,0,-27,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
462,50.3851147761,23.0663332549,27.3187815212,0.457800549971,30,28,0,-29,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
484,174.750764472,45.331098548,129.419665924,0.259404293223,18,16,0,-27,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
521,0,0,0,,3,3,0,-39,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
550,23.073265734,0,23.073265734,0,24,24,0,-23,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
634,52.1804696896,20.1954064007,31.9850632888,0.38702998499,21,19,0,-35,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
749,0,0,0,,24,24,0,-23,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
806,65.3581266178,3.33550615524,62.0226204626,0.051034298684,27,26,0,-31,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
889,0,0,0,,14,14,0,-31,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
942,134.325764014,53.8080054325,80.5177585819,0.400578443215,31,25,0,-35,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
996,86.2808431469,6.71526728734,79.5655758595,0.0778303391857,20,18,0,-27,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1159,50.2600616008,20.859231211,29.4008303898,0.415025977817,39,38,0,-39,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1353,94.4226487831,8.74973723322,85.6729115498,0.0926656617452,21,20,0,-20,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1364,14.9621460617,5.71166139664,9.25048466509,0.381740785919,24,23,0,-23,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1389,0,0,0,,12,12,0,-23,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1420,115.636863159,31.1637875619,84.4730755969,0.269496998713,32,30,0,-34,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1455,9.36574142711,7.00307411909,2.36266730803,0.747733019707,24,23,0,-23,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1459,150.657518379,49.942622678,100.714895701,0.331497712264,24,20,0,-23,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1460,0,0,0,,14,14,0,-31,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1511,0,0,0,,32,32,0,-31,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1538,0,0,0,,4,4,0,-15,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1564,124.267239729,75.2076807363,49.0595589924,0.605209232139,40,38,0,-39,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1616,0,0,0,,14,14,0,-31,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1624,118.461878351,15.7565904624,102.705287889,0.133009797597,15,13,0,-14,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
1671,39.6722087332,15.3882323314,24.2839764017,0.387884436557,40,39,0,-39,NOT_AVAILABLE_FROM_SAVED_DATA,no-transfer despite ex-post surplus-deficit,final TerminalLOH was not yet observed in saved operating rows; classification is ex-post except saved fleet binding,False
