record_type,min_voltage_bus,count,fraction_of_binding_hours,path_hour_count,binding_hours,binding_fraction,min_voltage_pu_mean,min_voltage_pu_median,min_voltage_pu_q25,min_voltage_pu_q75,min_voltage_pu_q90,min_voltage_pu_q95,min_voltage_pu_q99,min_voltage_pu_max,statement,arrival_after_stage,terminal_a,mean_min_voltage_pu,line_binding_fraction
binding_bus_frequency,18,708,1,,,,,,,,,,,,,,,,
overall_distribution,,,,7568,708,0.0935517970402,0.91806492549,0.917366076845,0.910928863785,0.925407671849,0.934351791079,0.936536355506,0.94161663961,0.945127879388,,,,,
site_attribution_availability,,,,,,,,,,,,,,,"NOT_AVAILABLE_FROM_SAVED_DATA; min-voltage bus is saved, but no frozen mechanical bus-to-hydrogen-site attribution is provided",,,,
arrival_by_intensity,,,,48,,0,,,,,,,,,,2,3,0.92666500239,
arrival_by_intensity,,,,608,,0.0526315789474,,,,,,,,,,3,3,0.925688121418,
arrival_by_intensity,,,,368,,0.236413043478,,,,,,,,,,3,4,0.911583754453,
arrival_by_intensity,,,,80,,0.25,,,,,,,,,,3,5,0.907517659953,
arrival_by_intensity,,,,1024,,0,,,,,,,,,,4,3,0.927824482096,
arrival_by_intensity,,,,1760,,0.16875,,,,,,,,,,4,4,0.913942291069,
arrival_by_intensity,,,,544,,0.238970588235,,,,,,,,,,4,5,0.911387553554,
arrival_by_intensity,,,,560,,0,,,,,,,,,,5,3,0.930663522497,
arrival_by_intensity,,,,1216,,0,,,,,,,,,,5,4,0.916373963883,
arrival_by_intensity,,,,576,,0,,,,,,,,,,5,5,0.914698940974,
arrival_by_intensity,,,,160,,0.00625,,,,,,,,,,6,3,0.926549221575,
arrival_by_intensity,,,,304,,0.210526315789,,,,,,,,,,6,4,0.911212969771,
arrival_by_intensity,,,,288,,0.239583333333,,,,,,,,,,6,5,0.907920856218,
arrival_by_intensity,,,,32,,0.25,,,,,,,,,,6,6,0.907517659953,
line_capacity_statement,,,,,,,,,,,,,,,当前10000-path OOS中，线路热容量不是主要追产瓶颈。,,,,0
