window,record_type,site,path_hour_count,mean_PEL_over_Pmax,ge90_fraction,ge95_fraction,ge99_fraction,near_binding_fraction,simultaneous_site_count,fraction
final16h,site,1,7568,0.740010864767,0.735068710359,0.734408033827,0.734011627907,0.733747357294,,
final16h,site,2,7568,0.754837965405,0.657637420719,0.657637420719,0.657505285412,0.657241014799,,
final16h,site,3,7568,0.715389205782,0.583773784355,0.583245243129,0.583245243129,0.583245243129,,
final16h,site,4,7568,0.754914939169,0.753171247357,0.752510570825,0.751717758985,0.751717758985,,
final16h,simultaneous_high_load_sites,,1799,,,,,,0,0.23771141649
final16h,simultaneous_high_load_sites,,189,,,,,,1,0.0249735729387
final16h,simultaneous_high_load_sites,,431,,,,,,2,0.0569503171247
final16h,simultaneous_high_load_sites,,1003,,,,,,3,0.132531712474
final16h,simultaneous_high_load_sites,,4146,,,,,,4,0.547832980973
final8h,site,1,3784,0.790137093145,0.783298097252,0.781976744186,0.781183932347,0.780655391121,,
final8h,site,2,3784,0.803933174361,0.69978858351,0.69978858351,0.699524312896,0.699524312896,,
final8h,site,3,3784,0.781531490197,0.648255813953,0.647463002114,0.647463002114,0.647463002114,,
final8h,site,4,3784,0.808695879621,0.805761099366,0.8044397463,0.803382663848,0.803382663848,,
final8h,simultaneous_high_load_sites,,679,,,,,,0,0.1794397463
final8h,simultaneous_high_load_sites,,131,,,,,,1,0.0346194503171
final8h,simultaneous_high_load_sites,,252,,,,,,2,0.0665961945032
final8h,simultaneous_high_load_sites,,422,,,,,,3,0.111522198732
final8h,simultaneous_high_load_sites,,2300,,,,,,4,0.607822410148
