method,state,stage,site,OOS_count,active_path_share,terminal_event_path_share,mean_start_inventory_kg,mean_end_inventory_kg,median_end_inventory_kg,mean_production_kg,mean_prod_utilization,mean_storage_utilization,mean_normal_served_kg,mean_normal_shortage_kg,mean_htt_inflow_kg,mean_htt_outflow_kg,mean_net_htt_inflow_kg,mean_terminal_target_kg,mean_terminal_gap_kg
chi2_eta003,12,1,1,117,1,0,58.0445570448695,88.0243810123712,88.0243810123712,35.1,1,0.293414603374571,5.12017603249831,0,0,0,0,0,0
chi2_eta003,12,1,2,117,1,0,50.3081379386248,67.882050982103,67.882050982103,23.4,1,0.339410254910515,5.82608695652174,0,0,0,0,0,0
chi2_eta003,12,1,3,117,1,0,25.2621334423093,37.7163366656137,37.7163366656137,14.04,1,0.377163366656137,1.58579677669568,0,0,0,0,0,0
chi2_eta003,12,1,4,117,1,0,33.0235808462428,47.7055120125908,47.7055120125908,17.55,1,0.318036746750605,2.86806883365201,0,0,0,0,0,0
chi2_eta003,12,2,1,117,1,0,88.0243810123712,113.805137258542,103.034672143041,35.1,1,0.379350457528473,17.1706913413074,2.91901752802226,7.85144758747816,0,7.85144758747816,0,0
chi2_eta003,12,2,2,117,1,0,67.882050982103,77.8966519977559,79.0273925970099,23.4,1,0.389483259988779,10.4740669958062,1.78059138928705,0,2.91133198854105,-2.91133198854105,0,0
chi2_eta003,12,2,3,117,1,0,37.7163366656137,38.9121875683301,44.6638605818422,14.04,1,0.389121875683301,6.06194537074482,1.03053071302662,0,6.78220372653872,-6.78220372653872,0,0
chi2_eta003,12,2,4,117,1,0,47.7055120125908,58.2460310591778,54.8991761878037,17.55,1,0.388306873727852,8.85156908101462,1.50476674377248,1.84208812760161,0,1.84208812760161,0,0
chi2_eta003,12,3,1,117,0.991452991452991,0.00854700854700855,113.805137258542,157.502319002685,158.538411173281,34.8,1,0.52500773000895,14.8059418201599,6.66267381907194,23.9049957151217,0.201872150818854,23.7031235643028,2.00454382164848,0.579496058339074
chi2_eta003,12,3,2,117,0.991452991452991,0.00854700854700855,77.8966519977559,82.1847623046838,85.3716494566258,23.2,1,0.410923811523419,9.49195731804424,4.27138079311991,0.142049001489388,9.56198137651721,-9.41993237502782,0.335696984656475,0
chi2_eta003,12,3,3,117,0.991452991452991,0.00854700854700855,38.9121875683301,29.724815372589,24.5392517633325,13.8946312833014,0.99817753471993,0.29724815372589,5.76037290680055,2.59216780806025,0.124160519789703,17.4457910920317,-17.321630572242,0.139874278467432,0.0587003721814018
chi2_eta003,12,3,4,117,0.991452991452991,0.00854700854700855,58.2460310591778,70.0842752262708,59.871390684588,17.4,1,0.467228501508472,8.60019521587398,3.87008784714329,3.11224482030995,0.0738054373429743,3.03843938296698,0.787957338649815,0.318733610548928
chi2_eta003,12,4,1,116,0.844827586206897,0.155172413793103,157.422764956956,197.972796504469,202.163019009681,29.5015578038136,0.994877814187564,0.659909321681564,3.75421201524181,3.11966443515858,14.9696244400792,0.166938681138185,14.802685758941,36.3928386930319,8.45501575698008
chi2_eta003,12,4,2,116,0.844827586206897,0.155172413793103,82.4579241350756,85.6013430121064,85.6457634482878,14.1769621273655,0.717132219943485,0.428006715060532,1.94902548725637,1.46176911544228,0.0990570203026906,9.18357478338103,-9.08451776307834,6.09463663522877,1.88687890752605e-08
chi2_eta003,12,4,3,116,0.844827586206897,0.155172413793103,29.8991900996331,24.8419631807278,24.7121084254436,8.86629803824836,0.747493002817613,0.248419631807278,2.84691533402479,2.13518650051859,0.0298607597131932,11.1064703828421,-11.0766096231289,2.53944164183113,0.00783908336760739
chi2_eta003,12,4,4,116,0.844827586206897,0.155172413793103,70.2151812524645,88.1776848704445,84.2813634389317,14.5680297788273,0.982552156720718,0.587851232469629,1.96396778811351,1.58245776497123,5.35844162726622,0,5.35844162726622,14.3055013379009,3.11004484556684
chi2_eta003,12,5,1,98,0.520408163265306,0.479591836734694,201.265887080984,218.508216217126,217.043263625231,18.2663265306122,1,0.728360720723754,1.32791868332507,1.33666272134241,1.46322318485133,1.15930189599619,0.303921288855139,112.47945382903,11.1016267880827
