state,site,saa_OOS_count,dro_OOS_count,saa_terminal_target_kg,dro_terminal_target_kg,saa_mean_final_inventory_kg,dro_mean_final_inventory_kg,saa_median_final_inventory_kg,dro_median_final_inventory_kg,saa_mean_balance_inventory_minus_target_kg,dro_mean_balance_inventory_minus_target_kg,saa_mean_surplus_kg,dro_mean_surplus_kg,saa_mean_deficit_kg,dro_mean_deficit_kg,saa_deficit_path_share,dro_deficit_path_share,saa_surplus_path_share,dro_surplus_path_share,saa_at_target_path_share,dro_at_target_path_share,saa_mean_attainment,dro_mean_attainment,delta_dro_minus_saa_target_kg,delta_dro_minus_saa_mean_final_inventory_kg
12,1,117,117,202.383874751111,234.531627132872,203.065161703004,213.354888652239,205.712148087061,213.058962940547,0.68128695189296,-21.1767384806327,10.4262422299421,0.928331897082976,9.74495527804913,22.1050703777157,0.41025641025641,0.717948717948718,0.555555555555556,0.162393162393162,0.0341880341880342,0.11965811965812,0.951849151568852,0.905748019369719,32.147752381761,10.2897269492353
12,2,117,117,32.7305457818509,39.2765472048076,93.1897709092099,91.9362106067289,81.960667851729,86.0426816422981,60.459225127359,52.6596634019213,60.459225127359,52.6596634206288,0,1.87075179203339e-08,0,0.00854700854700855,1,0.982905982905983,0,0.00854700854700855,1,0.999999999523697,6.5460014229567,-1.25356030248103
12,3,117,117,16.3652728909255,16.3652905806895,25.1151623236592,28.9198521652883,23.6267166753698,27.2746757991889,8.74988943273372,12.5545615845988,8.76246777130225,12.6461056974369,0.0125783385685315,0.0915441128381182,0.0598290598290598,0.102564102564103,0.837606837606838,0.837606837606838,0.102564102564103,0.0598290598290598,0.99923140062177,0.994406203031547,1.76897640002949e-05,3.80468984162904
12,4,117,117,74.1892371055287,92.1910086220283,97.5493667910157,99.6972187635183,93.4599485596691,96.1167897473904,23.360129685487,7.50621014149003,24.3783790886189,13.10619726969,1.01824940313195,5.59998712819997,0.11965811965812,0.376068376068376,0.666666666666667,0.615384615384615,0.213675213675214,0.00854700854700855,0.986274971372417,0.939256688782317,18.0017715164996,2.14785197250268
13,1,89,89,133.376974061043,183.83696804374,207.214148437962,216.253568222529,213.677990353356,223.594597227114,73.8371743769191,32.4166001787891,73.9153012993276,33.9814511303996,0.0781269224085618,1.56485095161055,0.0112359550561798,0.101123595505618,0.98876404494382,0.898876404494382,0,0,0.999414239804445,0.991487833115055,50.459993982697,9.03941978456697
13,2,89,89,36.276354908218,85.3716494567399,95.9541497501057,96.0518066001796,84.5081379386248,92.632680976643,59.6777948418877,10.6801571434397,59.6777948418877,12.9421216131437,0,2.26196446970397,0,0.134831460674157,1,0.831460674157303,0,0.0337078651685393,1,0.973504500802106,49.0952945485219,0.0976568500738892
13,3,89,89,9.81916373455527,16.3652799793359,27.1761926849121,31.4839056916385,29.4574912036652,28.3643588926193,17.3570289503568,15.1186257123026,17.3570289503568,15.153553838701,0,0.034928126398455,0,0.0337078651685393,1,0.966292134831461,0,0,1,0.99786571776086,6.54611624478063,4.30771300672637
13,4,89,89,61.0970187927884,69.5525548649856,103.583507468504,105.829812142014,100.990165524179,102.09260242785,42.4864886757154,36.2772572770282,42.5489009986314,36.9052669468002,0.0624123229160482,0.628009669771962,0.0224719101123595,0.0561797752808989,0.966292134831461,0.943820224719101,0.0112359550561798,0,0.9989784718772,0.990970717452564,8.4555360721972,2.24630467351007
14,1,188,188,121.103019392848,204.293031921316,202.09870589098,214.586223336304,206.442430108902,212.995842362535,80.995686498132,10.2931914149876,80.995686498132,14.6573746496993,0,4.36418323471174,0,0.223404255319149,1,0.691489361702128,0,0.0851063829787234,1,0.97863763049739,83.190012528468,12.4875174453236
14,2,188,188,19.6383274691105,32.7305207407448,92.1259373919569,90.4318955467495,81.9403209511595,86.042681642297,72.4876099228464,57.7013748060047,72.4876099228464,57.7013748060047,0,0,0,0,1,1,0,0,1,1,13.0921932716343,-1.69404184520741
