method,state,resource,observation_count,mean_utilization,median_utilization,q95_utilization,max_utilization,util_ge95_share,util_ge99_share
chi2_eta003,12,electrolyzer_production,2032,0.964637880353396,1,1,1.00000000042041,0.94488188976378,0.94242125984252
chi2_eta003,12,storage_inventory,2500,0.447304504149152,0.39914260456392,0.781772090442905,1,0.0056,0.004
chi2_eta003,12,htt_aggregate_transport,508,0.104062318603632,0,0.422089274690149,0.673070998295817,0,0
chi2_eta003,13,electrolyzer_production,1592,0.963542239859421,1,1,1.00000000042041,0.942211055276382,0.936557788944724
chi2_eta003,13,storage_inventory,1948,0.457724572441999,0.409885793170594,0.781772090442907,1,0.00872689938398357,0.00564681724845996
chi2_eta003,13,htt_aggregate_transport,398,0.106006038644907,0.00122066034358545,0.421946803711674,0.771263464235395,0,0
chi2_eta003,14,electrolyzer_production,3264,0.951897224555867,1,1,1.00000000042041,0.930453431372549,0.925245098039216
chi2_eta003,14,storage_inventory,4016,0.446216470308851,0.39914260456392,0.781160883261171,1,0.00547808764940239,0.00199203187250996
chi2_eta003,14,htt_aggregate_transport,816,0.105479017446424,0,0.42475107458981,0.771263464235395,0,0
chi2_eta003,16,electrolyzer_production,1388,0.995352410590023,1,1,1,0.989193083573487,0.987752161383285
chi2_eta003,16,storage_inventory,1700,0.507063200356558,0.44731677098594,0.872116047540309,1,0.0305882352941176,0.0258823529411765
chi2_eta003,16,htt_aggregate_transport,347,0.120846131906614,0.0697989127811997,0.417652063932582,0.643725293399093,0,0
chi2_eta003,17,electrolyzer_production,1392,0.992770934527676,1,1,1,0.987787356321839,0.987787356321839
chi2_eta003,17,storage_inventory,1704,0.49152375099643,0.44272702509685,0.821094783551519,1,0.0223004694835681,0.0176056338028169
chi2_eta003,17,htt_aggregate_transport,348,0.119930333355537,0.0647957661611565,0.475760251310978,0.552622102765516,0,0
chi2_eta003,18,electrolyzer_production,960,0.99163230135196,1,1,1,0.986458333333333,0.984375
chi2_eta003,18,storage_inventory,1180,0.489922958942321,0.446638605818422,0.814617824449638,1,0.0135593220338983,0.011864406779661
chi2_eta003,18,htt_aggregate_transport,240,0.116369612491543,0.0594835837998963,0.372536664325706,0.643725293399093,0,0
chi2_eta003,19,electrolyzer_production,812,0.985757138806435,1,1,1,0.981527093596059,0.977832512315271
chi2_eta003,19,storage_inventory,988,0.49913825912356,0.446638605818422,0.86320007781079,1,0.0303643724696356,0.0263157894736842
chi2_eta003,19,htt_aggregate_transport,203,0.119012793763761,0.0746306155553057,0.439892767884163,0.643725293399093,0,0
saa,12,electrolyzer_production,2032,0.925518553663215,1,1,1.00000000000005,0.901082677165354,0.896161417322835
saa,12,storage_inventory,2500,0.438280522294373,0.395136962985049,0.742801552882561,1,0.0056,0.0056
saa,12,htt_aggregate_transport,508,0.0933977138897947,0,0.425185315375504,0.682379552560806,0,0
saa,13,electrolyzer_production,1592,0.922595267334975,1,1,1.00000000000005,0.900753768844221,0.896984924623116
saa,13,storage_inventory,1948,0.448597842983774,0.39665040664162,0.770121988799175,1,0.00872689938398357,0.00616016427104723
saa,13,htt_aggregate_transport,398,0.0957949054562331,0,0.390319203031923,0.596883621786294,0,0
saa,14,electrolyzer_production,3264,0.904679117935834,1,1,1,0.881127450980392,0.878063725490196
saa,14,storage_inventory,4016,0.437428509314137,0.395136962985049,0.74280155288256,1,0.00722111553784861,0.00572709163346614
saa,14,htt_aggregate_transport,816,0.0884931021886826,0,0.392315576960864,0.682379552560806,0,0
saa,16,electrolyzer_production,1388,0.990514373347433,1,1,1,0.982708933717579,0.981268011527378
saa,16,storage_inventory,1700,0.502157959926447,0.435036746750605,0.917865404130831,1,0.0411764705882353,0.0252941176470588
saa,16,htt_aggregate_transport,347,0.135644248921125,0.0944269806000853,0.434125481210265,0.6129729809654,0,0
saa,17,electrolyzer_production,1392,0.983825823121486,1,1,1,0.979885057471264,0.979166666666667
saa,17,storage_inventory,1704,0.485909318124963,0.408867662133711,0.885448157777278,1,0.0357981220657277,0.0234741784037559
saa,17,htt_aggregate_transport,348,0.132756373723545,0.0784260934443612,0.455696258295585,0.625506123338759,0,0
saa,18,electrolyzer_production,960,0.984169108481855,1,1,1,0.977083333333333,0.977083333333333
saa,18,storage_inventory,1180,0.485383538333392,0.416668744314561,0.87795883544552,1,0.0203389830508475,0.0127118644067797
saa,18,htt_aggregate_transport,240,0.125534314387441,0.0903637508056202,0.406480660760218,0.568322690984112,0,0
saa,19,electrolyzer_production,812,0.973038715165378,1,1,1,0.96551724137931,0.96551724137931
saa,19,storage_inventory,988,0.494018650856712,0.422521160330962,0.889179827073618,1,0.0384615384615385,0.0192307692307692
saa,19,htt_aggregate_transport,203,0.125031777145288,0.0914054279107951,0.4327119574786,0.558352189503504,0,0
