method,state,stage,OOS_count,active_path_share,terminal_event_path_share,max_abs_inventory_conservation_residual_kg,mean_start_inventory_total_kg,median_start_inventory_total_kg,mean_end_inventory_total_kg,median_end_inventory_total_kg,mean_production_total_kg,median_production_total_kg,mean_available_production_capacity_total_kg,median_available_production_capacity_total_kg,mean_production_capacity_utilization,median_production_capacity_utilization,mean_normal_demand_total_kg,median_normal_demand_total_kg,mean_normal_served_total_kg,median_normal_served_total_kg,mean_normal_shortage_total_kg,median_normal_shortage_total_kg,mean_net_htt_inflow_total_kg,median_net_htt_inflow_total_kg,mean_terminal_target_total_kg,median_terminal_target_total_kg,mean_terminal_gap_total_kg,median_terminal_gap_total_kg
chi2_eta003,12,1,117,1,0,2.1316282072803e-14,166.638409272046,166.638409272046,241.328280672679,241.328280672679,90.09,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,15.4001285993677,15.4001285993677,0,0,0,0,0,0,0,0
chi2_eta003,12,2,117,1,0,4.68958205601666e-13,241.328280672679,241.328280672679,288.860007883805,281.625101509697,90.09,90.09,90.09,90.09,1,1,49.7931791629814,49.7931791629814,42.558272788873,49.7931791629814,7.23490637410841,0,2.2014678778892e-16,0,0,0,0,0
chi2_eta003,12,3,117,0.991452991452991,0.00854700854700855,9.39692768042732e-13,288.860007883805,281.625101509697,339.496171906228,315.177093140662,89.2946312833014,90.09,90.09,90.09,0.999715979436872,1,56.538008369035,56.538008369035,38.6584672608786,56.538008369035,17.3963102673954,0,-2.9681860008782e-15,0,3.2680724234222,0,0.956930041069404,0
chi2_eta003,12,4,116,0.844827586206897,0.155172413793103,1.09423581307055e-12,339.99506044413,315.177093140662,396.593787567748,382.998409272046,67.1128477482548,85.3560780502732,90.09,90.09,0.881781522196347,1,22.2686838686158,22.2686838686158,10.5141206246365,0,8.29907781609068,0,4.05805657276781e-15,0,59.3324183079927,0,11.5728997047833,0
chi2_eta003,12,5,98,0.520408163265306,0.479591836734694,1.61115565333603e-12,405.985164135251,396.4631287166,446.181070047407,445.199095841135,44.1760255343758,60.4648059664128,90.09,90.09,0.942249581000444,1,15.4001285993677,15.4001285993677,3.98011962222011,0,4.03423301622636,0,-1.38664590014407e-15,0,183.378880167333,0,13.405615263492,0
chi2_eta003,12,6,51,0.176470588235294,0.823529411764706,9.37916411203332e-13,468.323102961719,455.472253862858,478.94178282858,477.749164292539,14.9313813683948,0,90.09,90.09,0.939184827256859,1,49.7931791629814,49.7931791629814,4.31270150153309,0,4.47433011546363,0,1.72411105000613e-15,0,314.888389974445,382.364473540397,8.96505540852153,0
chi2_eta003,12,7,9,0,1,0,526.925419913921,534.044172036276,526.925419913921,534.044172036276,0,0,90.09,90.09,,,56.538008369035,56.538008369035,0,0,0,0,0,0,382.364473540397,382.364473540397,2.97967659623793,0
chi2_eta003,13,1,89,1,0,2.1316282072803e-14,166.638409272046,166.638409272046,241.328280672679,241.328280672679,90.09,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,15.4001285993677,15.4001285993677,0,0,0,0,0,0,0,0
chi2_eta003,13,2,89,1,0,5.11590769747272e-13,241.328280672679,241.328280672679,291.695632126929,281.625101509697,90.09,90.09,90.09,90.09,1,1,49.7931791629814,49.7931791629814,39.7226485457492,49.7931791629814,10.0705306172322,0,3.2932458258544e-16,0,0,0,0,0
chi2_eta003,13,3,89,0.98876404494382,0.0112359550561798,9.00612917575927e-13,291.695632126929,281.625101509697,344.563649238896,315.177093140662,89.0777528089888,90.09,90.09,90.09,1,1,56.538008369035,56.538008369035,36.2097356970224,56.538008369035,19.6930141510122,0,-1.17384254626098e-15,0,3.99018485780676,0,0.825857874551732,0
