path_id,state_id,terminal_state_k,terminal_stage,T_total_dro_kg,actual_I_total_dro_kg,actual_terminal_gap_kg,service_preserving_max_terminal_total_kg,service_preserving_min_terminal_gap_kg,system_total_shortfall_lower_bound_kg,spatial_excess_gap_kg,physical_total_sufficient,physical_spatial_feasible,actual_total_sufficient,actual_spatial_mismatch,path_classification,max_total_status,min_gap_status,solve_pass,initial_total_inventory_kg,total_storage_capacity_kg,max_conservation_residual,target_gap_reconstruction_residual
2,19,207,6,542.961636332278,440.909553944889,102.052082387389,473.088409272046,69.8732270602314,69.8732270602312,1.4210854715202e-13,0,0,0,0,A,OPTIMAL,OPTIMAL,1,166.638409272046,750,2.1316282072803e-14,5.6843418860808e-14
8,19,207,5,542.961636332278,511.598280672679,32.9985934814255,511.598280672679,31.363355659599,31.3633556595989,9.2370555648813e-14,0,0,0,0,A,OPTIMAL,OPTIMAL,1,166.638409272046,750,1.4210854715202e-14,5.6843418860808e-14
13,12,151,6,382.364473540397,417.866488777937,19.0498171782772,457.688280672679,0,0,0,1,1,1,1,C,OPTIMAL,OPTIMAL,1,166.638409272046,750,1.4210854715202e-14,1.70530256582424e-13
22,14,167,4,299.484469224306,421.508280672679,0,421.508280672679,0,0,0,1,1,1,0,C,OPTIMAL,OPTIMAL,1,166.638409272046,750,7.105427357601e-15,5.6843418860808e-14
60,14,167,6,299.484469224306,407.768842246942,0,457.688280672679,0,0,0,1,1,1,0,C,OPTIMAL,OPTIMAL,1,166.638409272046,750,1.4210854715202e-14,1.13686837721616e-13
73,17,191,6,578.512356224272,495.357093140662,83.1552630836094,495.357093140662,83.1552630836094,83.1552630836094,0,0,0,0,0,A,OPTIMAL,OPTIMAL,1,166.638409272046,750,2.8421709430404e-14,0
83,13,159,5,355.126452344801,364.107578499487,2.81868338829348,382.998409272046,0,0,0,1,1,1,1,C,OPTIMAL,OPTIMAL,1,166.638409272046,750,2.1316282072803e-14,0
118,16,183,5,585.059146032685,405.267093140662,179.792052892023,405.267093140662,179.792052892023,179.792052892023,8.5265128291212e-14,0,0,0,0,A,OPTIMAL,OPTIMAL,1,166.638409272046,750,1.4210854715202e-14,0
121,18,199,6,571.966287503776,551.895101509697,20.0711859940792,551.895101509697,20.0711859940793,20.0711859940792,7.8159700933611e-14,0,0,0,0,A,OPTIMAL,OPTIMAL,1,166.638409272046,750,1.4210854715202e-14,1.13686837721616e-13
161,14,167,4,299.484469224306,371.715101509697,0.984456804822798,371.715101509697,0,0,0,1,1,1,1,C,OPTIMAL,OPTIMAL,1,166.638409272046,750,7.105427357601e-15,2.27373675443232e-13
185,17,191,5,578.512356224272,461.805101509697,116.707254714574,461.805101509697,116.707254714574,116.707254714574,0,0,0,0,0,A,OPTIMAL,OPTIMAL,1,166.638409272046,750,1.4210854715202e-14,1.13686837721616e-13
190,12,151,4,382.364473540397,315.177093140662,67.1873803997348,315.177093140662,67.1873803997348,67.1873803997348,0,0,0,0,0,A,OPTIMAL,OPTIMAL,1,166.638409272046,750,1.06581410364015e-14,5.6843418860808e-14
192,14,167,6,299.484469224306,451.125611007335,0,473.088409272046,0,0,0,1,1,1,0,C,OPTIMAL,OPTIMAL,1,166.638409272046,750,1.4210854715202e-14,5.6843418860808e-14
195,12,151,6,382.364473540397,441.804453472972,29.5703100097614,457.688280672679,0,0,0,1,1,1,1,C,OPTIMAL,OPTIMAL,1,166.638409272046,750,1.86517468137026e-14,0
202,18,199,6,571.966287503776,551.895101509697,20.0711859940793,551.895101509697,20.0711859940793,20.0711859940792,7.8159700933611e-14,0,0,0,0,A,OPTIMAL,OPTIMAL,1,166.638409272046,750,1.4210854715202e-14,0
220,18,199,5,571.966287503776,405.267093140662,166.699194363114,405.267093140662,166.699194363114,166.699194363114,2.8421709430404e-14,0,0,0,0,A,OPTIMAL,OPTIMAL,1,166.638409272046,750,2.1316282072803e-14,5.6843418860808e-14
250,17,191,6,578.512356224272,495.357093140662,83.1552630836094,495.357093140662,83.1552630836094,83.1552630836094,0,0,0,0,0,A,OPTIMAL,OPTIMAL,1,166.638409272046,750,1.4210854715202e-14,0
254,13,159,5,355.126452344801,382.998409272046,0,382.998409272046,0,0,0,1,1,1,0,C,OPTIMAL,OPTIMAL,1,166.638409272046,750,2.1316282072803e-14,1.70530256582424e-13
287,17,191,6,578.512356224272,435.648409272046,142.863946952225,473.088409272046,105.423946952225,105.423946952225,0,0,0,0,0,A,OPTIMAL,OPTIMAL,1,166.638409272046,750,1.4210854715202e-14,0
332,14,167,5,299.484469224306,349.566306807588,0,382.998409272046,0,0,0,1,1,1,0,C,OPTIMAL,OPTIMAL,1,166.638409272046,750,2.8421709430404e-14,0
364,14,167,5,299.484469224306,461.805101509697,0,461.805101509697,0,0,0,1,1,1,0,C,OPTIMAL,OPTIMAL,1,166.638409272046,750,1.4210854715202e-14,5.6843418860808e-14
