checkpoint_relative_hour,hydrogen_side_recovered,grid_aware_identifiable,grid_aware_supported,grid_clipping_removed,not_identifiable,identifiable_rate,retention_ratio
-16,52,52,50,2,0,1,0.961538461538
-8,46,46,42,4,0,1,0.913043478261
-4,20,20,12,8,0,1,0.6
